work_id,preferred_version_id,title,first_public_date,publication_date,doi,arxiv_id,bibcode,peer_review_status,tess_used,other_missions_used,stellar_flares_analyzed,catalog_or_sample_type,sample_size_reported,flare_count_reported,qpp_candidate_count_reported,target_selection_description,flare_selection_description,qpp_candidate_selection_description,tess_sectors,cadence_or_sampling,data_product,detection_method_primary,detection_methods_additional,afino_used,afino_version_if_reported,periodogram_used,wavelet_used,bayesian_model_comparison_used,other_method_used,window_definition_reported,detrending_reported,quality_filtering_reported,gap_handling_reported,irregular_sampling_handling_reported,selection_threshold_or_rule,period_search_range,window_robustness_tested,processing_robustness_tested,quality_robustness_tested,gap_robustness_tested,optimizer_stability_tested,optimizer_or_seed_details,warnings_bounds_or_convergence_discussed,synthetic_data_used,injection_recovery_used,ground_truth_known,signal_family_description,noise_model_description,flare_background_description,selection_function_characterized,completeness_characterized,false_selection_characterized,development_set_used,validation_set_used,heldout_validation_used,heldout_definition,reported_methodological_conclusion,reported_catalog_conclusion,reported_validation_conclusion,authors_stated_limitations,extraction_status
BAIIW0001,BAIIV0002,Stationary quasi-periodic pulsations in 20-second cadence TESS flares,2025-06-27,2025-08-01,10.1051/0004-6361/202554820,NOT_APPLICABLE,2025A&A...700A.178J,PEER_REVIEWED,YES,NOT_APPLICABLE,YES,"TESS 20-second-cadence stellar-flare survey, Sectors 27–80",1285 flaring stars,3878,61 QPPs across 57 stars,TESS 20-s light curves from Sectors 27–80; flaring stars identified by an automated flare search.,Automated flare detection routine based on autoregressive integrated moving-average (ARIMA) models.,AFINO Fourier-domain model-comparison test applied to detected flares.,27–80,20 s,NOT_REPORTED,AFINO Fourier model comparison,ARIMA flare detection,YES,NOT_REPORTED,YES,NO,YES,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,42–193 s detected QPP periods,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,AFINO applied to 20-s TESS flares identifies short-period and sub-minute QPP candidates at catalogue scale.,3878 flares were detected on 1285 stars; 61 QPPs on 57 stars expand the stellar-QPP sample.,No injection–recovery or independent held-out validation is reported in the abstract.,The abstract frames the physical QPP mechanism as debated; detailed selection-function performance is not reported.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0002,BAIIV0004,Detailed cool star flare morphology with CHEOPS and TESS***,2024-03-25,2024-06-01,10.1051/0004-6361/202348951,NOT_APPLICABLE,2024A&A...686A.239B,PEER_REVIEWED,YES,CHEOPS,YES,High-cadence CHEOPS and TESS sample of late-K and M stars,130 stars,NOT_REPORTED,NOT_REPORTED,130 late-K and M stars observed with high-cadence CHEOPS and TESS photometry.,Dedicated software developed for detailed white-light flare morphology.,Tentative confirmation of previous high-cadence QPP results; exact rule not reported in abstract.,NOT_REPORTED,High cadence; compared with lower-cadence results,NOT_REPORTED,Dedicated flare-morphology analysis,Cadence comparison; QPP search not fully specified in abstract,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,Searched for photometric variability attributable to an undetected flare background and found no indication.,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,High-cadence observations reveal flare morphology that is partially lost at lower cadence.,Multi-peak events are at least ~30% of detected outbursts in the sample.,"Cadence-dependent morphology was compared, but no injection–recovery or held-out validation is described in the abstract.",QPP confirmation is described as tentative; the abstract does not provide the detailed QPP decision rule.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0003,BAIIV0006,Properties of Flare Quasiperiodic Pulsations Based on a New TESS Flare Catalog,2025-12-01,2025-12-01,10.3847/1538-4365/ae1469,NOT_APPLICABLE,2025ApJS..281...52W,PEER_REVIEWED,YES,NOT_APPLICABLE,YES,Large TESS flare catalogue with QPP-candidate classification,"~29,280 flaring stars","208,280","10,465 M-star flares with QPP features","TESS 2-min observations through Sectors 1–74, as reported by the article abstract/metadata.",Machine-learning flare identification combined with conventional processing.,Fully-convolutional-network-based QPP classification derived from prior work.,1–74,2 min,NOT_REPORTED,Fully convolutional neural-network QPP classifier,Machine-learning flare catalogue construction,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,A neural-network QPP classifier is applied at very large TESS-catalogue scale.,"The study reports 208,280 flares and a large set of M-star flare light curves classified as showing QPP features.",Detailed classifier validation must be taken from the full article; it is not sufficiently resolved by the provider-level evidence used here.,The accessible provider-level evidence does not resolve the complete classifier-training/validation protocol.,COMPLETE_WITH_ACCESS_LIMITATION
BAIIW0004,BAIIV0008,A recurrent 70─100 min quasi-periodic pulsation in the intermediate-aged mid-M dwarf GJ 3512,2025-12-19,2026-02-01,10.1093/mnras/staf2256,NOT_APPLICABLE,2026MNRAS.546f2256L,PEER_REVIEWED,YES,NOT_APPLICABLE,YES,Single-star multi-sector TESS time series (GJ 3512),1 star,~1 flare/day; ~5 flares in Sector 60,1 recurrent 70–100 min signal,"GJ 3512 observed in TESS Sectors 20, 47 and 60.",Flares were retained rather than removed because the oscillatory signal appears during and between flares.,Morlet continuous-wavelet analysis with significance testing; reconstructed signal in 70–100 min band.,20;47;60,2 min,PDCSAP (SAP also retrieved),Morlet continuous wavelet transform,15-point moving-mean preprocessing; control-star instrumental check; inverse wavelet-band reconstruction,NO,NOT_APPLICABLE,NO,YES,NO,YES,15-point (~30 min) moving mean before wavelet analysis; 70–100/120 min band investigated.,YES,YES,YES,NOT_REPORTED,Wavelet significance threshold reported at 99.9% in the publisher text.,Primary signal ~70–100 min,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,NO,NO,NOT_APPLICABLE,High-frequency noise suppressed with moving mean; smoothing-window response discussed.,Frequent flare activity left in the time series.,NO,NO,YES,NO,YES,NO,NOT_APPLICABLE,A 70–100 min wavelet signal recurs across separate TESS sectors and survives instrumental/control checks.,The study is a one-star time-series analysis rather than a catalogue survey.,"Cross-sector recurrence, a same-CCD control star and smoothing-window checks support an intrinsic signal; no synthetic ground truth is used.",Sector 60 detection is marginal and lower activity may reduce detectability; a physical coronal interpretation remains to be confirmed.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0006,BAIIV0011,Quasi-periodic pulsations in flares of UV Ceti-type stars,2024-12-01,2024-12-01,NOT_APPLICABLE,NOT_APPLICABLE,2024maeu.conf..496P,NOT_PEER_REVIEWED,NO,BTA/MANIA ground-based U-band; GALEX mentioned contextually,YES,High-speed U-band dM-flare observations,157 observed flares; 44 analyzed flares,157 observed; 44 used for QPP analysis,13,"dM flare stars including EV Lac, Wolf 359, Wolf 424, V577 Mon and UV Ceti.",44 flares selected from 157 observed in ~70 h of BTA/MANIA data.,Fourier transform and empirical mode decomposition.,NOT_APPLICABLE,microsecond instrumental time resolution; QPP periods 6–107 s,Ground-based U-band time series,Fourier transform + empirical mode decomposition,QPP envelope/amplitude classification,NO,NOT_APPLICABLE,YES,NO,NO,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,6–107 s,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,Fourier and EMD searches identify short-period stellar-flare QPPs in high-time-resolution ground data.,13 QPPs are reported among 44 analyzed flares.,No injection–recovery or held-out validation is described in the conference abstract.,The analyzed flare subset and detection thresholds are not fully specified in the abstract.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0008,BAIIV0014,Similarities and differences between solar and stellar flare pulsation processes,2026-02-01,2026-02-01,NOT_APPLICABLE,2602.03499,2026arXiv260203499R,PREPRINT,NOT_APPLICABLE,"Review covers solar and stellar missions including TESS, Kepler, XMM-Newton, GOES, STIX and Fermi",NOT_APPLICABLE,Review article,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Review of published QPP detection methods and physical interpretations.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"Review of Fourier, wavelet, AFINO and related QPP techniques",Comparative solar/stellar QPP synthesis,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Review spans stellar QPP periods from minutes to hours and solar periods often tens of seconds.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,The review emphasizes method diversity and common solar/stellar scaling despite different observing bands and characteristic periods.,NOT_APPLICABLE,NOT_APPLICABLE,Review-level synthesis is contextual and does not itself provide a new validation dataset.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0023,BAIIV0036,"Scalable, Advanced Machine Learning Based Approaches for Stellar Flare Identification: Application to TESS Short-cadence Data and Analysis of a New Flare Catalog",2024-09-04,2024-12-01,10.3847/1538-3881/ad7956,NOT_APPLICABLE,2024AJ....168..234L,PEER_REVIEWED,YES,X-ray catalogs used for comparison,YES,"TESS 2-min all-sky machine-learning flare catalogue, Sectors 1–72","1.3 million light curves; ~18,000 flare stars","~250,000",NOT_APPLICABLE,TESS 2-min survey light curves from Sectors 1–72.,"DNN, Random Forest and XGBoost models using four flare light-curve characteristics.",NOT_APPLICABLE,1–72,2 min,NOT_REPORTED,DNN / Random Forest / XGBoost flare identification,Cross-validation against previously reported TESS M-dwarf flares,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NO,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,YES,YES,NOT_REPORTED,YES,YES,NOT_REPORTED,NOT_REPORTED,Three ML algorithms achieve >94% standard classification metrics and recover >92% of previously reported TESS M-dwarf flares.,"Processing 1.3 million light curves yields ~18,000 flare stars and ~250,000 flares.",Validation against prior TESS flare identifications demonstrates recovery and added sensitivity; the abstract does not establish a held-out synthetic truth benchmark.,The abstract explicitly notes low-amplitude incompleteness affecting flare-frequency uncertainties.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0024,BAIIV0038,Detecting Stellar Flares in Photometric Data Using Hidden Markov Models,2024-04-19,2025-02-01,10.3847/1538-4357/ad95f6,NOT_APPLICABLE,2025ApJ...979..141E,PEER_REVIEWED,YES,NOT_APPLICABLE,YES,Method-development study with simulation/injection-recovery and one TESS example,1 TESS example star plus synthetic experiments,NOT_REPORTED,NOT_APPLICABLE,Method demonstrated on one TESS star after simulation testing.,"Three-state HMM: Quiet, Firing, Decaying; joint celerite baseline model.",NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Three-state hidden Markov model with celerite baseline,Simultaneous detrending and flare detection; sigma-clipping comparison,NO,NOT_APPLICABLE,NO,NO,YES,YES,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,HMM posterior/state inference; exact threshold not reported in abstract,NOT_APPLICABLE,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,YES,YES,Injected stellar-flare signals used to test detection and characterization.,Celerite quasi-periodic stellar-oscillation model forms the background component.,Quiet/Firing/Decaying latent-state structure.,YES,YES,YES,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,A joint HMM+celerite model detects flares while accounting for quasi-periodic stellar variability and can reduce multistage detrending bias.,NOT_APPLICABLE,Injection–recovery evaluates detection/characterization; the method identifies fainter/lower-energy flares than sigma clipping in the reported tests.,Independent held-out validation and a formal development/held-out split are not reported in the abstract.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0025,BAIIV0040,Stellar Flares in the TESS Light Curves of Planet-hosting M Dwarfs,2025-11-17,2026-02-01,10.3847/1538-4357/ae1ddf,NOT_APPLICABLE,2026ApJ...998..173C,PEER_REVIEWED,YES,JWST targets used as a contextual subset,YES,Known active M dwarfs plus a volume-limited 15 pc M-dwarf sample,538 M dwarfs within 15 pc (276 flaring) plus an active comparison population,NOT_REPORTED,NOT_APPLICABLE,Known active M dwarfs and a volume-limited M-dwarf sample within 15 pc.,TESS flare search; exact detector not reported in abstract.,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,TESS flare detection and flare-frequency distributions,FFD power-law comparison by activity level,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NOT_REPORTED,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,The study compares cumulative FFDs across activity groups in TESS M dwarfs.,Flares are found in 276 of 538 M dwarfs in the 15 pc sample; FFD slopes are similar across high- and low-activity groups.,No explicit injection–recovery or held-out validation is reported in the abstract.,The abstract does not describe the flare-detection completeness function.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0027,BAIIV0043,"The Solar-like Latitudinal Distribution of Flaring Activities Revealed by TESS, APOGEE, and GALAH",2026-03,2026-04-01,10.3847/1538-4365/ae50ec,NOT_APPLICABLE,2026ApJS..283...83Y,PEER_REVIEWED,YES,APOGEE; GALAH,YES,TESS flaring-star sample with inclination information,1510 flaring stars,"~27,000",NOT_APPLICABLE,"TESS flaring stars with stellar inclinations, supplemented by APOGEE/GALAH properties.",Flare detections used to infer apparent activity versus inclination; exact detector not reported in abstract.,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Population flare statistics versus stellar inclination and rotation,Spectroscopic crossmatch,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NO,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,Flare occurrence versus inclination is used to infer the latitude distribution of active regions.,"~27,000 flares on 1510 TESS flaring stars are reported.",No injection–recovery/held-out validation is reported in the abstract.,Detection dependence on inclination is itself part of the scientific result and should not be conflated with a calibrated detection completeness function.,COMPLETE_WITH_NOT_REPORTED_FIELDS
