access_id,work_id,version_id,source_type,source_identifier,access_url_or_identifier,access_date_utc,access_status,full_text_available,source_used_for_extraction,local_copy_present,local_copy_sha256,redistribution_allowed,use_role,notes
BAII4A0001,BAIIW0001,BAIIV0002,ARXIV,arXiv:2506.22131,arXiv:2506.22131,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0002,BAIIW0002,BAIIV0004,ARXIV,arXiv:2403.17065,arXiv:2403.17065,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0003,BAIIW0003,BAIIV0006,SCI_X_ADS_METADATA,doi:10.3847/1538-4365/ae1469,doi:10.3847/1538-4365/ae1469,2026-08-10T23:57:00Z,ACCESSED_WITH_LIMITATION,NOT_REPORTED,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,BAII.4 extraction used only the available abstract/provider-level evidence; unresolved detail is encoded as NOT_REPORTED.
BAII4A0004,BAIIW0004,BAIIV0008,PUBLISHER_HTML,doi:10.1093/mnras/staf2256,doi:10.1093/mnras/staf2256,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: FULL_TEXT. No protected full-text file is stored in Git.
BAII4A0005,BAIIW0006,BAIIV0011,PUBLISHER_HTML,doi:10.26119/VAK2024.079,doi:10.26119/VAK2024.079,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0006,BAIIW0008,BAIIV0014,ARXIV,arXiv:2602.03499,arXiv:2602.03499,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0007,BAIIW0023,BAIIV0036,ARXIV,arXiv:2409.02540,arXiv:2409.02540,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0008,BAIIW0024,BAIIV0038,ARXIV,arXiv:2404.13145,arXiv:2404.13145,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0009,BAIIW0025,BAIIV0040,ARXIV,arXiv:2511.13716,arXiv:2511.13716,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
BAII4A0010,BAIIW0027,BAIIV0043,ARXIV,arXiv:2603.02524,arXiv:2603.02524,2026-08-10T23:57:00Z,ACCESSED,YES,YES,NO,NOT_APPLICABLE,NOT_ASSESSED,PRIMARY_EXTRACTION,Extraction evidence level: ABSTRACT. No protected full-text file is stored in Git.
