execution_id,query_id,source_database,exact_query_string,execution_start_utc,execution_end_utc,date_start,date_end,reported_total_results,records_retrieved,page_count,page_size,first_source_record_id,last_source_record_id,raw_payload_directory,raw_payload_file_count,raw_payload_combined_sha256,execution_status,error
BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,"abs:((""quasi-periodic pulsation"" OR QPP) AND (TESS OR ""Transiting Exoplanet Survey Satellite"") AND (stellar OR flare)) AND date:[2024-01-01T00\:00\:00.000Z TO 2026-08-07T23\:59\:59.999Z]",2026-08-09T18:47:56Z,2026-08-09T18:48:00Z,2024-01-01,2026-08-07,23,23,1,200,2025A&A...700A.178J,2025AAS...24540901S,local_archive/bibliographic_audit_ii/baii2_raw/ads_scix/Q01_DIRECT_TESS_QPP,1,6ea0def6a8f12e8c4e87a2d3432e217c402a19cc2279716cb8179fe91d9d81fe,COMPLETE,
BAII2E002,Q01_DIRECT_TESS_QPP,ARXIV,"((all:""quasi-periodic pulsation"" OR all:QPP) AND (all:TESS OR all:""Transiting Exoplanet Survey Satellite"") AND (all:stellar OR all:flare)) AND submittedDate:[202401010000 TO 202608072359]",2026-08-09T18:48:00Z,2026-08-09T18:48:00Z,2024-01-01,2026-08-07,5,5,1,100,2506.22131v1,2407.08653v1,local_archive/bibliographic_audit_ii/baii2_raw/arxiv/Q01_DIRECT_TESS_QPP,1,de19c9574609eef7faf68c6659ba98aefebc8895e44a68d4ad02628f70983d04,COMPLETE,
BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,"abs:(TESS AND (""stellar flare"" OR ""stellar flares"") AND (periodicity OR periodic OR oscillation)) AND date:[2024-01-01T00\:00\:00.000Z TO 2026-08-07T23\:59\:59.999Z]",2026-08-09T18:48:00Z,2026-08-09T18:48:04Z,2024-01-01,2026-08-07,50,50,1,200,2025A&A...700A.178J,2024AAS...24325908E,local_archive/bibliographic_audit_ii/baii2_raw/ads_scix/Q02_TESS_STELLAR_FLARE_PERIODICITY,1,ab30b6d2e814a0f9671e50c97e517a31034be8971c8f3d2072091884f93406a8,COMPLETE,
BAII2E004,Q02_TESS_STELLAR_FLARE_PERIODICITY,ARXIV,"(all:TESS AND (all:""stellar flare"" OR all:""stellar flares"") AND (all:periodicity OR all:periodic OR all:oscillation)) AND submittedDate:[202401010000 TO 202608072359]",2026-08-09T18:48:04Z,2026-08-09T18:48:04Z,2024-01-01,2026-08-07,13,13,1,100,2404.16480v2,2408.07442v2,local_archive/bibliographic_audit_ii/baii2_raw/arxiv/Q02_TESS_STELLAR_FLARE_PERIODICITY,1,b71091fd2beddcb4763080d381fe8be968ed45f1652758747c8f75015e8af9f2,COMPLETE,
BAII2E005,Q03_TESS_QPP_CATALOG,ADS_SCIX,"abs:(TESS AND (flare OR flares) AND (catalog OR catalogue OR survey) AND (QPP OR ""quasi-periodic"")) AND date:[2024-01-01T00\:00\:00.000Z TO 2026-08-07T23\:59\:59.999Z]",2026-08-09T18:48:04Z,2026-08-09T18:48:09Z,2024-01-01,2026-08-07,57,57,1,200,2025A&A...700A.178J,2024nsf....2407205S,local_archive/bibliographic_audit_ii/baii2_raw/ads_scix/Q03_TESS_QPP_CATALOG,1,ab4ce5f6bd26cb6fa278f29ebd496a01210e030268343b167fc7095f7bfd21b6,COMPLETE,
BAII2E006,Q03_TESS_QPP_CATALOG,ARXIV,"(all:TESS AND (all:flare OR all:flares) AND (all:catalog OR all:catalogue OR all:survey) AND (all:QPP OR all:""quasi-periodic"")) AND submittedDate:[202401010000 TO 202608072359]",2026-08-09T18:48:09Z,2026-08-09T18:48:09Z,2024-01-01,2026-08-07,3,3,1,100,2506.22131v1,2602.03499v1,local_archive/bibliographic_audit_ii/baii2_raw/arxiv/Q03_TESS_QPP_CATALOG,1,432152d9b35ebf905caba8ab4950d60e8674aa63cae726b0dc8177d1549d3420,COMPLETE,
BAII2E007,Q04_QPP_DETECTION_METHOD,ADS_SCIX,"abs:((QPP OR ""quasi-periodic pulsation"") AND (detection OR method OR classification OR periodogram OR wavelet OR Bayesian) AND (stellar OR flare)) AND date:[2024-01-01T00\:00\:00.000Z TO 2026-08-07T23\:59\:59.999Z]",2026-08-09T18:48:09Z,2026-08-09T18:48:15Z,2024-01-01,2026-08-07,65,65,1,200,2025A&A...700A.178J,2024cosp...45.1660K,local_archive/bibliographic_audit_ii/baii2_raw/ads_scix/Q04_QPP_DETECTION_METHOD,1,9c41f1355d62246cb263bb42b68baa20d69af3c87c97ab2284ed6be2c8d0e743,COMPLETE,
BAII2E008,Q04_QPP_DETECTION_METHOD,ARXIV,"((all:QPP OR all:""quasi-periodic pulsation"") AND (all:detection OR all:method OR all:classification OR all:periodogram OR all:wavelet OR all:Bayesian) AND (all:stellar OR all:flare)) AND submittedDate:[202401010000 TO 202608072359]",2026-08-09T18:48:15Z,2026-08-09T18:48:16Z,2024-01-01,2026-08-07,31,31,1,100,2408.05038v1,2407.08653v1,local_archive/bibliographic_audit_ii/baii2_raw/arxiv/Q04_QPP_DETECTION_METHOD,1,f5f43cd904e4a54c0e71d38d53831d014fa2d14547a4c2c1e4a40f3d39e02456,COMPLETE,
BAII2E009,Q05_INJECTION_RECOVERY_SELECTION,ADS_SCIX,"abs:((""stellar flare"" OR QPP) AND (""injection recovery"" OR ""injection-recovery"" OR ""selection function"" OR completeness OR ""synthetic validation"" OR benchmark)) AND date:[2024-01-01T00\:00\:00.000Z TO 2026-08-07T23\:59\:59.999Z]",2026-08-09T18:48:16Z,2026-08-09T18:48:20Z,2024-01-01,2026-08-07,52,52,1,200,2025ApJ...979..141E,2026AAS...24742903B,local_archive/bibliographic_audit_ii/baii2_raw/ads_scix/Q05_INJECTION_RECOVERY_SELECTION,1,f75704f796e0848f9fcce839ca912b59491d320321a50311d1219f16146966fc,COMPLETE,
BAII2E010,Q05_INJECTION_RECOVERY_SELECTION,ARXIV,"((all:""stellar flare"" OR all:QPP) AND (all:""injection recovery"" OR all:""injection-recovery"" OR all:""selection function"" OR all:completeness OR all:""synthetic validation"" OR all:benchmark)) AND submittedDate:[202401010000 TO 202608072359]",2026-08-09T18:48:20Z,2026-08-09T18:48:20Z,2024-01-01,2026-08-07,20,20,1,100,2404.13145v1,2512.15757v1,local_archive/bibliographic_audit_ii/baii2_raw/arxiv/Q05_INJECTION_RECOVERY_SELECTION,1,a0958ba6d7ad4653aced81120feaac350727d853d260c5b35eb46e8288f68d48,COMPLETE,
