candidate_id,left_auto_component_min_raw_hit,right_auto_component_min_raw_hit,left_title,right_title,left_first_author,right_first_author,left_year,right_year,title_similarity,candidate_basis
BAII3C001,BAII2H000006,BAII2H000163,Quasi-periodic pulsations in flares of UV Ceti-type stars,M dwarfs quasi-periodic pulsations at a time resolution of 1 s,panferov,panferov,2024,2024,0.621849,FUZZY_TITLE_SAME_FIRST_AUTHOR_YEAR
BAII3C002,BAII2H000052,BAII2H000069,Activity Cycles of Solar-Type Stars with Superflares,Spottedness and Flare Activity of Solar-Type Stars with Exoplanets,savanov,savanov,2025,2025,0.661017,FUZZY_TITLE_SAME_FIRST_AUTHOR_YEAR
BAII3C003,BAII2H000101,BAII2H000126,Dynamic Photometric Variability in Three Young Brown Dwarfs in Taurus: Detection of Optical Flares with TESS Data,Dynamic Photometric Variability in Three Young Brown Dwarfs in Taurus: Detection of Optical Flares with TESS data,ghosh,ghosh,2025,2025,1.000000,FUZZY_TITLE_HIGH_SIMILARITY
BAII3C004,BAII2H000107,BAII2H000112,Rapid optical flare in the extreme teraelectronvolt blazar 1ES 0229+200 on intraday timescales with the Transiting Exoplanet Survey Satellite,Rapid Optical Flares in the Blazar OJ 287 on Intraday Timescales with TESS,kishore,kishore,2024,2024,0.641860,FUZZY_TITLE_SAME_FIRST_AUTHOR_YEAR
BAII3C005,BAII2H000147,BAII2H000148,Collaborative Research: WoU-MMA: ASAS-SN in the Era of Multi-Messenger Astrophysics,Collaborative Research: WoU-MMA: ASAS-SN in the Era of Multi-Messenger Astrophysics,stanek,shappee,2024,2024,1.000000,FUZZY_TITLE_HIGH_SIMILARITY
BAII3C006,BAII2H000153,BAII2H000181,Quasi-Periodic Pulsations in Ionospheric TEC Synchronized With Solar Flare EUV Emission,Quasi-Periodic Pulsations in TEC Measurements Synchronised with Solar Flare EUV Emission,o'hare,o'hare,2025,2025,0.845714,FUZZY_TITLE_HIGH_SIMILARITY
BAII3C007,BAII2H000155,BAII2H000183,Exploring the Origin of Multi-Periodic Pulsations During a White-Light Flare,Exploring the origin of quasi-periodic pulsations during a white-light flare,li,li,2025,2025,0.960526,FUZZY_TITLE_HIGH_SIMILARITY
BAII3C008,BAII2H000166,BAII2H000188,Statistical investigation of solar flares showing quasi-periodicity based on STIX quick-look light curves,Investigation of solar flares showing quasi-periodicity based on STIX Quick-Look light curves,szaforz,szaforz,2025,2024,0.939394,FUZZY_TITLE_HIGH_SIMILARITY
BAII3C009,BAII2H000209,BAII2H000240,Dual Origins of Rapid Flare Ribbon Downflows in an X9-class Solar Flare,Dual Origins of Rapid Flare Ribbon Downflows in an X9-class Solar Flare,french,ryan j. french,2025,2025,1.000000,FUZZY_TITLE_HIGH_SIMILARITY
BAII3C010,BAII2H000213,BAII2H000216,Constraining the Density of the Accretion Disk Wind in Hercules X-1 Using its Ionization Response to X-ray Pulsations,Constraining the Number Density of the Accretion Disk Wind in Hercules X-1 Using its Ionization Response to X-ray Pulsations,kosec,kosec,2024,2024,0.970954,FUZZY_TITLE_HIGH_SIMILARITY
