condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,minimum_cycles,data_seed_start,data_seed_end,data_seed_count,primary_optimizer_seed,stability_data_seed,stability_optimizer_seed_start,stability_optimizer_seed_end,planned_series_count,planned_primary_model_calls,planned_stability_model_calls,planned_total_model_calls
C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,15,280,0,,,,0,39,40,0,0,1,9,40,120,27,147
C002_NULL_N015_A1,NULL_FLARE_RED_NOISE,15,280,1,,,,0,39,40,0,0,1,9,40,120,27,147
C003_NULL_N015_A2,NULL_FLARE_RED_NOISE,15,280,2,,,,0,39,40,0,0,1,9,40,120,27,147
C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,30,580,0,,,,0,39,40,0,0,1,9,40,120,27,147
C005_NULL_N030_A1,NULL_FLARE_RED_NOISE,30,580,1,,,,0,39,40,0,0,1,9,40,120,27,147
C006_NULL_N030_A2,NULL_FLARE_RED_NOISE,30,580,2,,,,0,39,40,0,0,1,9,40,120,27,147
C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,60,1180,0,,,,0,39,40,0,0,1,9,40,120,27,147
C008_NULL_N060_A1,NULL_FLARE_RED_NOISE,60,1180,1,,,,0,39,40,0,0,1,9,40,120,27,147
C009_NULL_N060_A2,NULL_FLARE_RED_NOISE,60,1180,2,,,,0,39,40,0,0,1,9,40,120,27,147
C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,120,2380,0,,,,0,39,40,0,0,1,9,40,120,27,147
C011_NULL_N120_A1,NULL_FLARE_RED_NOISE,120,2380,1,,,,0,39,40,0,0,1,9,40,120,27,147
C012_NULL_N120_A2,NULL_FLARE_RED_NOISE,120,2380,2,,,,0,39,40,0,0,1,9,40,120,27,147
C013_QPP_N015_P050_A0_Q010,STATIONARY_QPP_PRESENT,15,280,0,50,0.01,5.6,0,39,40,0,0,1,9,40,120,27,147
C014_QPP_N015_P050_A0_Q020,STATIONARY_QPP_PRESENT,15,280,0,50,0.02,5.6,0,39,40,0,0,1,9,40,120,27,147
C015_QPP_N015_P050_A0_Q040,STATIONARY_QPP_PRESENT,15,280,0,50,0.04,5.6,0,39,40,0,0,1,9,40,120,27,147
C016_QPP_N015_P050_A1_Q010,STATIONARY_QPP_PRESENT,15,280,1,50,0.01,5.6,0,39,40,0,0,1,9,40,120,27,147
C017_QPP_N015_P050_A1_Q020,STATIONARY_QPP_PRESENT,15,280,1,50,0.02,5.6,0,39,40,0,0,1,9,40,120,27,147
C018_QPP_N015_P050_A1_Q040,STATIONARY_QPP_PRESENT,15,280,1,50,0.04,5.6,0,39,40,0,0,1,9,40,120,27,147
C019_QPP_N015_P050_A2_Q010,STATIONARY_QPP_PRESENT,15,280,2,50,0.01,5.6,0,39,40,0,0,1,9,40,120,27,147
C020_QPP_N015_P050_A2_Q020,STATIONARY_QPP_PRESENT,15,280,2,50,0.02,5.6,0,39,40,0,0,1,9,40,120,27,147
C021_QPP_N015_P050_A2_Q040,STATIONARY_QPP_PRESENT,15,280,2,50,0.04,5.6,0,39,40,0,0,1,9,40,120,27,147
C022_QPP_N015_P080_A0_Q010,STATIONARY_QPP_PRESENT,15,280,0,80,0.01,3.5,0,39,40,0,0,1,9,40,120,27,147
C023_QPP_N015_P080_A0_Q020,STATIONARY_QPP_PRESENT,15,280,0,80,0.02,3.5,0,39,40,0,0,1,9,40,120,27,147
C024_QPP_N015_P080_A0_Q040,STATIONARY_QPP_PRESENT,15,280,0,80,0.04,3.5,0,39,40,0,0,1,9,40,120,27,147
C025_QPP_N015_P080_A1_Q010,STATIONARY_QPP_PRESENT,15,280,1,80,0.01,3.5,0,39,40,0,0,1,9,40,120,27,147
C026_QPP_N015_P080_A1_Q020,STATIONARY_QPP_PRESENT,15,280,1,80,0.02,3.5,0,39,40,0,0,1,9,40,120,27,147
C027_QPP_N015_P080_A1_Q040,STATIONARY_QPP_PRESENT,15,280,1,80,0.04,3.5,0,39,40,0,0,1,9,40,120,27,147
C028_QPP_N015_P080_A2_Q010,STATIONARY_QPP_PRESENT,15,280,2,80,0.01,3.5,0,39,40,0,0,1,9,40,120,27,147
C029_QPP_N015_P080_A2_Q020,STATIONARY_QPP_PRESENT,15,280,2,80,0.02,3.5,0,39,40,0,0,1,9,40,120,27,147
C030_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,15,280,2,80,0.04,3.5,0,39,40,0,0,1,9,40,120,27,147
C031_QPP_N030_P050_A0_Q010,STATIONARY_QPP_PRESENT,30,580,0,50,0.01,11.6,0,39,40,0,0,1,9,40,120,27,147
C032_QPP_N030_P050_A0_Q020,STATIONARY_QPP_PRESENT,30,580,0,50,0.02,11.6,0,39,40,0,0,1,9,40,120,27,147
