fixture_id,fixture_role,block_id,n_samples,duration_s,cadence_s,red_noise_alpha,alpha_code,data_seed,master_seed,noise_std,baseline_flux,flare_peak_excess,peak_index,t_peak_s,rise_tau_s,decay_tau_s,phase_rad,period_s,qpp_fraction,time_sha256,flare_sha256,noise_sha256,phase_float64_sha256,flux_sha256,noise_seed_metadata_json,phase_seed_metadata_json,dtype,byte_order,numpy_version
FX_B_N015_A0_S00_NULL,NULL_FLARE_RED_NOISE,B_N015_A0_S00,15,280,20,0,0,0,20260802,0.0050000000000000001,1,0.5,3,60,11.200000000000001,84,4.5640128767261601,,,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,aa2a8de87f5cb4b06befd34de3832744c25b2ae0e60ca6a41d163edfa60b1492,bde94632a9d76f4634edaf5442f2d690b547c379e0fb0600f90ff564b016d326,381d19109e627044aec5c5b309173ab4bf253c55295cc03f9976e1919dfa1e12,"{""entropy"":[20260802,15,0,0],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,15,0,0],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N015_A0_S00_P050_Q010,STATIONARY_QPP_PRESENT_Q001,B_N015_A0_S00,15,280,20,0,0,0,20260802,0.0050000000000000001,1,0.5,3,60,11.200000000000001,84,4.5640128767261601,50,0.01,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,aa2a8de87f5cb4b06befd34de3832744c25b2ae0e60ca6a41d163edfa60b1492,bde94632a9d76f4634edaf5442f2d690b547c379e0fb0600f90ff564b016d326,ec7f90a2280892912c2c5c0f29de93daae377388fbbd229ec1cdb7ab781706d4,"{""entropy"":[20260802,15,0,0],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,15,0,0],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N015_A0_S00_P080_Q010,STATIONARY_QPP_PRESENT_Q001,B_N015_A0_S00,15,280,20,0,0,0,20260802,0.0050000000000000001,1,0.5,3,60,11.200000000000001,84,4.5640128767261601,80,0.01,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,aa2a8de87f5cb4b06befd34de3832744c25b2ae0e60ca6a41d163edfa60b1492,bde94632a9d76f4634edaf5442f2d690b547c379e0fb0600f90ff564b016d326,fca6a21e6d1664b6877583dce5635fc2b39d99eadfbe447d121fefd9733dc7a6,"{""entropy"":[20260802,15,0,0],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,15,0,0],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N015_A0_S00_P050_Q040,STATIONARY_QPP_PRESENT_EXTRA_Q004,B_N015_A0_S00,15,280,20,0,0,0,20260802,0.0050000000000000001,1,0.5,3,60,11.200000000000001,84,4.5640128767261601,50,0.040000000000000001,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,aa2a8de87f5cb4b06befd34de3832744c25b2ae0e60ca6a41d163edfa60b1492,bde94632a9d76f4634edaf5442f2d690b547c379e0fb0600f90ff564b016d326,207d971aea6799c8704ee885f7ca858e4fd775d50b78b069c56014ab5f541a99,"{""entropy"":[20260802,15,0,0],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,15,0,0],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N015_A2_S39_NULL,NULL_FLARE_RED_NOISE,B_N015_A2_S39,15,280,20,2,2,39,20260802,0.0050000000000000001,1,0.5,3,60,11.200000000000001,84,3.774634520249208,,,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,5813627b1d3a64527bdadb49f0642fdc045a39d8da62f091a92aaeb04803c625,e8ceeeaea781b4feab8f254cfa4efaff9802d6ec115cf33831cedf16d384c325,1c56845ca103829d8b2d04b59134965170212d13243a5c9a3faf175b095dbe7f,"{""entropy"":[20260802,15,2,39],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,15,2,39],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N015_A2_S39_P050_Q010,STATIONARY_QPP_PRESENT_Q001,B_N015_A2_S39,15,280,20,2,2,39,20260802,0.0050000000000000001,1,0.5,3,60,11.200000000000001,84,3.774634520249208,50,0.01,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,5813627b1d3a64527bdadb49f0642fdc045a39d8da62f091a92aaeb04803c625,e8ceeeaea781b4feab8f254cfa4efaff9802d6ec115cf33831cedf16d384c325,e5e8a98634d76967b4e1263a88dedad875a4f61b9b9f463ce7c5671f6e5a9af3,"{""entropy"":[20260802,15,2,39],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,15,2,39],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N015_A2_S39_P080_Q010,STATIONARY_QPP_PRESENT_Q001,B_N015_A2_S39,15,280,20,2,2,39,20260802,0.0050000000000000001,1,0.5,3,60,11.200000000000001,84,3.774634520249208,80,0.01,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,5813627b1d3a64527bdadb49f0642fdc045a39d8da62f091a92aaeb04803c625,e8ceeeaea781b4feab8f254cfa4efaff9802d6ec115cf33831cedf16d384c325,11e71fdc87c9e6fb193e4c258d85007ffae2e12444c340c557d949f20607b24c,"{""entropy"":[20260802,15,2,39],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,15,2,39],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N015_A2_S39_P050_Q040,STATIONARY_QPP_PRESENT_EXTRA_Q004,B_N015_A2_S39,15,280,20,2,2,39,20260802,0.0050000000000000001,1,0.5,3,60,11.200000000000001,84,3.774634520249208,50,0.040000000000000001,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,5813627b1d3a64527bdadb49f0642fdc045a39d8da62f091a92aaeb04803c625,e8ceeeaea781b4feab8f254cfa4efaff9802d6ec115cf33831cedf16d384c325,2573e913be255571dd8997dddece018c9cc72a24b99852691e903de70ecdd4bf,"{""entropy"":[20260802,15,2,39],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,15,2,39],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N030_A1_S17_NULL,NULL_FLARE_RED_NOISE,B_N030_A1_S17,30,580,20,1,1,17,20260802,0.0050000000000000001,1,0.5,6,120,23.199999999999999,174,6.1775491978446615,,,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,065968bfac7c236c22be24c944965083f74c0ccf33729355c5a4030c776d5070,efb4e33e1f147ebf16ab8cb32f410c85165b880e612466e204cccf1cf0d5e05a,3b04fac279b1639c4f8891912c13aea49549b6dc5c2898aec7a30d94f8bc588f,de82b63546636964d946897b27cd724604841f9c8af48c551b570ef5a879de70,"{""entropy"":[20260802,30,1,17],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,30,1,17],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
FX_B_N030_A1_S17_P050_Q010,STATIONARY_QPP_PRESENT_Q001,B_N030_A1_S17,30,580,20,1,1,17,20260802,0.0050000000000000001,1,0.5,6,120,23.199999999999999,174,6.1775491978446615,50,0.01,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,065968bfac7c236c22be24c944965083f74c0ccf33729355c5a4030c776d5070,efb4e33e1f147ebf16ab8cb32f410c85165b880e612466e204cccf1cf0d5e05a,3b04fac279b1639c4f8891912c13aea49549b6dc5c2898aec7a30d94f8bc588f,157f8a98234b0b78a5080cd4999a617b102757564fb344997937cb21c9bc619c,"{""entropy"":[20260802,30,1,17],""spawn_key"":[0],""pool_size"":4}","{""entropy"":[20260802,30,1,17],""spawn_key"":[1],""pool_size"":4}",float64 little-endian,C,2.3.5
