block_id,n_samples,duration_s,red_noise_alpha,alpha_code,data_seed,peak_index,phase_rad,time_sha256,flare_sha256,noise_sha256,phase_float64_sha256,noise_mean,noise_std_ddof1,all_finite,generation_status,error
B_N015_A0_S00,15,280,0,0,0,3,4.5640128767261601,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,aa2a8de87f5cb4b06befd34de3832744c25b2ae0e60ca6a41d163edfa60b1492,bde94632a9d76f4634edaf5442f2d690b547c379e0fb0600f90ff564b016d326,1.1564823173178714e-19,0.005000000000000001,True,OK,
B_N015_A0_S01,15,280,0,0,1,3,2.8033890127146273,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,0f0329aca0d147530ee862b274c099294cd2dc5505d63dc592a29dc3d6026346,6c21afa2602fcfdf53493abcba375f179fb332835c08cf93b8cc829aa2f3dfc0,5.7824115865893569e-20,0.0050000000000000001,True,OK,
B_N015_A0_S02,15,280,0,0,2,3,2.3280862790638439,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,75a3b060097b01f575050c2f521f0e35e08cfb67c746a4f3ee494f1ecb237087,f7b1dac4d737593397ba05a5f6d671b35f2211eb43f301e87f364d02f4f25132,-1.7347234759768072e-19,0.0049999999999999992,True,OK,
B_N015_A0_S03,15,280,0,0,3,3,0.078591242845684001,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,107cd8b4a9cd23ddec081bf119009c4ab369949475d2fece494da082c2cca7d7,06950dee5a6e55df4e219317b4aa5a8c195c88c1d12f4c4f6f2bd2faf0f30b97,-1.8070036208091741e-19,0.0050000000000000001,True,OK,
B_N015_A0_S04,15,280,0,0,4,3,3.0334158673966423,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,7a432e09f013ac41b6acfe59af5c0586ac310991328289a3211c19a086eac578,13be165d636978329c49eebe4550b75b32c70f8e8239ed8ca6f744de325764cd,-1.1564823173178714e-19,0.0050000000000000001,True,OK,
B_N015_A0_S05,15,280,0,0,5,3,0.61301360525463167,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,a0d0f11de0b846f468dd3ae65b7f6d4d459bee2acd3b15ecd3dcea904816a188,3543b05c5dffb5b59518a34ff4252fbc2327f57df356c2dd6b85e6828860f27e,0,0.005000000000000001,True,OK,
B_N015_A0_S06,15,280,0,0,6,3,1.8997623227122151,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,b9f2ec34861387cb2aa11b309d9360c32498f45d94b43955d1976cd7a861ff50,73a72f7bef6cbd7a5a18435c68c04ecf36b7b2c3d434d83c09e4ca11ecbf03f3,6.6859133969939443e-20,0.0050000000000000001,True,OK,
B_N015_A0_S07,15,280,0,0,7,3,4.9045981827824798,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,31da3377142235a2fd32ba93630617c2b38d0a028ab3a0b6edcc75d1e7e7ef32,3f620602fe7e3f989ec9af6033135d1a820fb77f993be8608c31a7a0ba1965e4,-2.1684043449710089e-19,0.0049999999999999992,True,OK,
B_N015_A0_S08,15,280,0,0,8,3,3.4442370175834904,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,0458dd4a20612c311622034e878f31b857e3ef449f8e96ea30385821528dacb8,59a491f2a50c9e97817e18f34b22a66f0d635bcea0c493edc89ebeab1e646f35,1.1564823173178714e-19,0.0050000000000000001,True,OK,
B_N015_A0_S09,15,280,0,0,9,3,3.8141836366675177,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,8a9e06e7a7f1529efa18dfd0d5e4d21c7ca6a3f9a457e395bcccfa3f8d1e46ed,bb4d1c9b1d9486a99b92200f378560ecbe1b428426b3d00991242982d76e62ff,1.1564823173178714e-19,0.0049999999999999992,True,OK,
