n_samples,red_noise_alpha,positive_frequency_bins,estimated_ensemble_slope,expected_slope,absolute_slope_error,slope_ordering_pass,slope_tolerance_pass
15,0.0,7,0.0097950080193126999,-0,0.0097950080193126999,True,True
15,1.0,7,-0.79609796466249105,-1,0.20390203533750895,True,True
15,2.0,7,-1.8200882490525934,-2,0.17991175094740663,True,True
30,0.0,15,-0.14696951518551507,-0,0.14696951518551507,True,True
30,1.0,15,-0.99727773661486341,-1,0.0027222633851365918,True,True
30,2.0,15,-2.0423527037371589,-2,0.042352703737158937,True,True
60,0.0,30,-0.022483645775005476,-0,0.022483645775005476,True,True
60,1.0,30,-0.93824051702514089,-1,0.061759482974859115,True,True
60,2.0,30,-1.9204855185672618,-2,0.079514481432738204,True,True
120,0.0,60,-0.024305957953237905,-0,0.024305957953237905,True,True
120,1.0,60,-1.0146164108588021,-1,0.014616410858802054,True,True
120,2.0,60,-1.973442256303767,-2,0.026557743696232983,True,True
