series_id,condition_id,ground_truth,external_optimizer_seed,valid_models,delta_bic_0_1,delta_bic_2_1,qpp_selected,estimated_period_s,period_label
S000001,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,0,3,-5.58868419362139,-1.8910501670456688,False,222.48118932338997,formal_m1_center_not_selected
S000001,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,1,3,-5.588684016836954,-1.8910500073004792,False,222.4930155096327,formal_m1_center_not_selected
S001161,C030_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,0,3,-5.582308172336974,-1.9382585879490533,False,151.30950785648687,formal_m1_center_not_selected
S001161,C030_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,1,3,-5.582308174212056,-1.9585714026973173,False,151.3081391609396,formal_m1_center_not_selected
S000121,C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,0,3,-7.703493612735123,-2.6645806859969667,False,45.56286991579818,formal_m1_center_not_selected
S000121,C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,1,3,-7.677690471573399,-2.638777507013579,False,299.99999999999994,formal_m1_center_not_selected
S002241,C057_QPP_N030_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,3,-7.169727089273088,-2.779227289328034,False,169.60937756783832,formal_m1_center_not_selected
S002241,C057_QPP_N030_P140_A2_Q040,STATIONARY_QPP_PRESENT,1,3,-7.169727027454336,-2.77922758487162,False,169.5990688560161,formal_m1_center_not_selected
S000241,C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,0,3,-9.6153793801127,-3.5077280985551056,False,56.424979635970516,formal_m1_center_not_selected
S000241,C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,1,3,-9.615379366913345,-3.507727390113388,False,56.42490831227353,formal_m1_center_not_selected
S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,3,-7.219772147196693,-1.355825658780219,False,125.72715110831837,formal_m1_center_not_selected
S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,1,3,-7.219772149973096,-1.3558375592997436,False,125.72687642217166,formal_m1_center_not_selected
S000361,C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,0,3,-8.831211799925427,-1.7705805589672536,False,40.0,formal_m1_center_not_selected
S000361,C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,1,3,-8.831211799986363,-1.7561066621482269,False,40.0,formal_m1_center_not_selected
S004401,C111_QPP_N120_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,3,11.848101135318643,6.550433901570386,False,136.01486398859626,formal_m1_center_not_selected
S004401,C111_QPP_N120_P140_A2_Q040,STATIONARY_QPP_PRESENT,1,3,11.848101134444846,6.55043302735271,False,136.01489083229558,formal_m1_center_not_selected
