job_id,job_order,job_class,series_id,condition_id,ground_truth,data_seed,external_optimizer_seed,model_id,model_name,n_samples,period_s,qpp_fraction,flux_start_offset,flux_end_offset,time_vector_id,input_flux_sha256,input_time_sha256
J000001,1,primary,S000001,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,0,0,M0,pow_const,15,,,0,15,T_N015,381d19109e627044aec5c5b309173ab4bf253c55295cc03f9976e1919dfa1e12,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J000002,2,primary,S000001,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,0,0,M1,pow_const_gauss,15,,,0,15,T_N015,381d19109e627044aec5c5b309173ab4bf253c55295cc03f9976e1919dfa1e12,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J000003,3,primary,S000001,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,0,0,M2,bpow_const,15,,,0,15,T_N015,381d19109e627044aec5c5b309173ab4bf253c55295cc03f9976e1919dfa1e12,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J013321,13321,stability,S000001,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,0,1,M0,pow_const,15,,,0,15,T_N015,381d19109e627044aec5c5b309173ab4bf253c55295cc03f9976e1919dfa1e12,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J013322,13322,stability,S000001,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,0,1,M1,pow_const_gauss,15,,,0,15,T_N015,381d19109e627044aec5c5b309173ab4bf253c55295cc03f9976e1919dfa1e12,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J013323,13323,stability,S000001,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,0,1,M2,bpow_const,15,,,0,15,T_N015,381d19109e627044aec5c5b309173ab4bf253c55295cc03f9976e1919dfa1e12,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J003481,3481,primary,S001161,C030_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M0,pow_const,15,80,0.040000000000000001,37200,37215,T_N015,cf427615e2aa0def7a9b3db8f416b7af13cd9bc9c7e0148fd117af7768a16f42,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J003482,3482,primary,S001161,C030_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M1,pow_const_gauss,15,80,0.040000000000000001,37200,37215,T_N015,cf427615e2aa0def7a9b3db8f416b7af13cd9bc9c7e0148fd117af7768a16f42,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J003483,3483,primary,S001161,C030_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M2,bpow_const,15,80,0.040000000000000001,37200,37215,T_N015,cf427615e2aa0def7a9b3db8f416b7af13cd9bc9c7e0148fd117af7768a16f42,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J014104,14104,stability,S001161,C030_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M0,pow_const,15,80,0.040000000000000001,37200,37215,T_N015,cf427615e2aa0def7a9b3db8f416b7af13cd9bc9c7e0148fd117af7768a16f42,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J014105,14105,stability,S001161,C030_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M1,pow_const_gauss,15,80,0.040000000000000001,37200,37215,T_N015,cf427615e2aa0def7a9b3db8f416b7af13cd9bc9c7e0148fd117af7768a16f42,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J014106,14106,stability,S001161,C030_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M2,bpow_const,15,80,0.040000000000000001,37200,37215,T_N015,cf427615e2aa0def7a9b3db8f416b7af13cd9bc9c7e0148fd117af7768a16f42,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f
J000361,361,primary,S000121,C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,0,0,M0,pow_const,30,,,1800,1830,T_N030,aacf9aadc1eef19161841ecc2469c984dadcce2fb7c73813c073e8ca121821a1,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J000362,362,primary,S000121,C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,0,0,M1,pow_const_gauss,30,,,1800,1830,T_N030,aacf9aadc1eef19161841ecc2469c984dadcce2fb7c73813c073e8ca121821a1,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J000363,363,primary,S000121,C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,0,0,M2,bpow_const,30,,,1800,1830,T_N030,aacf9aadc1eef19161841ecc2469c984dadcce2fb7c73813c073e8ca121821a1,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J013402,13402,stability,S000121,C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,0,1,M0,pow_const,30,,,1800,1830,T_N030,aacf9aadc1eef19161841ecc2469c984dadcce2fb7c73813c073e8ca121821a1,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J013403,13403,stability,S000121,C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,0,1,M1,pow_const_gauss,30,,,1800,1830,T_N030,aacf9aadc1eef19161841ecc2469c984dadcce2fb7c73813c073e8ca121821a1,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J013404,13404,stability,S000121,C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,0,1,M2,bpow_const,30,,,1800,1830,T_N030,aacf9aadc1eef19161841ecc2469c984dadcce2fb7c73813c073e8ca121821a1,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J006721,6721,primary,S002241,C057_QPP_N030_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M0,pow_const,30,140,0.040000000000000001,69000,69030,T_N030,0db6771b7a691400aa02a66470dc361bc722700257552a3f9405812b5d953b5e,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J006722,6722,primary,S002241,C057_QPP_N030_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M1,pow_const_gauss,30,140,0.040000000000000001,69000,69030,T_N030,0db6771b7a691400aa02a66470dc361bc722700257552a3f9405812b5d953b5e,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J006723,6723,primary,S002241,C057_QPP_N030_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M2,bpow_const,30,140,0.040000000000000001,69000,69030,T_N030,0db6771b7a691400aa02a66470dc361bc722700257552a3f9405812b5d953b5e,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J014833,14833,stability,S002241,C057_QPP_N030_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M0,pow_const,30,140,0.040000000000000001,69000,69030,T_N030,0db6771b7a691400aa02a66470dc361bc722700257552a3f9405812b5d953b5e,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J014834,14834,stability,S002241,C057_QPP_N030_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M1,pow_const_gauss,30,140,0.040000000000000001,69000,69030,T_N030,0db6771b7a691400aa02a66470dc361bc722700257552a3f9405812b5d953b5e,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J014835,14835,stability,S002241,C057_QPP_N030_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M2,bpow_const,30,140,0.040000000000000001,69000,69030,T_N030,0db6771b7a691400aa02a66470dc361bc722700257552a3f9405812b5d953b5e,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64
J000721,721,primary,S000241,C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,0,0,M0,pow_const,60,,,5400,5460,T_N060,643c8135af7ebde0d769ba36cf6ba71010dca6dc1038ba1f8b8732df252a5b84,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J000722,722,primary,S000241,C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,0,0,M1,pow_const_gauss,60,,,5400,5460,T_N060,643c8135af7ebde0d769ba36cf6ba71010dca6dc1038ba1f8b8732df252a5b84,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J000723,723,primary,S000241,C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,0,0,M2,bpow_const,60,,,5400,5460,T_N060,643c8135af7ebde0d769ba36cf6ba71010dca6dc1038ba1f8b8732df252a5b84,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J013483,13483,stability,S000241,C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,0,1,M0,pow_const,60,,,5400,5460,T_N060,643c8135af7ebde0d769ba36cf6ba71010dca6dc1038ba1f8b8732df252a5b84,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J013484,13484,stability,S000241,C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,0,1,M1,pow_const_gauss,60,,,5400,5460,T_N060,643c8135af7ebde0d769ba36cf6ba71010dca6dc1038ba1f8b8732df252a5b84,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J013485,13485,stability,S000241,C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,0,1,M2,bpow_const,60,,,5400,5460,T_N060,643c8135af7ebde0d769ba36cf6ba71010dca6dc1038ba1f8b8732df252a5b84,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J009961,9961,primary,S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M0,pow_const,60,140,0.040000000000000001,132600,132660,T_N060,dd09a2d941a34e7bf4ba153c245e4744d4a0a6f530d8a3dd51b28acc74c615a6,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J009962,9962,primary,S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M1,pow_const_gauss,60,140,0.040000000000000001,132600,132660,T_N060,dd09a2d941a34e7bf4ba153c245e4744d4a0a6f530d8a3dd51b28acc74c615a6,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
