job_class,series_id,condition_id,ground_truth,data_seed,external_optimizer_seed,valid_models,decision_status,delta_bic_0_1,delta_bic_2_1,qpp_selected,estimated_period_s,period_label
primary,S000001,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,0,0,3,VALID,-5.58868419362139,-1.8910501670456688,false,222.48118932338997,formal_m1_center_not_selected
primary,S000002,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,1,0,3,VALID,-5.626235002195852,-1.8671189350854034,false,216.87063163213483,formal_m1_center_not_selected
primary,S000003,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,2,0,3,VALID,-5.608549404554765,-1.9319379264373753,false,130.8008282997567,formal_m1_center_not_selected
primary,S000004,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,3,0,3,VALID,-5.56343235064003,-1.9096468939997342,false,129.75126799744345,formal_m1_center_not_selected
primary,S000005,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,4,0,3,VALID,-5.558186557441045,-1.9676294715109792,false,169.38031021895472,formal_m1_center_not_selected
primary,S000006,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,5,0,3,VALID,-5.619332490530228,-1.9359610258297293,false,125.06750225409309,formal_m1_center_not_selected
primary,S000007,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,6,0,3,VALID,-5.468885580313481,-1.9271760747478277,false,129.2053107909376,formal_m1_center_not_selected
primary,S000008,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,7,0,3,VALID,-5.574570987367181,-1.9194721941180903,false,225.51513981203513,formal_m1_center_not_selected
primary,S000009,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,8,0,3,VALID,-5.311301390620628,-1.931602913443796,false,126.54493575064468,formal_m1_center_not_selected
primary,S000010,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,9,0,3,VALID,-5.3902210227970215,-1.8310258659031975,false,218.95614518995086,formal_m1_center_not_selected
primary,S000011,C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,10,0,3,VALID,-5.381761604519852,-1.8922789404976461,false,151.10240334174483,formal_m1_center_not_selected
