condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,nominal_window_cycles,n_planned,n_valid,valid_run_rate,n_selected,selection_rate,selection_rate_ci95_lower,selection_rate_ci95_upper,rate_name,selected_period_n,selected_period_median_signed_error_s,selected_period_median_absolute_error_s,selected_period_p90_absolute_error_s,selected_period_median_relative_error_percent,formal_m1_median_signed_error_s,formal_m1_median_absolute_error_s,formal_m1_p90_absolute_error_s,median_delta_bic_0_1,median_delta_bic_2_1,median_delta_bic_min,m0_bound_hit_rate,m1_bound_hit_rate,m2_bound_hit_rate,m0_warning_rate,m1_warning_rate,m2_warning_rate
C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-5.515211881445495,-1.9114887244581658,-5.515211881445495,0.0,0.45,0.375,0.0,0.0,0.125
C002_NULL_N015_A1,NULL_FLARE_RED_NOISE,15,280.0,1.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-5.51104073038815,-1.9230092517496384,-5.51104073038815,0.0,0.325,0.5,0.0,0.0,0.05
C003_NULL_N015_A2,NULL_FLARE_RED_NOISE,15,280.0,2.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-5.545414973803379,-1.9326665874829887,-5.545414973803379,0.0,0.3,0.5,0.0,0.0,0.05
C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,30,580.0,0.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-7.437669487804289,-2.3610471551754486,-7.437669487804289,0.05,0.725,0.275,0.0,0.0,0.425
C005_NULL_N030_A1,NULL_FLARE_RED_NOISE,30,580.0,1.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-7.63341878021582,-2.5822699023206077,-7.63341878021582,0.0,0.625,0.325,0.0,0.0,0.25
C006_NULL_N030_A2,NULL_FLARE_RED_NOISE,30,580.0,2.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-7.675351318319521,-2.623352978789928,-7.675351318319521,0.0,0.6,0.275,0.0,0.0,0.225
C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,60,1180.0,0.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-8.918330428557482,-2.6063290298621524,-8.918330428557482,0.0,0.8,0.475,0.0,0.0,0.7
C008_NULL_N060_A1,NULL_FLARE_RED_NOISE,60,1180.0,1.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-9.241476477325207,-2.899408979974922,-9.241476477325207,0.05,0.825,0.4,0.0,0.0,0.65
C009_NULL_N060_A2,NULL_FLARE_RED_NOISE,60,1180.0,2.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-9.821105662443259,-3.372312326338175,-9.821105662443259,0.0,0.75,0.475,0.0,0.0,0.775
C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,120,2380.0,0.0,,,,40,40,1.0,0,0.0,0.0,0.08762160119728664,synthetic_false_selection_rate,,,,,,,,,-8.590187747406787,-1.8475570989025414,-8.590187747406787,0.0,0.85,0.4,0.0,0.0,0.9
