analysis_scope,grouping,n_samples,model_id,calls,ok_calls,warning_calls,warning_total,bound_hit_calls,warning_rate,bound_hit_rate,runtime_total_seconds,runtime_median_seconds
primary,global,,M0,4440,4440,0,0,471,0.0,0.10608108108108108,1223.9535787993518,0.2584686000045622
primary,global,,M1,4440,4440,0,0,3135,0.0,0.706081081081081,3692.8432317002444,0.7957935000013094
primary,global,,M2,4440,4440,2106,17388,1747,0.4743243243243243,0.39346846846846845,2120.7009257015307,0.4405461000133073
primary,by_n_samples,15,M0,840,840,0,0,32,0.0,0.0380952380952381,210.84711410000455,0.25959585000236984
primary,by_n_samples,15,M1,840,840,0,0,404,0.0,0.48095238095238096,813.023921899643,0.9801727000012761
primary,by_n_samples,15,M2,840,840,93,855,326,0.11071428571428571,0.3880952380952381,306.7521534996631,0.3737133999966318
primary,by_n_samples,30,M0,1200,1200,0,0,61,0.0,0.050833333333333335,295.8558786997455,0.22280335001414642
primary,by_n_samples,30,M1,1200,1200,0,0,718,0.0,0.5983333333333334,918.348116500536,0.7236011500062887
primary,by_n_samples,30,M2,1200,1200,335,1108,389,0.2791666666666667,0.32416666666666666,471.1045551005518,0.3699328499933472
primary,by_n_samples,60,M0,1200,1200,0,0,145,0.0,0.12083333333333333,286.4194049006328,0.2319833500077948
primary,by_n_samples,60,M1,1200,1200,0,0,934,0.0,0.7783333333333333,787.2269810993748,0.6480510000110371
primary,by_n_samples,60,M2,1200,1200,854,10268,465,0.7116666666666667,0.3875,535.6981657006545,0.4432028000301216
primary,by_n_samples,120,M0,1200,1200,0,0,233,0.0,0.19416666666666665,430.83118109896895,0.36042064998764545
primary,by_n_samples,120,M1,1200,1200,0,0,1079,0.0,0.8991666666666667,1174.2442122006905,0.9935213000280783
primary,by_n_samples,120,M2,1200,1200,824,5157,567,0.6866666666666666,0.4725,807.1460514006612,0.6731872499804012
stability,global,,M0,999,999,0,0,96,0.0,0.0960960960960961,294.46726529940497,0.28740359999937937
stability,global,,M1,999,999,0,0,724,0.0,0.7247247247247247,903.6575506995432,0.8982189999660477
stability,global,,M2,999,999,423,4964,369,0.42342342342342343,0.36936936936936937,563.2900729003013,0.5630907000158913
stability,by_n_samples,15,M0,189,189,0,0,18,0.0,0.09523809523809523,56.39334800018696,0.2872932000318542
stability,by_n_samples,15,M1,189,189,0,0,76,0.0,0.4021164021164021,190.6130461997236,1.0087467999546789
stability,by_n_samples,15,M2,189,189,9,127,42,0.047619047619047616,0.2222222222222222,89.68224490026478,0.47324429999571294
stability,by_n_samples,30,M0,270,270,0,0,7,0.0,0.025925925925925925,72.60889579937793,0.26848370002699085
stability,by_n_samples,30,M1,270,270,0,0,174,0.0,0.6444444444444445,231.49542540020775,0.8615302499965765
stability,by_n_samples,30,M2,270,270,65,461,83,0.24074074074074073,0.3074074074074074,142.3751144995913,0.5183377499924973
stability,by_n_samples,60,M0,270,270,0,0,18,0.0,0.06666666666666667,79.73439499968663,0.293519649974769
stability,by_n_samples,60,M1,270,270,0,0,232,0.0,0.8592592592592593,245.83400810003513,0.9049719999893568
stability,by_n_samples,60,M2,270,270,132,1108,107,0.4888888888888889,0.3962962962962963,165.32852080033626,0.6070177999790758
stability,by_n_samples,120,M0,270,270,0,0,53,0.0,0.1962962962962963,85.73062650015345,0.3118151999951806
stability,by_n_samples,120,M1,270,270,0,0,242,0.0,0.8962962962962963,235.7150709995767,0.8853225499915425
stability,by_n_samples,120,M2,270,270,217,3268,137,0.8037037037037037,0.5074074074074074,165.90419270010898,0.6113481500069611
