condition_id,series_id,ground_truth,n_samples,red_noise_alpha,period_s,qpp_fraction,n_valid_optimizer_seeds,n_selected_optimizer_seeds,optimizer_seed_decision_discordance,any_decision_change,m0_bic_range,m1_bic_range,m2_bic_range,m2_multiple_solution_flag,formal_m1_period_range_s,selected_period_range_s,m0_bound_seed_count,m1_bound_seed_count,m2_bound_seed_count,m0_warning_seed_count,m1_warning_seed_count,m2_warning_seed_count
C001_NULL_N015_A0,S000001,NULL_FLARE_RED_NOISE,15,0.0,,,10,0,0.0,false,2.4511173535302078e-08,4.603655439083809e-06,0.09827440615095817,true,0.03100522414129614,,1,10,1,0,0,1
C002_NULL_N015_A1,S000041,NULL_FLARE_RED_NOISE,15,1.0,,,10,0,0.0,false,1.2363443602225743e-12,0.024246573508015956,0.2938490758631289,true,43.53955393586094,,0,5,4,0,0,0
C003_NULL_N015_A2,S000081,NULL_FLARE_RED_NOISE,15,2.0,,,10,0,0.0,false,1.0516032489249483e-12,3.3865974131686016e-06,0.25987079427459925,true,4.907746063132123,,0,0,4,0,0,0
C004_NULL_N030_A0,S000121,NULL_FLARE_RED_NOISE,30,0.0,,,10,0,0.0,false,3.886668764607748e-12,0.02580320675694736,0.1641844139100357,true,254.43713008420175,,0,8,3,0,0,1
C005_NULL_N030_A1,S000161,NULL_FLARE_RED_NOISE,30,1.0,,,10,0,0.0,false,2.4940050025179517e-12,1.6339583908120403e-08,0.31184248928361313,true,6.12527528645046e-05,,0,10,3,0,0,3
C006_NULL_N030_A2,S000201,NULL_FLARE_RED_NOISE,30,2.0,,,10,0,0.0,false,2.4868995751603507e-12,3.66964947318138e-07,0.1813076319461402,true,0.0007939456210976914,,0,0,0,0,0,1
C007_NULL_N060_A0,S000241,NULL_FLARE_RED_NOISE,60,0.0,,,10,0,0.0,false,1.318767317570746e-11,4.0927602640294936e-08,0.2729325974522112,true,0.0005510216447106586,,0,10,3,0,0,6
C008_NULL_N060_A1,S000281,NULL_FLARE_RED_NOISE,60,1.0,,,10,0,0.0,false,4.496314431889914e-11,2.568185664131306e-09,0.0024768954565388412,true,9.674553856342527e-05,,0,10,0,0,0,3
C009_NULL_N060_A2,S000321,NULL_FLARE_RED_NOISE,60,2.0,,,10,0,0.0,false,1.6711965145077556e-11,1.5680478497870354e-06,0.0009418825938212194,false,0.0018371191815163002,,0,10,3,0,0,3
C010_NULL_N120_A0,S000361,NULL_FLARE_RED_NOISE,120,0.0,,,10,0,0.0,false,3.376499080331996e-11,2.781121111183893e-09,0.7163121909197798,true,0.0,,0,10,1,0,0,9
C011_NULL_N120_A1,S000401,NULL_FLARE_RED_NOISE,120,1.0,,,10,0,0.0,false,1.3869794202037156e-11,3.294189809821546e-09,1.0940668056356344,true,0.00038258718066686015,,0,10,2,0,0,10
C012_NULL_N120_A2,S000441,NULL_FLARE_RED_NOISE,120,2.0,,,10,0,0.0,false,1.546140993013978e-11,2.9120678846084047e-07,0.14635419680780615,true,0.0069605828064709385,,0,10,3,0,0,9
C013_QPP_N015_P050_A0_Q010,S000481,STATIONARY_QPP_PRESENT,15,0.0,50.0,0.01,10,0,0.0,false,3.185268582228673e-08,0.0022240366991521654,0.053424124475089485,true,79.27626656269146,,2,9,2,0,0,0
C014_QPP_N015_P050_A0_Q020,S000521,STATIONARY_QPP_PRESENT,15,0.0,50.0,0.02,10,0,0.0,false,1.2359116396964964e-08,2.186395844816502e-06,0.023760563071114404,true,9.719862633503638,,6,0,1,0,0,1
C015_QPP_N015_P050_A0_Q040,S000561,STATIONARY_QPP_PRESENT,15,0.0,50.0,0.04,10,0,0.0,false,2.0218548613115672e-08,0.0001218701808483047,0.00020395981817777908,false,27.193100122971032,,6,0,3,0,0,0
C016_QPP_N015_P050_A1_Q010,S000601,STATIONARY_QPP_PRESENT,15,1.0,50.0,0.01,10,0,0.0,false,6.483702463810914e-13,0.002706863136269888,0.3410189201305389,true,43.28617811348619,,0,9,2,0,0,1
C017_QPP_N015_P050_A1_Q020,S000641,STATIONARY_QPP_PRESENT,15,1.0,50.0,0.02,10,0,0.0,false,1.652011860642233e-12,5.440216614971405e-07,0.40647939523063314,true,0.02732721238064073,,0,10,2,0,0,2
C018_QPP_N015_P050_A1_Q040,S000681,STATIONARY_QPP_PRESENT,15,1.0,50.0,0.04,10,0,0.0,false,3.753442001652729e-12,3.663771064310595e-07,0.5342422615929028,true,0.0008041050172167274,,0,7,9,0,0,1
C019_QPP_N015_P050_A2_Q010,S000721,STATIONARY_QPP_PRESENT,15,2.0,50.0,0.01,10,0,0.0,false,3.639755163931113e-12,1.2773674427535298e-05,0.1696684830270172,true,9.11914783696497,,0,1,1,0,0,0
C020_QPP_N015_P050_A2_Q020,S000761,STATIONARY_QPP_PRESENT,15,2.0,50.0,0.02,10,0,0.0,false,1.2230358947817876e-08,0.019035002617423302,0.05479901431102974,true,84.97474422705343,,1,8,3,0,0,0
C021_QPP_N015_P050_A2_Q040,S000801,STATIONARY_QPP_PRESENT,15,2.0,50.0,0.04,10,0,0.0,false,5.810496794822484e-08,2.6281742648848194e-07,0.25757939570735644,true,0.00038452321790316546,,3,7,1,0,0,0
C022_QPP_N015_P080_A0_Q010,S000841,STATIONARY_QPP_PRESENT,15,0.0,80.0,0.01,10,0,0.0,false,4.757383820219729e-09,0.00013528516829630632,0.15022952643783682,true,9.977119760034924,,0,0,0,0,0,0
C023_QPP_N015_P080_A0_Q020,S000881,STATIONARY_QPP_PRESENT,15,0.0,80.0,0.02,10,0,0.0,false,5.1743498374889896e-11,1.5537763303541396e-05,0.20956504836922285,true,4.247786051687683,,0,0,1,0,0,0
C024_QPP_N015_P080_A0_Q040,S000921,STATIONARY_QPP_PRESENT,15,0.0,80.0,0.04,10,0,0.0,false,1.2821743666791008e-11,1.3323882559035383e-05,0.4531814789668829,true,3.4869068642766194,,0,0,8,0,0,0
C025_QPP_N015_P080_A1_Q010,S000961,STATIONARY_QPP_PRESENT,15,1.0,80.0,0.01,10,0,0.0,false,8.988365607365267e-13,0.0007121816183417451,0.2787716186127369,true,83.19898082585937,,0,3,0,0,0,0
C026_QPP_N015_P080_A1_Q020,S001001,STATIONARY_QPP_PRESENT,15,1.0,80.0,0.02,10,0,0.0,false,4.369837824924616e-13,0.011809296108493683,0.26038768873527296,true,80.17129646228909,,0,6,0,0,0,2
C027_QPP_N015_P080_A1_Q040,S001041,STATIONARY_QPP_PRESENT,15,1.0,80.0,0.04,10,0,0.0,false,3.453237695794087e-12,0.07085615779148924,0.21341008041506093,true,69.97414523744254,,0,2,1,0,0,0
C028_QPP_N015_P080_A2_Q010,S001081,STATIONARY_QPP_PRESENT,15,2.0,80.0,0.01,10,0,0.0,false,4.630962280316453e-12,7.55782489907375e-05,0.2313974640796843,true,7.468732252825021,,0,0,2,0,0,0
C029_QPP_N015_P080_A2_Q020,S001121,STATIONARY_QPP_PRESENT,15,2.0,80.0,0.02,10,0,0.0,false,1.5212719972623745e-11,1.7026144920606612e-06,0.21065184168394602,true,4.473797158849791,,0,0,2,0,0,0
C030_QPP_N015_P080_A2_Q040,S001161,STATIONARY_QPP_PRESENT,15,2.0,80.0,0.04,10,0,0.0,false,4.937916742164816e-11,0.01040105157979987,0.1644063445137096,true,27.675280588121396,,0,10,0,0,0,3
C031_QPP_N030_P050_A0_Q010,S001201,STATIONARY_QPP_PRESENT,30,0.0,50.0,0.01,10,0,0.0,false,5.5990767577895895e-12,0.0023906726450064752,0.06092077698190934,true,215.88182668725503,,0,2,3,0,0,2
C032_QPP_N030_P050_A0_Q020,S001241,STATIONARY_QPP_PRESENT,30,0.0,50.0,0.02,10,0,0.0,false,3.26139115713886e-12,5.1821984925481956e-08,3.5655401106282625e-05,false,0.0009670556923779827,,0,0,0,0,0,1
C033_QPP_N030_P050_A0_Q040,S001281,STATIONARY_QPP_PRESENT,30,0.0,50.0,0.04,10,0,0.0,false,1.7834622667578515e-12,9.490013326285407e-07,0.03156486312269635,true,0.0004716737830605666,,0,2,2,0,0,2
C034_QPP_N030_P050_A1_Q010,S001321,STATIONARY_QPP_PRESENT,30,1.0,50.0,0.01,10,0,0.0,false,3.360867140145274e-12,5.232081434769498e-10,0.25055792412278777,true,5.549655895720207e-05,,0,10,0,0,0,4
C035_QPP_N030_P050_A1_Q020,S001361,STATIONARY_QPP_PRESENT,30,1.0,50.0,0.02,10,0,0.0,false,1.9042545318370685e-12,0.24519216008427946,0.14775868888512633,true,243.29828508130407,,0,10,0,0,0,3
C036_QPP_N030_P050_A1_Q040,S001401,STATIONARY_QPP_PRESENT,30,1.0,50.0,0.04,10,0,0.0,false,6.707523425575346e-12,3.1198581496028055e-09,0.18781120740914758,true,0.00011112031947391188,,0,0,4,0,0,4
C037_QPP_N030_P050_A2_Q010,S001441,STATIONARY_QPP_PRESENT,30,2.0,50.0,0.01,10,0,0.0,false,5.286437954055145e-12,3.6388421165156615e-08,0.1348308545346555,true,0.0007053327016919297,,0,0,0,0,0,0
C038_QPP_N030_P050_A2_Q020,S001481,STATIONARY_QPP_PRESENT,30,2.0,50.0,0.02,10,0,0.0,false,1.4175327578413999e-11,8.446845214393761e-07,0.4148927112925449,true,0.0008133028988908109,,0,10,5,0,0,1
C039_QPP_N030_P050_A2_Q040,S001521,STATIONARY_QPP_PRESENT,30,2.0,50.0,0.04,10,0,0.0,false,2.4229507289419416e-12,3.7360896953941847e-07,1.1680793078589602,true,0.001811900531890842,,0,6,8,0,0,2
C040_QPP_N030_P080_A0_Q010,S001561,STATIONARY_QPP_PRESENT,30,0.0,80.0,0.01,10,0,0.0,false,4.320099833421409e-12,1.425438895807929e-07,0.17944676989721842,true,2.987690894684647e-05,,0,10,2,0,0,3
C041_QPP_N030_P080_A0_Q020,S001601,STATIONARY_QPP_PRESENT,30,0.0,80.0,0.02,10,0,0.0,false,1.1937117960769683e-11,5.433248730923879e-07,0.21616883575357804,true,0.0011338205272934943,,0,10,7,0,0,2
C042_QPP_N030_P080_A0_Q040,S001641,STATIONARY_QPP_PRESENT,30,0.0,80.0,0.04,10,0,0.0,false,1.0999201549566351e-11,0.3440740632329238,0.5760400474109773,true,0.24962859279143856,,0,10,6,0,0,1
C043_QPP_N030_P080_A1_Q010,S001681,STATIONARY_QPP_PRESENT,30,1.0,80.0,0.01,10,0,0.0,false,1.3216094885137863e-12,4.145405796407431e-09,0.2308001574656231,true,0.00013632463683421747,,0,10,1,0,0,6
C044_QPP_N030_P080_A1_Q020,S001721,STATIONARY_QPP_PRESENT,30,1.0,80.0,0.02,10,0,0.0,false,1.4566126083082054e-12,4.99090575090122e-07,0.3361606991980892,true,0.0002597616452888474,,0,10,8,0,0,5
C045_QPP_N030_P080_A1_Q040,S001761,STATIONARY_QPP_PRESENT,30,1.0,80.0,0.04,10,0,0.0,false,1.3855583347321954e-12,3.4522660996572085e-07,0.8138648971441427,true,0.0010932185833354424,,0,10,10,0,0,6
C046_QPP_N030_P080_A2_Q010,S001801,STATIONARY_QPP_PRESENT,30,2.0,80.0,0.01,10,0,0.0,false,4.128253294766182e-12,6.158230263508813e-07,0.11120715624757338,true,0.0006625011745384768,,0,0,0,0,0,1
C047_QPP_N030_P080_A2_Q020,S001841,STATIONARY_QPP_PRESENT,30,2.0,80.0,0.02,10,0,0.0,false,1.4999557151895715e-11,0.04811281149579116,0.376868437352762,true,33.4583164908256,,0,9,7,0,0,0
C048_QPP_N030_P080_A2_Q040,S001881,STATIONARY_QPP_PRESENT,30,2.0,80.0,0.04,10,0,0.0,false,4.5449162655586406e-08,0.22477650877443978,0.795086559659822,true,0.15571944853952857,,8,10,7,0,0,1
C049_QPP_N030_P140_A0_Q010,S001921,STATIONARY_QPP_PRESENT,30,0.0,140.0,0.01,10,0,0.0,false,4.845901457883883e-12,8.450913213664535e-08,0.16289158738076281,true,0.0005028827224080601,,0,10,3,0,0,1
C050_QPP_N030_P140_A0_Q020,S001961,STATIONARY_QPP_PRESENT,30,0.0,140.0,0.02,10,0,0.0,false,4.106937012693379e-12,8.4423474788764e-07,0.16687478326485916,true,0.0001882973772069363,,0,10,1,0,0,3
C051_QPP_N030_P140_A0_Q040,S002001,STATIONARY_QPP_PRESENT,30,0.0,140.0,0.04,10,0,0.0,false,1.8545165403338615e-11,0.05452515814153713,0.4168285797650384,true,92.10649953955168,,0,1,1,0,0,1
C052_QPP_N030_P140_A1_Q010,S002041,STATIONARY_QPP_PRESENT,30,1.0,140.0,0.01,10,0,0.0,false,1.1297629498585593e-11,2.566459045283409e-09,0.3878230508314857,true,5.2709303737685786e-05,,0,10,2,0,0,5
C053_QPP_N030_P140_A1_Q020,S002081,STATIONARY_QPP_PRESENT,30,1.0,140.0,0.02,10,0,0.0,false,1.9753088054130785e-12,1.2289262940612389e-09,0.5529619881042862,true,5.156831097963277e-05,,0,10,2,0,0,4
C054_QPP_N030_P140_A1_Q040,S002121,STATIONARY_QPP_PRESENT,30,1.0,140.0,0.04,10,0,0.0,false,8.597567102697212e-13,0.008119002537604558,1.0314680218213539,true,65.98868779757655,,0,6,2,0,0,5
C055_QPP_N030_P140_A2_Q010,S002161,STATIONARY_QPP_PRESENT,30,2.0,140.0,0.01,10,0,0.0,false,2.8705926524708048e-12,3.1727344662613177e-07,0.21440851696065266,true,0.000754919855715741,,0,2,0,0,0,3
C056_QPP_N030_P140_A2_Q020,S002201,STATIONARY_QPP_PRESENT,30,2.0,140.0,0.02,10,0,0.0,false,3.11928260998684e-12,0.020949674448672795,0.3017820970238887,true,190.9887304491374,,0,8,0,0,0,4
C057_QPP_N030_P140_A2_Q040,S002241,STATIONARY_QPP_PRESENT,30,2.0,140.0,0.04,10,0,0.0,false,3.495870259939693e-12,6.19551769887039e-08,0.8876153492780148,true,0.013717014651490445,,0,0,1,0,0,2
