contrast_type,left_condition_id,right_condition_id,n_samples,red_noise_alpha,left_period_s,right_period_s,left_qpp_fraction,right_qpp_fraction,n_pairs,left_selection_rate,right_selection_rate,paired_selection_difference,n_left0_right0,n_left0_right1,n_left1_right0,n_left1_right1,median_paired_change_delta_bic_min
qpp_vs_null,C001_NULL_N015_A0,C013_QPP_N015_P050_A0_Q010,15,0.0,,50.0,,0.01,40,0.0,0.0,0.0,40,0,0,0,0.007887148542322642
qpp_vs_null,C001_NULL_N015_A0,C014_QPP_N015_P050_A0_Q020,15,0.0,,50.0,,0.02,40,0.0,0.0,0.0,40,0,0,0,0.03222905002767362
qpp_vs_null,C001_NULL_N015_A0,C015_QPP_N015_P050_A0_Q040,15,0.0,,50.0,,0.04,40,0.0,0.0,0.0,40,0,0,0,0.2176518442645481
qpp_vs_null,C002_NULL_N015_A1,C016_QPP_N015_P050_A1_Q010,15,1.0,,50.0,,0.01,40,0.0,0.0,0.0,40,0,0,0,0.019676468977118056
qpp_vs_null,C002_NULL_N015_A1,C017_QPP_N015_P050_A1_Q020,15,1.0,,50.0,,0.02,40,0.0,0.0,0.0,40,0,0,0,0.04383317511441209
qpp_vs_null,C002_NULL_N015_A1,C018_QPP_N015_P050_A1_Q040,15,1.0,,50.0,,0.04,40,0.0,0.0,0.0,40,0,0,0,0.2548174871904969
qpp_vs_null,C003_NULL_N015_A2,C019_QPP_N015_P050_A2_Q010,15,2.0,,50.0,,0.01,40,0.0,0.0,0.0,40,0,0,0,0.00031902241847703294
qpp_vs_null,C003_NULL_N015_A2,C020_QPP_N015_P050_A2_Q020,15,2.0,,50.0,,0.02,40,0.0,0.0,0.0,40,0,0,0,0.003986193181646058
qpp_vs_null,C003_NULL_N015_A2,C021_QPP_N015_P050_A2_Q040,15,2.0,,50.0,,0.04,40,0.0,0.0,0.0,40,0,0,0,0.17500471852356814
qpp_vs_null,C001_NULL_N015_A0,C022_QPP_N015_P080_A0_Q010,15,0.0,,80.0,,0.01,40,0.0,0.0,0.0,40,0,0,0,0.021612586289801783
qpp_vs_null,C001_NULL_N015_A0,C023_QPP_N015_P080_A0_Q020,15,0.0,,80.0,,0.02,40,0.0,0.0,0.0,40,0,0,0,0.055276372810037167
qpp_vs_null,C001_NULL_N015_A0,C024_QPP_N015_P080_A0_Q040,15,0.0,,80.0,,0.04,40,0.0,0.0,0.0,40,0,0,0,0.161727964204597
qpp_vs_null,C002_NULL_N015_A1,C025_QPP_N015_P080_A1_Q010,15,1.0,,80.0,,0.01,40,0.0,0.0,0.0,40,0,0,0,0.004327581718293061
qpp_vs_null,C002_NULL_N015_A1,C026_QPP_N015_P080_A1_Q020,15,1.0,,80.0,,0.02,40,0.0,0.0,0.0,40,0,0,0,0.021117100634219454
