n_samples,period_s,red_noise_alpha,left_condition_id,right_condition_id,left_qpp_fraction,right_qpp_fraction,n_pairs,median_change_delta_bic_0_1,median_change_delta_bic_2_1,median_change_joint_margin,m0_threshold_crossing_count,m0_threshold_crossing_0_to_1_count,m0_threshold_crossing_1_to_0_count,m2_threshold_crossing_count,m2_threshold_crossing_0_to_1_count,m2_threshold_crossing_1_to_0_count,bic_winner_change_count
15,50.0,0.0,C013_QPP_N015_P050_A0_Q010,C014_QPP_N015_P050_A0_Q020,0.01,0.02,40,0.025625914107614278,0.0052965608687696175,0.025625914107614278,0,0,0,0,0,0,0
15,50.0,0.0,C014_QPP_N015_P050_A0_Q020,C015_QPP_N015_P050_A0_Q040,0.02,0.04,40,0.14663300900841492,0.03759880481899014,0.14663300900841492,0,0,0,0,0,0,0
15,50.0,0.0,C013_QPP_N015_P050_A0_Q010,C015_QPP_N015_P050_A0_Q040,0.01,0.04,40,0.1997914493981261,0.04892102463638892,0.1997914493981261,0,0,0,0,0,0,0
15,50.0,1.0,C016_QPP_N015_P050_A1_Q010,C017_QPP_N015_P050_A1_Q020,0.01,0.02,40,0.025917759266276263,0.002312552443108906,0.025917759266276263,0,0,0,0,0,0,0
15,50.0,1.0,C017_QPP_N015_P050_A1_Q020,C018_QPP_N015_P050_A1_Q040,0.02,0.04,40,0.18098032059968716,0.06449969159858959,0.18098032059968716,0,0,0,0,0,0,0
15,50.0,1.0,C016_QPP_N015_P050_A1_Q010,C018_QPP_N015_P050_A1_Q040,0.01,0.04,40,0.22661983905276273,0.07765021804029448,0.22661983905276273,0,0,0,0,0,0,0
15,50.0,2.0,C019_QPP_N015_P050_A2_Q010,C020_QPP_N015_P050_A2_Q020,0.01,0.02,40,0.0034942407009408427,0.011176671377708836,0.0034942407009408427,0,0,0,0,0,0,0
15,50.0,2.0,C020_QPP_N015_P050_A2_Q020,C021_QPP_N015_P050_A2_Q040,0.02,0.04,40,0.14561589929275076,0.049650520652311236,0.14561589929275076,0,0,0,0,0,0,0
15,50.0,2.0,C019_QPP_N015_P050_A2_Q010,C021_QPP_N015_P050_A2_Q040,0.01,0.04,40,0.17934161720417485,0.06115657413892084,0.17934161720417485,0,0,0,0,0,0,0
15,80.0,0.0,C022_QPP_N015_P080_A0_Q010,C023_QPP_N015_P080_A0_Q020,0.01,0.02,40,0.03585260107557886,0.000371308497608247,0.03585260107557886,0,0,0,0,0,0,0
