condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,nominal_window_cycles,n_series,both_thresholds_passed_count,m0_comparison_only_passed_count,m2_comparison_only_passed_count,both_comparisons_failed_count,passes_m0_count,passes_m0_rate,passes_m2_count,passes_m2_rate,bic_winner_m0_count,bic_winner_m1_count,bic_winner_m2_count,bic_tie_count,delta_bic_0_1_median,delta_bic_0_1_p10,delta_bic_0_1_p90,delta_bic_2_1_median,delta_bic_2_1_p10,delta_bic_2_1_p90,margin_vs_m0_median,margin_vs_m0_p10,margin_vs_m0_p90,margin_vs_m2_median,margin_vs_m2_p10,margin_vs_m2_p90,joint_margin_median,joint_margin_p10,joint_margin_p90,two_loglike_gain_m1_vs_m0_median,two_loglike_gain_m1_vs_m2_median,bic_penalty_remainder_vs_m0_median,bic_penalty_remainder_vs_m2_median,formal_period_n,formal_period_median_signed_error_s,formal_period_median_absolute_error_s,formal_period_p90_absolute_error_s,formal_period_median_relative_error_percent,m0_any_bound_count,m0_any_bound_rate,m1_any_bound_count,m1_any_bound_rate,m1_amplitude_parameter_bound_count,m1_amplitude_parameter_bound_rate,m1_center_parameter_bound_count,m1_center_parameter_bound_rate,m1_width_parameter_bound_count,m1_width_parameter_bound_rate,m2_any_bound_count,m2_any_bound_rate,m2_warning_call_count,m2_warning_call_rate,m2_warning_total,positive_frequency_bins,bins_after_cutoff
C001_NULL_N015_A0,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-5.515211881445495,-5.608549536654626,-5.361075551305945,-1.9114887244581658,-1.9511192228660124,-1.842546145165838,-15.515211881445495,-15.608549536654627,-15.361075551305944,-11.911488724458167,-11.951119222866012,-11.842546145165839,-15.515211881445495,-15.608549536654627,-15.361075551305944,0.32251856572044346,0.03442142459714681,5.837730447165939,1.9459101490553126,,,,,,0,0.0,18,0.45,0,0.0,0,0.0,18,0.45,15,0.375,5,0.125,85,7,7
C002_NULL_N015_A1,NULL_FLARE_RED_NOISE,15,280.0,1.0,,,,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-5.51104073038815,-5.630862267656705,-5.422824030862954,-1.9230092517496384,-1.9479668511584507,-1.83934427468051,-15.51104073038815,-15.630862267656706,-15.422824030862955,-11.923009251749638,-11.947966851158451,-11.83934427468051,-15.51104073038815,-15.630862267656706,-15.422824030862955,0.32668971677778824,0.02290089730567413,5.837730447165939,1.9459101490553126,,,,,,0,0.0,13,0.325,0,0.0,0,0.0,13,0.325,20,0.5,2,0.05,6,7,7
C003_NULL_N015_A2,NULL_FLARE_RED_NOISE,15,280.0,2.0,,,,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-5.545414973803379,-5.627986072912954,-5.419451430105984,-1.9326665874829887,-1.9463935840543878,-1.9013022875692185,-15.545414973803378,-15.627986072912954,-15.419451430105983,-11.93266658748299,-11.946393584054388,-11.90130228756922,-15.545414973803378,-15.627986072912954,-15.419451430105983,0.29231547336255925,0.01324356157232387,5.837730447165939,1.9459101490553126,,,,,,0,0.0,12,0.3,0,0.0,0,0.0,12,0.3,20,0.5,2,0.05,27,7,7
C004_NULL_N030_A0,NULL_FLARE_RED_NOISE,30,580.0,0.0,,,,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-7.437669487804289,-7.632924366882277,-6.577503111127067,-2.3610471551754486,-2.6389611871812777,-1.6296866889543409,-17.43766948780429,-17.63292436688228,-16.57750311112707,-12.361047155175449,-12.638961187181277,-11.62968668895434,-17.43766948780429,-17.63292436688228,-16.57750311112707,0.47950250104148395,0.2780101744398067,7.917171988845773,2.6390573296152553,,,,,,2,0.05,29,0.725,3,0.075,5,0.125,27,0.675,11,0.275,17,0.425,30,14,14
C005_NULL_N030_A1,NULL_FLARE_RED_NOISE,30,580.0,1.0,,,,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-7.63341878021582,-7.712012649723767,-7.426679856249501,-2.5822699023206077,-2.701106002852859,-2.4705080680645715,-17.63341878021582,-17.712012649723768,-17.4266798562495,-12.582269902320608,-12.701106002852859,-12.470508068064571,-17.63341878021582,-17.712012649723768,-17.4266798562495,0.28375320862995324,0.056787427294647586,7.917171988845773,2.6390573296152553,,,,,,0,0.0,25,0.625,1,0.025,15,0.375,15,0.375,13,0.325,10,0.25,26,14,14
C006_NULL_N030_A2,NULL_FLARE_RED_NOISE,30,580.0,2.0,,,,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-7.675351318319521,-7.751757840616658,-7.609343592910857,-2.623352978789928,-2.675463471862745,-2.5466382506543033,-17.67535131831952,-17.75175784061666,-17.609343592910857,-12.623352978789928,-12.675463471862745,-12.546638250654304,-17.67535131831952,-17.75175784061666,-17.609343592910857,0.241820670526252,0.015704350825327396,7.917171988845773,2.6390573296152553,,,,,,0,0.0,24,0.6,0,0.0,20,0.5,5,0.125,11,0.275,9,0.225,55,14,14
C013_QPP_N015_P050_A0_Q010,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.01,5.6,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-5.512102716972418,-5.601137219025156,-5.281380590037358,-1.9064440298349234,-1.9459333692145575,-1.7998535346939808,-15.512102716972418,-15.601137219025155,-15.281380590037358,-11.906444029834924,-11.945933369214558,-11.79985353469398,-15.512102716972418,-15.601137219025155,-15.281380590037358,0.32562773019352065,0.03946611922038912,5.837730447165939,1.9459101490553126,40,118.10569555642458,118.10569555642458,178.359623818462,236.21139111284916,1,0.025,20,0.5,0,0.0,1,0.025,19,0.475,12,0.3,3,0.075,20,7,7
C014_QPP_N015_P050_A0_Q020,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.02,5.6,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-5.494132661619273,-5.626772704360647,-5.129766203520668,-1.892869106375863,-1.9462394735448423,-1.781477075177105,-15.494132661619272,-15.626772704360647,-15.129766203520669,-11.892869106375862,-11.946239473544841,-11.781477075177104,-15.494132661619272,-15.626772704360647,-15.129766203520669,0.34359778554666587,0.053041042679449646,5.837730447165939,1.9459101490553126,40,108.17165769771813,108.17165769771813,168.64401800502407,216.34331539543626,2,0.05,21,0.525,0,0.0,1,0.025,20,0.5,14,0.35,5,0.125,32,7,7
C015_QPP_N015_P050_A0_Q040,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,5.6,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-5.319098038846364,-5.614146675774844,-4.893663552662155,-1.850335398688621,-1.9618200113071091,-1.6145819642616248,-15.319098038846363,-15.614146675774844,-14.893663552662156,-11.850335398688621,-11.96182001130711,-11.614581964261625,-15.319098038846363,-15.614146675774844,-14.893663552662156,0.5186324083195748,0.0955747503666915,5.837730447165939,1.9459101490553126,40,11.903118580627233,11.903118580627233,138.51103212049657,23.806237161254465,6,0.15,30,0.75,0,0.0,6,0.15,28,0.7,16,0.4,5,0.125,6,7,7
C016_QPP_N015_P050_A1_Q010,STATIONARY_QPP_PRESENT,15,280.0,1.0,50.0,0.01,5.6,40,0,0,0,40,0,0.0,0,0.0,40,0,0,0,-5.500256881624228,-5.651533308527464,-5.355500332978094,-1.9250235826927975,-1.9547343430175297,-1.819412100434968,-15.500256881624228,-15.651533308527464,-15.355500332978094,-11.925023582692797,-11.95473434301753,-11.819412100434967,-15.500256881624228,-15.651533308527464,-15.355500332978094,0.3374735655417105,0.02088656636251507,5.837730447165939,1.9459101490553126,40,122.58576621177534,122.58576621177534,183.1037237160066,245.17153242355067,0,0.0,19,0.475,0,0.0,0,0.0,19,0.475,13,0.325,7,0.175,95,7,7
