condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,parent_n_samples,window_extraction,data_seed_start,data_seed_end,data_seed_count,planned_series_count,primary_optimizer_seed,stability_data_seed,stability_optimizer_seed_start,stability_optimizer_seed_end,planned_primary_model_calls,planned_stability_model_calls
NW001_NULL_N015_A0,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW002_QPP_N015_P050_A0_Q040,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW003_QPP_N015_P080_A0_Q040,STATIONARY_QPP_PRESENT,15,280.0,0.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW004_NULL_N015_A1,NULL_FLARE_RED_NOISE,15,280.0,1.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW005_QPP_N015_P050_A1_Q040,STATIONARY_QPP_PRESENT,15,280.0,1.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW006_QPP_N015_P080_A1_Q040,STATIONARY_QPP_PRESENT,15,280.0,1.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW007_NULL_N015_A2,NULL_FLARE_RED_NOISE,15,280.0,2.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW008_QPP_N015_P050_A2_Q040,STATIONARY_QPP_PRESENT,15,280.0,2.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW009_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,15,280.0,2.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW010_NULL_N030_A0,NULL_FLARE_RED_NOISE,30,580.0,0.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW011_QPP_N030_P050_A0_Q040,STATIONARY_QPP_PRESENT,30,580.0,0.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW012_QPP_N030_P080_A0_Q040,STATIONARY_QPP_PRESENT,30,580.0,0.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW013_NULL_N030_A1,NULL_FLARE_RED_NOISE,30,580.0,1.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW014_QPP_N030_P050_A1_Q040,STATIONARY_QPP_PRESENT,30,580.0,1.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW015_QPP_N030_P080_A1_Q040,STATIONARY_QPP_PRESENT,30,580.0,1.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW016_NULL_N030_A2,NULL_FLARE_RED_NOISE,30,580.0,2.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW017_QPP_N030_P050_A2_Q040,STATIONARY_QPP_PRESENT,30,580.0,2.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW018_QPP_N030_P080_A2_Q040,STATIONARY_QPP_PRESENT,30,580.0,2.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW019_NULL_N045_A0,NULL_FLARE_RED_NOISE,45,880.0,0.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW020_QPP_N045_P050_A0_Q040,STATIONARY_QPP_PRESENT,45,880.0,0.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW021_QPP_N045_P080_A0_Q040,STATIONARY_QPP_PRESENT,45,880.0,0.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW022_NULL_N045_A1,NULL_FLARE_RED_NOISE,45,880.0,1.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW023_QPP_N045_P050_A1_Q040,STATIONARY_QPP_PRESENT,45,880.0,1.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW024_QPP_N045_P080_A1_Q040,STATIONARY_QPP_PRESENT,45,880.0,1.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW025_NULL_N045_A2,NULL_FLARE_RED_NOISE,45,880.0,2.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW026_QPP_N045_P050_A2_Q040,STATIONARY_QPP_PRESENT,45,880.0,2.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW027_QPP_N045_P080_A2_Q040,STATIONARY_QPP_PRESENT,45,880.0,2.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW028_NULL_N060_A0,NULL_FLARE_RED_NOISE,60,1180.0,0.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW029_QPP_N060_P050_A0_Q040,STATIONARY_QPP_PRESENT,60,1180.0,0.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW030_QPP_N060_P080_A0_Q040,STATIONARY_QPP_PRESENT,60,1180.0,0.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW031_NULL_N060_A1,NULL_FLARE_RED_NOISE,60,1180.0,1.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW032_QPP_N060_P050_A1_Q040,STATIONARY_QPP_PRESENT,60,1180.0,1.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW033_QPP_N060_P080_A1_Q040,STATIONARY_QPP_PRESENT,60,1180.0,1.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW034_NULL_N060_A2,NULL_FLARE_RED_NOISE,60,1180.0,2.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW035_QPP_N060_P050_A2_Q040,STATIONARY_QPP_PRESENT,60,1180.0,2.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW036_QPP_N060_P080_A2_Q040,STATIONARY_QPP_PRESENT,60,1180.0,2.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW037_NULL_N090_A0,NULL_FLARE_RED_NOISE,90,1780.0,0.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW038_QPP_N090_P050_A0_Q040,STATIONARY_QPP_PRESENT,90,1780.0,0.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW039_QPP_N090_P080_A0_Q040,STATIONARY_QPP_PRESENT,90,1780.0,0.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW040_NULL_N090_A1,NULL_FLARE_RED_NOISE,90,1780.0,1.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW041_QPP_N090_P050_A1_Q040,STATIONARY_QPP_PRESENT,90,1780.0,1.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW042_QPP_N090_P080_A1_Q040,STATIONARY_QPP_PRESENT,90,1780.0,1.0,80.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW043_NULL_N090_A2,NULL_FLARE_RED_NOISE,90,1780.0,2.0,,,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
NW044_QPP_N090_P050_A2_Q040,STATIONARY_QPP_PRESENT,90,1780.0,2.0,50.0,0.04,120,EXACT_PREFIX_PARENT_FIRST_N_SAMPLES,0,39,40,40,0,0,1,9,120,27
