parent_id,block_id,ground_truth,red_noise_alpha,data_seed,period_s,qpp_fraction,parent_n_samples,time_sha256,envelope_sha256,noise_sha256,phase_float64_sha256,qpp_component_sha256,parent_flux_sha256,all_finite,flux_mean,flux_std_ddof1,flux_min,flux_max,construction_status,error
NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,0,0,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,0b57a1da8036bc2905a3056f895c413806d5dd68ed4b9b880d0b7711e926210f,dbc26264f714bf525437134f102b5626c08b4da6d4ad7618d378f25d95cea8eb,,b867d0a5539a8a29e16c4067bd843f153e62a658154e5eff6f6194dfea4317e8,True,1.0205013742233473,0.072227968804562268,0.99021157715185681,1.4947586633716143,OK,
NWP_A0_S00_P050,NWB_A0_S00,STATIONARY_QPP_PRESENT,0,0,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,0b57a1da8036bc2905a3056f895c413806d5dd68ed4b9b880d0b7711e926210f,dbc26264f714bf525437134f102b5626c08b4da6d4ad7618d378f25d95cea8eb,b080f9bc980bfa5e908c9cdf5099adcff23d28fdf4ad9fc1347ee499831dd2a6,c4f5ca75cfc8943a50ab8e154e8be67f743c944079d076659605edb3e8a65e43,True,1.0204474116935425,0.07180748455241566,0.99021163319775718,1.4779710767433605,OK,
NWP_A0_S00_P080,NWB_A0_S00,STATIONARY_QPP_PRESENT,0,0,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,0b57a1da8036bc2905a3056f895c413806d5dd68ed4b9b880d0b7711e926210f,dbc26264f714bf525437134f102b5626c08b4da6d4ad7618d378f25d95cea8eb,454cc3567d4479e9ba85222a83c23fb0a6eb9af40e3139f194845424062bce96,002215aaeae970ebeff70188f8343270a721b69915588b67c61b64815c1c7760,True,1.0204482908991923,0.07185980058058955,0.99021139450056028,1.4779710767433605,OK,
NWP_A0_S01_NULL,NWB_A0_S01,NULL_FLARE_RED_NOISE,0,1,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,bcbaef7bd3db9eb78532aa8ddd36e84c07ffa83b7ceb16cfa3ea9f81054c9747,113e116b85f3d1428c9ec84b7c3c98ad209f7659d1ed830485e30e7fe118bfcf,,8448ae30e7669817f7338f72c49b95006b54d913a3e51fed288c5fb0dff52264,True,1.0205013742233473,0.072352849587791826,0.98447133937941778,1.5018127940868391,OK,
NWP_A0_S01_P050,NWB_A0_S01,STATIONARY_QPP_PRESENT,0,1,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,bcbaef7bd3db9eb78532aa8ddd36e84c07ffa83b7ceb16cfa3ea9f81054c9747,113e116b85f3d1428c9ec84b7c3c98ad209f7659d1ed830485e30e7fe118bfcf,0a71e7891c5307af7fadcacd7ced6807d7115494dda6ec570b432484c7e87f59,2fad83947b4c295e81c6dd3efec023394cdb3a2e28b366623a0b1a628a75387b,True,1.0204563224379055,0.071979596762629147,0.98447134759532706,1.4869734685639655,OK,
NWP_A0_S01_P080,NWB_A0_S01,STATIONARY_QPP_PRESENT,0,1,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,bcbaef7bd3db9eb78532aa8ddd36e84c07ffa83b7ceb16cfa3ea9f81054c9747,113e116b85f3d1428c9ec84b7c3c98ad209f7659d1ed830485e30e7fe118bfcf,a7270e6830c819c5b98d8be0bc30e5f2e442702da4a1ec6bfa51681cc22185da,33c20d3e0e28fda739c697943b17b144c996fbe6d79ee8633d86436d1b456bc4,True,1.0204646842996248,0.072089869619708771,0.98447135430784916,1.4869734685639655,OK,
NWP_A0_S02_NULL,NWB_A0_S02,NULL_FLARE_RED_NOISE,0,2,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,54fd8dc38c1dfab8c982ce9a42a5ee14ede667b8106d2747de8c8b205e956f6f,d3494d10446da77ae6850118645c62467494aaf0e5647ab534c5bb6260d29398,,611c1b9380321b0d8c2eeb77d28ae9bc1c950a52cf09c869d8c8fa507b2f0bf9,True,1.0205013742233473,0.07216660860318895,0.98828559599031107,1.4997507755480302,OK,
NWP_A0_S02_P050,NWB_A0_S02,STATIONARY_QPP_PRESENT,0,2,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,54fd8dc38c1dfab8c982ce9a42a5ee14ede667b8106d2747de8c8b205e956f6f,d3494d10446da77ae6850118645c62467494aaf0e5647ab534c5bb6260d29398,304886f8c3582d16fc0f15c738446c42e317fad3658dc423f73863da5157144f,9c5f1b6838ee0bbfe90285357e34976dab4beadbd9636910d0adecc49a03ea0e,True,1.0205314409813335,0.072486354010269274,0.98828559599033017,1.504247425114593,OK,
NWP_A0_S02_P080,NWB_A0_S02,STATIONARY_QPP_PRESENT,0,2,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,54fd8dc38c1dfab8c982ce9a42a5ee14ede667b8106d2747de8c8b205e956f6f,d3494d10446da77ae6850118645c62467494aaf0e5647ab534c5bb6260d29398,c3ca534bb0f201e622f8c9047527fa04162302fe8ea17dc54c44dacdbe13f6a4,ffa5f71932dc53806d3a1b9f144347300e932550b644a4bf56617b67ea65820f,True,1.0205759214854413,0.072842273012434094,0.98828559599029198,1.504247425114593,OK,
NWP_A0_S03_NULL,NWB_A0_S03,NULL_FLARE_RED_NOISE,0,3,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,12c8991dea862596f11dd4ab75d0875930080e4fede1eedc86bdfbdbdd7e7ef0,4850da782962f41475bbee9b7fd5e93d5b63b5f499bd19649324ebd6b6cb9992,,a23bbdff7af24e36bf5bc4353ca47dce40aa2470f522e4c30c77873f6d4a7632,True,1.0205013742233473,0.072222587491375362,0.98889346864378447,1.5065526490568537,OK,
