series_id,condition_id,parent_id,block_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,decision_status,valid_models,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,estimated_period_s,period_label
NWS000001,NW001_NULL_N015_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,0,0,VALID,3,-5.824993800457396,-0.26337177232225173,-2.1794023168172965,-5.561622028135144,-1.9160305444950447,False,129.75885275649713,formal_m1_center_not_selected
NWS000001,NW001_NULL_N015_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,0,1,VALID,3,-5.82499380045812,-0.26337199788867416,-2.179402316892765,-5.561621802569446,-1.9160303190040908,False,127.8138698814035,formal_m1_center_not_selected
NWS000361,NW010_NULL_N030_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,30,580.0,0.0,,,0,0,VALID,3,-79.04809192742533,-73.46072599621414,-74.05696767057877,-5.587365931211195,-0.5962416743646344,False,58.12771392244501,formal_m1_center_not_selected
NWS000361,NW010_NULL_N030_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,30,580.0,0.0,,,0,1,VALID,3,-79.04809192742476,-73.46072599613422,-74.05696578265953,-5.587365931290549,-0.5962397865253166,False,58.127718369796426,formal_m1_center_not_selected
NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,45,880.0,0.0,,,0,0,VALID,3,-157.70613648264703,-151.35381326257044,-152.42901643159456,-6.352323220076585,-1.075203169024121,False,89.85984588268029,formal_m1_center_not_selected
NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,45,880.0,0.0,,,0,1,VALID,3,-157.70613648264734,-151.35381326268623,-152.42901402692735,-6.352323219961107,-1.0752007642411172,False,89.8598436235724,formal_m1_center_not_selected
NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,60,1180.0,0.0,,,0,0,VALID,3,-195.94773105414694,-187.18656227856206,-189.4137803939081,-8.761168775584878,-2.2272181153460338,False,88.09857053999087,formal_m1_center_not_selected
NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,60,1180.0,0.0,,,0,1,VALID,3,-195.94773105414654,-187.186562278452,-189.31677653660103,-8.761168775694557,-2.1302142581490386,False,88.09857373095068,formal_m1_center_not_selected
NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,90,1780.0,0.0,,,0,0,VALID,3,-271.0295883854205,-266.1440804915821,-263.78843452334047,-4.885507893838394,2.3556459682416175,False,41.14403705579305,formal_m1_center_not_selected
NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,90,1780.0,0.0,,,0,1,VALID,3,-271.02958838541934,-266.14408048440174,-263.78843397800574,-4.885507901017604,2.355646506395999,False,41.144612408094154,formal_m1_center_not_selected
NWS001801,NW046_NULL_N120_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,120,2380.0,0.0,,,0,0,VALID,3,-323.6518690419236,-315.1530933093136,-315.4973138124764,-8.49877573261,-0.3442205031628305,False,40.0,formal_m1_center_not_selected
NWS001801,NW046_NULL_N120_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,120,2380.0,0.0,,,0,1,VALID,3,-323.6518690419803,-315.1530933085064,-315.5090070683883,-8.498775733473906,-0.35591375988190066,False,40.0,formal_m1_center_not_selected
NWS000321,NW009_QPP_N015_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,15,280.0,2.0,80.0,0.04,0,0,VALID,3,-4.803009443566175,0.5686597363507353,-1.3589342032445364,-5.3716691799169105,-1.9275939395952717,False,130.0215238683585,formal_m1_center_not_selected
NWS000321,NW009_QPP_N015_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,15,280.0,2.0,80.0,0.04,0,1,VALID,3,-4.803009443566191,0.5686596535585782,-1.358934203210338,-5.371669097124769,-1.9275938567689161,False,129.93723953637866,formal_m1_center_not_selected
NWS000681,NW018_QPP_N030_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,30,580.0,2.0,80.0,0.04,0,0,VALID,3,-86.37497504063552,-78.7131509311655,-81.41751088558716,-7.661824109470018,-2.704359954421662,False,63.62792127791017,formal_m1_center_not_selected
NWS000681,NW018_QPP_N030_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,30,580.0,2.0,80.0,0.04,0,1,VALID,3,-86.37497504063589,-78.71315093103075,-81.41751135143146,-7.661824109605135,-2.704360420400704,False,63.62778620743931,formal_m1_center_not_selected
NWS001041,NW027_QPP_N045_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,45,880.0,2.0,80.0,0.04,0,0,VALID,3,-200.65835432457595,-192.06877524968607,-194.76842939630433,-8.589579074889883,-2.6996541466182578,False,96.00474485746541,formal_m1_center_not_selected
NWS001041,NW027_QPP_N045_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,45,880.0,2.0,80.0,0.04,0,1,VALID,3,-200.65835432457675,-192.06877537442142,-194.79058525615818,-8.589578950155328,-2.7218098817367604,False,96.00582900281208,formal_m1_center_not_selected
NWS001401,NW036_QPP_N060_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,60,1180.0,2.0,80.0,0.04,0,0,VALID,3,-291.581706001692,-282.18874298375766,-285.219628068604,-9.392963017934335,-3.030885084846318,False,95.98828169325188,formal_m1_center_not_selected
NWS001401,NW036_QPP_N060_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,60,1180.0,2.0,80.0,0.04,0,1,VALID,3,-291.5817060016893,-282.188742853118,-285.2196823526546,-9.392963148571312,-3.0309394995366006,False,95.9864061366813,formal_m1_center_not_selected
NWS001761,NW045_QPP_N090_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,90,1780.0,2.0,80.0,0.04,0,0,VALID,3,-457.4552205902785,-449.1887673315754,-451.21370350327663,-8.266453258703109,-2.024936171701256,False,132.1727740397897,formal_m1_center_not_selected
NWS001761,NW045_QPP_N090_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,90,1780.0,2.0,80.0,0.04,0,1,VALID,3,-457.4552205902724,-449.1887671987637,-451.2137042923359,-8.266453391508719,-2.0249370935721913,False,132.17240787966213,formal_m1_center_not_selected
NWS002121,NW054_QPP_N120_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,120,2380.0,2.0,80.0,0.04,0,0,VALID,3,-563.8016751295847,-554.1384074823782,-556.2333428571386,-9.663267647206567,-2.094935374760439,False,137.6626287791268,formal_m1_center_not_selected
