job_id,job_order,job_class,series_id,condition_id,parent_id,block_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,model_id,model_name,flux_start_offset,flux_end_offset,time_vector_id,input_flux_sha256,input_time_sha256,parent_n120_series_id
NWJ000001,1,primary,NWS000001,NW001_NULL_N015_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,15,280,0,,,0,0,M0,pow_const,0,15,NT_N015,4885bec4fbbd3b5ad1cf2c91729082ef1010db94d93dec93fa11f882a4140e8f,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS001801
NWJ000002,2,primary,NWS000001,NW001_NULL_N015_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,15,280,0,,,0,0,M1,pow_const_gauss,0,15,NT_N015,4885bec4fbbd3b5ad1cf2c91729082ef1010db94d93dec93fa11f882a4140e8f,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS001801
NWJ000003,3,primary,NWS000001,NW001_NULL_N015_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,15,280,0,,,0,0,M2,bpow_const,0,15,NT_N015,4885bec4fbbd3b5ad1cf2c91729082ef1010db94d93dec93fa11f882a4140e8f,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS001801
NWJ006481,6481,stability,NWS000001,NW001_NULL_N015_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,15,280,0,,,0,1,M0,pow_const,0,15,NT_N015,4885bec4fbbd3b5ad1cf2c91729082ef1010db94d93dec93fa11f882a4140e8f,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS001801
NWJ006482,6482,stability,NWS000001,NW001_NULL_N015_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,15,280,0,,,0,1,M1,pow_const_gauss,0,15,NT_N015,4885bec4fbbd3b5ad1cf2c91729082ef1010db94d93dec93fa11f882a4140e8f,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS001801
NWJ006483,6483,stability,NWS000001,NW001_NULL_N015_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,15,280,0,,,0,1,M2,bpow_const,0,15,NT_N015,4885bec4fbbd3b5ad1cf2c91729082ef1010db94d93dec93fa11f882a4140e8f,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS001801
NWJ001081,1081,primary,NWS000361,NW010_NULL_N030_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,30,580,0,,,0,0,M0,pow_const,5400,5430,NT_N030,b4a56e75d9cc868149c17b7ded8e91003aa07fc292f0a69f9b8ebe3e8b50dd15,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS001801
NWJ001082,1082,primary,NWS000361,NW010_NULL_N030_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,30,580,0,,,0,0,M1,pow_const_gauss,5400,5430,NT_N030,b4a56e75d9cc868149c17b7ded8e91003aa07fc292f0a69f9b8ebe3e8b50dd15,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS001801
NWJ001083,1083,primary,NWS000361,NW010_NULL_N030_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,30,580,0,,,0,0,M2,bpow_const,5400,5430,NT_N030,b4a56e75d9cc868149c17b7ded8e91003aa07fc292f0a69f9b8ebe3e8b50dd15,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS001801
NWJ006724,6724,stability,NWS000361,NW010_NULL_N030_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,30,580,0,,,0,1,M0,pow_const,5400,5430,NT_N030,b4a56e75d9cc868149c17b7ded8e91003aa07fc292f0a69f9b8ebe3e8b50dd15,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS001801
