condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,primary_decision_count,selection_count,selection_rate,wilson_ci_low,wilson_ci_high,median_delta_bic_0_1,median_delta_bic_2_1,median_joint_margin,limiting_m0_count,limiting_m2_count,limiting_tie_count,bic_winner_m0_count,bic_winner_m1_count,bic_winner_m2_count,bic_winner_tie_count,selected_period_count,selected_signed_period_error_median_s,selected_absolute_period_error_median_s,formal_period_count,formal_signed_period_error_median_s,formal_absolute_period_error_median_s
NW001_NULL_N015_A0,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,40,0,0.0,0.0,0.08762160119728664,-5.5407427391112485,-1.9211505578618313,-15.540742739111248,40,0,0,40,0,0,0,0,,,0,,
NW002_QPP_N015_P050_A0_Q040,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.385719630139118,-1.8419609367384462,-15.385719630139118,40,0,0,40,0,0,0,0,,,40,4.974395590015444,6.5068185831194825
NW003_QPP_N015_P080_A0_Q040,STATIONARY_QPP_PRESENT,15,280.0,0.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.555184418991977,-1.8878931956954892,-15.555184418991978,40,0,0,40,0,0,0,0,,,40,72.40857155220527,72.40857155220527
NW004_NULL_N015_A1,NULL_FLARE_RED_NOISE,15,280.0,1.0,,,40,0,0.0,0.0,0.08762160119728664,-5.548965908807589,-1.9341247687732075,-15.548965908807588,40,0,0,40,0,0,0,0,,,0,,
NW005_QPP_N015_P050_A1_Q040,STATIONARY_QPP_PRESENT,15,280.0,1.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.459899667149865,-1.8602304003314512,-15.459899667149866,40,0,0,40,0,0,0,0,,,40,3.670895790112649,5.183107294410323
NW006_QPP_N015_P080_A1_Q040,STATIONARY_QPP_PRESENT,15,280.0,1.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.436685325299437,-1.9224741480034604,-15.436685325299436,40,0,0,40,0,0,0,0,,,40,80.87039605734024,80.87039605734024
NW007_NULL_N015_A2,NULL_FLARE_RED_NOISE,15,280.0,2.0,,,40,0,0.0,0.0,0.08762160119728664,-5.537093616840897,-1.9360986717995141,-15.537093616840897,40,0,0,40,0,0,0,0,,,0,,
NW008_QPP_N015_P050_A2_Q040,STATIONARY_QPP_PRESENT,15,280.0,2.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.381973426704915,-1.907422465090443,-15.381973426704915,40,0,0,40,0,0,0,0,,,40,5.508598469611588,10.0
NW009_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,15,280.0,2.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.501781384041962,-1.9117709852095928,-15.501781384041962,40,0,0,40,0,0,0,0,,,40,78.03658979992917,78.03658979992917
NW010_NULL_N030_A0,NULL_FLARE_RED_NOISE,30,580.0,0.0,,,40,0,0.0,0.0,0.08762160119728664,-6.462151720287416,-1.5037885959572037,-16.462151720287416,40,0,0,40,0,0,0,0,,,0,,
