n_samples,model_id,model_name,call_count,warning_call_count,warning_total,bound_hit_call_count,warning_rate,bound_rate
15,M0,pow_const,360,0,0,19,0.0,0.05277777777777778
15,M1,pow_const_gauss,360,0,0,175,0.0,0.4861111111111111
15,M2,bpow_const,360,46,380,119,0.12777777777777777,0.33055555555555555
30,M0,pow_const,360,0,0,4,0.0,0.011111111111111112
30,M1,pow_const_gauss,360,0,0,234,0.0,0.65
30,M2,bpow_const,360,235,1041,102,0.6527777777777778,0.2833333333333333
45,M0,pow_const,360,0,0,5,0.0,0.013888888888888888
45,M1,pow_const_gauss,360,0,0,228,0.0,0.6333333333333333
45,M2,bpow_const,360,307,1874,139,0.8527777777777777,0.3861111111111111
60,M0,pow_const,360,0,0,5,0.0,0.013888888888888888
60,M1,pow_const_gauss,360,0,0,217,0.0,0.6027777777777777
60,M2,bpow_const,360,305,3735,191,0.8472222222222222,0.5305555555555556
90,M0,pow_const,360,0,0,21,0.0,0.058333333333333334
90,M1,pow_const_gauss,360,0,0,212,0.0,0.5888888888888889
90,M2,bpow_const,360,294,2019,256,0.8166666666666667,0.7111111111111111
120,M0,pow_const,360,0,0,25,0.0,0.06944444444444445
120,M1,pow_const_gauss,360,0,0,205,0.0,0.5694444444444444
120,M2,bpow_const,360,335,5105,292,0.9305555555555556,0.8111111111111111
