parent_id,block_id,ground_truth,period_s,qpp_fraction,red_noise_alpha,data_seed,n_sequence,selection_sequence,selection_interpretation,ever_selected,selected_n_count,number_of_up_transitions,number_of_down_transitions,first_selected_n,stable_selection_from_n,delta_bic_0_1_sequence_json,delta_bic_2_1_sequence_json,joint_margin_sequence_json,limiting_model_sequence
NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,,,0.0,0,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.561622028135144,-5.587365931211195,-6.352323220076585,-8.761168775584878,-4.885507893838394,-8.49877573261]","[-1.9160305444950447,-0.5962416743646344,-1.075203169024121,-2.2272181153460338,2.3556459682416175,-0.3442205031628305]","[-15.561622028135144,-15.587365931211195,-16.352323220076585,-18.761168775584878,-14.885507893838394,-18.49877573261]",M0|M0|M0|M0|M0|M0
NWP_A0_S00_P050,NWB_A0_S00,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,0,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.443737048729073,-2.8836462623518457,-6.775391884320328,-8.838756603774186,-4.932561671839835,-8.506409036995706]","[-2.0051506427300927,1.7835049675062464,-1.3693179827669724,-2.2924914499415365,2.3077738346725596,-0.36364537991255474]","[-15.443737048729073,-12.883646262351846,-16.775391884320328,-18.838756603774186,-14.932561671839835,-18.506409036995706]",M0|M0|M0|M0|M0|M0
NWP_A0_S00_P080,NWB_A0_S00,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,0,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.323246858274363,-6.295857720777548,-4.173600817619359,-7.894597725893163,-4.919601445816625,-8.502375028149686]","[-1.9256485345306045,-1.256776519832414,0.5482698576360576,-1.268422189236361,2.3217107749539423,-0.34783159432691946]","[-15.323246858274363,-16.295857720777548,-14.17360081761936,-17.894597725893163,-14.919601445816625,-18.502375028149686]",M0|M0|M0|M0|M0|M0
NWP_A0_S01_NULL,NWB_A0_S01,NULL_FLARE_RED_NOISE,,,0.0,1,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.588803655786883,-6.307954285058628,-6.646649741860358,-6.163212013599036,-6.597055503175881,-5.763431140931971]","[-1.907589404768836,-1.252829836868358,-0.7537977786491297,-0.5618610009989595,0.22820550948515006,2.361339287326132]","[-15.588803655786883,-16.307954285058628,-16.646649741860358,-16.163212013599036,-16.59705550317588,-15.76343114093197]",M0|M0|M0|M0|M0|M0
NWP_A0_S01_P050,NWB_A0_S01,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,1,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.291902844876466,-5.0685313742897335,-6.1250529309118065,-6.573746237302856,-6.600748202955032,-5.7649979203311545]","[-1.5384391074245132,-0.6447545678584703,-0.5393923504991278,-0.9593349024147244,0.22591546197932644,2.359676818025889]","[-15.291902844876466,-15.068531374289734,-16.125052930911806,-16.573746237302856,-16.60074820295503,-15.764997920331155]",M0|M0|M0|M0|M0|M0
NWP_A0_S01_P080,NWB_A0_S01,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,1,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.3545671251548725,-6.724736694223566,-7.452306461249719,-6.626900932876936,-6.613729000268478,-5.772185097614965]","[-1.791752890780626,-1.6774132956941088,-2.131455413373118,-0.8239488461676956,0.20128442261378154,2.3525722883557023]","[-15.354567125154873,-16.724736694223566,-17.45230646124972,-16.626900932876936,-16.613729000268478,-15.772185097614965]",M0|M0|M0|M0|M0|M0
NWP_A0_S02_NULL,NWB_A0_S02,NULL_FLARE_RED_NOISE,,,0.0,2,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.587888471289755,-4.970435145896204,-7.483156021411332,1.8444149722410543,-8.227797945703173,-4.988304242971765]","[-1.9588987795165336,0.23467247916553902,-2.30221184927089,7.699320965452387,-0.7070330796017288,3.1664749499825575]","[-15.587888471289755,-14.970435145896204,-17.483156021411332,-8.155585027758946,-18.227797945703173,-14.988304242971765]",M0|M0|M0|M0|M0|M0
NWP_A0_S02_P050,NWB_A0_S02,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,2,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.450969954211905,-3.1566524333554042,-7.213197094209363,0.595960467506444,-8.24012053310571,-5.02506662364317]","[-1.6067894763100616,1.8991353397152295,-2.220119983821462,6.478015529810932,-0.8368613211000024,3.1296619215854093]","[-15.450969954211905,-13.156652433355404,-17.213197094209363,-9.404039532493556,-18.24012053310571,-15.02506662364317]",M0|M0|M0|M0|M0|M0
NWP_A0_S02_P080,NWB_A0_S02,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,2,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.705336831056375,-5.721724151932449,-8.012222431927796,1.3429189878467014,-8.224940535389692,-4.981973932226197]","[-1.9676236865175545,-1.1143938147367578,-2.6204286612202736,7.800125209143829,-0.7047281327563155,3.1727575080324755]","[-15.705336831056375,-15.721724151932449,-18.012222431927796,-8.657081012153299,-18.224940535389692,-14.981973932226197]",M0|M0|M0|M0|M0|M0
NWP_A0_S03_NULL,NWB_A0_S03,NULL_FLARE_RED_NOISE,,,0.0,3,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.564731785663897,-6.036416737403044,-3.431801783658841,-4.419364151048967,-0.264035222187772,-2.5642003795654773]","[-1.7911072847520684,-1.18678595968656,1.4849191565123192,1.8381383463829195,3.6102623732513734,5.286543374254336]","[-15.564731785663897,-16.036416737403044,-13.431801783658841,-14.419364151048967,-10.264035222187772,-12.564200379565477]",M0|M0|M0|M0|M0|M0
