parent_id,block_id,ground_truth,period_s,qpp_fraction,red_noise_alpha,data_seed,transition,n_from,n_to,delta_bic_0_1_from,delta_bic_0_1_to,delta_bic_2_1_from,delta_bic_2_1_to,joint_margin_from,joint_margin_to,paired_change_delta_bic_0_1,paired_change_delta_bic_2_1,paired_change_joint_margin,support_hypothesis_contrast,support_contrast_sign,cross_m0_up,cross_m0_down,cross_m2_up,cross_m2_down,qpp_selected_from,qpp_selected_to,joint_selection_up,joint_selection_down
NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,,,0.0,0,15_to_30,15,30,-5.561622028135144,-5.587365931211195,-1.9160305444950447,-0.5962416743646344,-15.561622028135144,-15.587365931211195,-0.025743903076051566,1.3197888701304104,-0.025743903076051566,,,False,False,False,False,False,False,False,False
NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,,,0.0,0,30_to_45,30,45,-5.587365931211195,-6.352323220076585,-0.5962416743646344,-1.075203169024121,-15.587365931211195,-16.352323220076585,-0.7649572888653893,-0.4789614946594867,-0.7649572888653893,,,False,False,False,False,False,False,False,False
NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,,,0.0,0,45_to_60,45,60,-6.352323220076585,-8.761168775584878,-1.075203169024121,-2.2272181153460338,-16.352323220076585,-18.761168775584878,-2.408845555508293,-1.1520149463219127,-2.408845555508293,,,False,False,False,False,False,False,False,False
NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,,,0.0,0,60_to_90,60,90,-8.761168775584878,-4.885507893838394,-2.2272181153460338,2.3556459682416175,-18.761168775584878,-14.885507893838394,3.8756608817464837,4.582864083587651,3.8756608817464837,,,False,False,False,False,False,False,False,False
NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,,,0.0,0,90_to_120,90,120,-4.885507893838394,-8.49877573261,2.3556459682416175,-0.3442205031628305,-14.885507893838394,-18.49877573261,-3.6132678387716055,-2.699866471404448,-3.6132678387716055,,,False,False,False,False,False,False,False,False
NWP_A0_S00_P050,NWB_A0_S00,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,0,15_to_30,15,30,-5.443737048729073,-2.8836462623518457,-2.0051506427300927,1.7835049675062464,-15.443737048729073,-12.883646262351846,2.560090786377227,3.788655610236339,2.560090786377227,-1.228564823859112,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A0_S00_P050,NWB_A0_S00,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,0,30_to_45,30,45,-2.8836462623518457,-6.775391884320328,1.7835049675062464,-1.3693179827669724,-12.883646262351846,-16.775391884320328,-3.8917456219684823,-3.152822950273219,-3.8917456219684823,-0.7389226716952635,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A0_S00_P050,NWB_A0_S00,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,0,45_to_60,45,60,-6.775391884320328,-8.838756603774186,-1.3693179827669724,-2.2924914499415365,-16.775391884320328,-18.838756603774186,-2.0633647194538582,-0.9231734671745642,-2.0633647194538582,-1.140191252279294,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A0_S00_P050,NWB_A0_S00,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,0,60_to_90,60,90,-8.838756603774186,-4.932561671839835,-2.2924914499415365,2.3077738346725596,-18.838756603774186,-14.932561671839835,3.906194931934351,4.600265284614096,3.906194931934351,-0.6940703526797449,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A0_S00_P050,NWB_A0_S00,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,0,90_to_120,90,120,-4.932561671839835,-8.506409036995706,2.3077738346725596,-0.36364537991255474,-14.932561671839835,-18.506409036995706,-3.5738473651558706,-2.6714192145851143,-3.5738473651558706,-0.9024281505707563,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A0_S00_P080,NWB_A0_S00,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,0,15_to_30,15,30,-5.323246858274363,-6.295857720777548,-1.9256485345306045,-1.256776519832414,-15.323246858274363,-16.295857720777548,-0.9726108625031848,0.6688720146981906,-0.9726108625031848,-1.6414828772013754,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A0_S00_P080,NWB_A0_S00,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,0,30_to_45,30,45,-6.295857720777548,-4.173600817619359,-1.256776519832414,0.5482698576360576,-16.295857720777548,-14.17360081761936,2.1222569031581884,1.8050463774684715,2.1222569031581884,0.31721052568971686,POSITIVE,False,False,False,False,False,False,False,False
NWP_A0_S00_P080,NWB_A0_S00,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,0,45_to_60,45,60,-4.173600817619359,-7.894597725893163,0.5482698576360576,-1.268422189236361,-14.17360081761936,-17.894597725893163,-3.720996908273804,-1.8166920468724186,-3.720996908273804,-1.9043048614013856,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A0_S00_P080,NWB_A0_S00,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,0,60_to_90,60,90,-7.894597725893163,-4.919601445816625,-1.268422189236361,2.3217107749539423,-17.894597725893163,-14.919601445816625,2.974996280076539,3.5901329641903033,2.974996280076539,-0.6151366841137644,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A0_S00_P080,NWB_A0_S00,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,0,90_to_120,90,120,-4.919601445816625,-8.502375028149686,2.3217107749539423,-0.34783159432691946,-14.919601445816625,-18.502375028149686,-3.5827735823330613,-2.6695423692808617,-3.5827735823330613,-0.9132312130521996,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A0_S01_NULL,NWB_A0_S01,NULL_FLARE_RED_NOISE,,,0.0,1,15_to_30,15,30,-5.588803655786883,-6.307954285058628,-1.907589404768836,-1.252829836868358,-15.588803655786883,-16.307954285058628,-0.7191506292717449,0.6547595679004781,-0.7191506292717449,,,False,False,False,False,False,False,False,False
NWP_A0_S01_NULL,NWB_A0_S01,NULL_FLARE_RED_NOISE,,,0.0,1,30_to_45,30,45,-6.307954285058628,-6.646649741860358,-1.252829836868358,-0.7537977786491297,-16.307954285058628,-16.646649741860358,-0.3386954568017302,0.49903205821922825,-0.3386954568017302,,,False,False,False,False,False,False,False,False
NWP_A0_S01_NULL,NWB_A0_S01,NULL_FLARE_RED_NOISE,,,0.0,1,45_to_60,45,60,-6.646649741860358,-6.163212013599036,-0.7537977786491297,-0.5618610009989595,-16.646649741860358,-16.163212013599036,0.4834377282613218,0.19193677765017014,0.4834377282613218,,,False,False,False,False,False,False,False,False
NWP_A0_S01_NULL,NWB_A0_S01,NULL_FLARE_RED_NOISE,,,0.0,1,60_to_90,60,90,-6.163212013599036,-6.597055503175881,-0.5618610009989595,0.22820550948515006,-16.163212013599036,-16.59705550317588,-0.4338434895768444,0.7900665104841096,-0.4338434895768444,,,False,False,False,False,False,False,False,False
NWP_A0_S01_NULL,NWB_A0_S01,NULL_FLARE_RED_NOISE,,,0.0,1,90_to_120,90,120,-6.597055503175881,-5.763431140931971,0.22820550948515006,2.361339287326132,-16.59705550317588,-15.76343114093197,0.8336243622439099,2.133133777840982,0.8336243622439099,,,False,False,False,False,False,False,False,False
NWP_A0_S01_P050,NWB_A0_S01,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,1,15_to_30,15,30,-5.291902844876466,-5.0685313742897335,-1.5384391074245132,-0.6447545678584703,-15.291902844876466,-15.068531374289734,0.22337147058673246,0.8936845395660429,0.22337147058673246,-0.6703130689793104,NEGATIVE,False,False,False,False,False,False,False,False
