condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,decision_count,optimizer_seeds,decision_sequence,selected_seed_count,primary_seed_selected,stability_seeds_selected_count,optimizer_seed_decision_discordance,bic_range_m0,bic_range_m1,bic_range_m2,m2_multiple_solution_flag,all_decisions_valid
NW001_NULL_N015_A0,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.3132606113686052e-11,1.3337422084092054e-05,0.16777002067268754,True,True
NW002_QPP_N015_P050_A0_Q040,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.0307505959872287e-08,4.04460066327772e-06,0.16504016548911515,True,True
NW003_QPP_N015_P080_A0_Q040,STATIONARY_QPP_PRESENT,15,280.0,0.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,6.7869869724290766e-09,9.982293654786645e-06,0.2816465544697895,True,True
NW004_NULL_N015_A1,NULL_FLARE_RED_NOISE,15,280.0,1.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.4459544672718039e-12,2.7380914069397022e-05,0.18672268727419983,True,True
NW005_QPP_N015_P050_A1_Q040,STATIONARY_QPP_PRESENT,15,280.0,1.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.0862239108178073e-08,1.6284141679534514e-07,0.15418353101705762,True,True
NW006_QPP_N015_P080_A1_Q040,STATIONARY_QPP_PRESENT,15,280.0,1.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.2405863003550621e-08,0.0008090970971146305,0.031013121839192692,True,True
NW007_NULL_N015_A2,NULL_FLARE_RED_NOISE,15,280.0,2.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,5.968558980384842e-13,0.020242998510330068,0.18542654317309548,True,True
NW008_QPP_N015_P050_A2_Q040,STATIONARY_QPP_PRESENT,15,280.0,2.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,9.64561763794336e-13,9.123269553157343e-07,0.337501776026663,True,True
NW009_QPP_N015_P080_A2_Q040,STATIONARY_QPP_PRESENT,15,280.0,2.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,3.446132268436486e-13,1.747569213961242e-05,0.29502034668594135,True,True
NW010_NULL_N030_A0,NULL_FLARE_RED_NOISE,30,580.0,0.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.7053025658242404e-12,1.8453505390425562e-08,1.4315595535663306e-05,False,True
NW011_QPP_N030_P050_A0_Q040,STATIONARY_QPP_PRESENT,30,580.0,0.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.9895196601282805e-12,3.7562131183221936e-10,2.8041014218160853e-05,False,True
NW012_QPP_N030_P080_A0_Q040,STATIONARY_QPP_PRESENT,30,580.0,0.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,4.348521542851813e-12,2.083481831505196e-09,0.014327167593066292,True,True
NW013_NULL_N030_A1,NULL_FLARE_RED_NOISE,30,580.0,1.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,2.4158453015843406e-12,2.559962624104628e-06,0.10775943771440666,True,True
NW014_QPP_N030_P050_A1_Q040,STATIONARY_QPP_PRESENT,30,580.0,1.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,2.5295321393059567e-12,9.55552081904898e-10,0.03901677010527749,True,True
