series_id,condition_id,parent_id,block_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,decision_status,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,joint_margin,margin_limiting_model,bic_winner,qpp_selected,estimated_period_s,period_population_label,signed_period_error_s,absolute_period_error_s,relative_signed_error,relative_absolute_error
NWS000001,NW001_NULL_N015_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,0,0,VALID,-5.824993800457396,-0.26337177232225173,-2.1794023168172965,-5.561622028135144,-1.9160305444950447,-15.561622028135144,M0,M0,False,129.75885275649713,,,,,
NWS000002,NW001_NULL_N015_A0,NWP_A0_S01_NULL,NWB_A0_S01,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,1,0,VALID,-4.407212665721925,1.181590990064958,-0.725998414703878,-5.588803655786883,-1.907589404768836,-15.588803655786883,M0,M0,False,128.38883369818976,,,,,
NWS000003,NW001_NULL_N015_A0,NWP_A0_S02_NULL,NWB_A0_S02,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,2,0,VALID,-5.220944266303205,0.36694420498655056,-1.591954574529983,-5.587888471289755,-1.9588987795165336,-15.587888471289755,M0,M0,False,173.37490389888973,,,,,
NWS000004,NW001_NULL_N015_A0,NWP_A0_S03_NULL,NWB_A0_S03,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,3,0,VALID,-4.4386940162013815,1.1260377694625152,-0.6650695152895532,-5.564731785663897,-1.7911072847520684,-15.564731785663897,M0,M0,False,221.27454248011435,,,,,
NWS000005,NW001_NULL_N015_A0,NWP_A0_S04_NULL,NWB_A0_S04,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,4,0,VALID,-3.8448894556834916,1.7072156387987185,-0.21740934634650788,-5.55210509448221,-1.9246249851452264,-15.55210509448221,M0,M0,False,129.98049137356668,,,,,
NWS000006,NW001_NULL_N015_A0,NWP_A0_S05_NULL,NWB_A0_S05,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,5,0,VALID,-5.095970775600332,0.3634044625299051,-1.5824808803669503,-5.459375238130237,-1.9458853428968554,-15.459375238130237,M0,M0,False,169.24429273644552,,,,,
NWS000007,NW001_NULL_N015_A0,NWP_A0_S06_NULL,NWB_A0_S06,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,6,0,VALID,-5.555728694936672,-0.04323661648944466,-1.9918592677612361,-5.512492078447227,-1.9486226512717915,-15.512492078447227,M0,M0,False,166.08174867228485,,,,,
NWS000008,NW001_NULL_N015_A0,NWP_A0_S07_NULL,NWB_A0_S07,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,7,0,VALID,-4.896213773744302,0.5406030863320854,-1.3806064516471084,-5.436816860076387,-1.9212095379791938,-15.436816860076387,M0,M0,False,211.0459122344294,,,,,
NWS000009,NW001_NULL_N015_A0,NWP_A0_S08_NULL,NWB_A0_S08,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,8,0,VALID,-5.646218542351839,-0.17875846127957473,-2.1162674022542314,-5.467460081072264,-1.9375089409746566,-15.467460081072264,M0,M0,False,151.19077864311532,,,,,
NWS000010,NW001_NULL_N015_A0,NWP_A0_S09_NULL,NWB_A0_S09,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,9,0,VALID,-4.492185034727854,1.1075747118193888,-0.8708523046570145,-5.599759746547242,-1.9784270164764033,-15.599759746547242,M0,M0,False,175.12067436557595,,,,,
NWS000011,NW001_NULL_N015_A0,NWP_A0_S10_NULL,NWB_A0_S10,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,10,0,VALID,-4.173883104543561,1.338305093476711,-0.6307960083401474,-5.512188198020272,-1.9691011018168583,-15.512188198020272,M0,M0,False,176.01143501240594,,,,,
NWS000012,NW001_NULL_N015_A0,NWP_A0_S11_NULL,NWB_A0_S11,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,11,0,VALID,-5.025593153168426,0.5336708210362389,-1.3919654899626783,-5.559263974204665,-1.9256363109989172,-15.559263974204665,M0,M0,False,201.83464761225417,,,,,
NWS000013,NW001_NULL_N015_A0,NWP_A0_S12_NULL,NWB_A0_S12,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,12,0,VALID,-4.470117146543901,1.1889986570375708,-0.7302894332674912,-5.6591158035814715,-1.919288090305062,-15.659115803581471,M0,M0,False,201.80394417384323,,,,,
NWS000014,NW001_NULL_N015_A0,NWP_A0_S13_NULL,NWB_A0_S13,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,13,0,VALID,-4.564202409698213,1.0015981676210224,-0.9153989186541773,-5.565800577319235,-1.9169970862751997,-15.565800577319235,M0,M0,False,47.10629364870568,,,,,
NWS000015,NW001_NULL_N015_A0,NWP_A0_S14_NULL,NWB_A0_S14,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,14,0,VALID,-5.198409883651143,0.37974153970731983,-1.5570246357455124,-5.578151423358463,-1.9367661754528323,-15.578151423358463,M0,M0,False,190.30544153248,,,,,
NWS000016,NW001_NULL_N015_A0,NWP_A0_S15_NULL,NWB_A0_S15,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,15,0,VALID,-4.667900921011341,0.8657562602559583,-0.9831584949493015,-5.5336571812673,-1.8489147552052598,-15.5336571812673,M0,M0,False,215.4231026940301,,,,,
NWS000017,NW001_NULL_N015_A0,NWP_A0_S16_NULL,NWB_A0_S16,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,16,0,VALID,-4.037308303174299,1.6786832552410669,-0.19705057638864165,-5.715991558415366,-1.8757338316297085,-15.715991558415366,M0,M0,False,215.66418297793376,,,,,
NWS000018,NW001_NULL_N015_A0,NWP_A0_S17_NULL,NWB_A0_S17,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,17,0,VALID,-4.801341050930063,0.7131755390836911,-1.2208658871155107,-5.514516590013754,-1.9340414261992018,-15.514516590013754,M0,M0,False,166.57865384953243,,,,,
NWS000019,NW001_NULL_N015_A0,NWP_A0_S18_NULL,NWB_A0_S18,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,18,0,VALID,-3.9641498419819396,1.6358739059296212,-0.27974610875300154,-5.60002374791156,-1.9156200146826228,-15.60002374791156,M0,M0,False,213.25087490380278,,,,,
NWS000020,NW001_NULL_N015_A0,NWP_A0_S19_NULL,NWB_A0_S19,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,19,0,VALID,-3.8121301802481047,1.8720166903012245,0.0038528749033206466,-5.684146870549329,-1.8681638153979039,-15.684146870549329,M0,M0,False,234.8257532900721,,,,,
NWS000021,NW001_NULL_N015_A0,NWP_A0_S20_NULL,NWB_A0_S20,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,20,0,VALID,-4.191436342208526,1.0533446858644826,-0.8961686369488602,-5.2447810280730085,-1.9495133228133428,-15.244781028073008,M0,M0,False,171.58823902947626,,,,,
NWS000022,NW001_NULL_N015_A0,NWP_A0_S21_NULL,NWB_A0_S21,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,21,0,VALID,-4.221079143610488,1.318567916604815,-0.6269754557838629,-5.539647060215303,-1.945543372388678,-15.539647060215303,M0,M0,False,162.40485827733667,,,,,
NWS000023,NW001_NULL_N015_A0,NWP_A0_S22_NULL,NWB_A0_S22,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,22,0,VALID,-4.456809570904408,1.0898897138694057,-0.8528087769112966,-5.546699284773814,-1.9426984907807023,-15.546699284773814,M0,M0,False,129.79319673838867,,,,,
NWS000024,NW001_NULL_N015_A0,NWP_A0_S23_NULL,NWB_A0_S23,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,23,0,VALID,-5.610030904080917,-0.07144230677308983,-1.9547917269945705,-5.538588597307827,-1.8833494202214807,-15.538588597307827,M0,M0,False,233.38142344092103,,,,,
NWS000025,NW001_NULL_N015_A0,NWP_A0_S24_NULL,NWB_A0_S24,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,24,0,VALID,-5.323246468266197,0.36765471597591315,-1.4942980112973592,-5.69090118424211,-1.8619527272732723,-15.69090118424211,M0,M0,False,234.68704536256593,,,,,
NWS000026,NW001_NULL_N015_A0,NWP_A0_S25_NULL,NWB_A0_S25,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,25,0,VALID,-4.2095863587992,1.231065148979555,-0.7190765587847396,-5.440651507778755,-1.9501417077642946,-15.440651507778755,M0,M0,False,181.9141036946281,,,,,
NWS000027,NW001_NULL_N015_A0,NWP_A0_S26_NULL,NWB_A0_S26,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,26,0,VALID,-4.217303797700314,1.1906687907866846,-0.7572426205580856,-5.407972588486999,-1.9479114113447702,-15.407972588486999,M0,M0,False,169.60397988081075,,,,,
NWS000028,NW001_NULL_N015_A0,NWP_A0_S27_NULL,NWB_A0_S27,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,27,0,VALID,-4.741383619143885,0.7592418971736716,-1.1618496805707972,-5.500625516317557,-1.9210915777444688,-15.500625516317557,M0,M0,False,127.67908511853511,,,,,
NWS000029,NW001_NULL_N015_A0,NWP_A0_S28_NULL,NWB_A0_S28,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,28,0,VALID,-4.444538841227303,1.159627814827278,-0.7606303665323653,-5.604166656054581,-1.9202581813596433,-15.60416665605458,M0,M0,False,148.56506398603526,,,,,
NWS000030,NW001_NULL_N015_A0,NWP_A0_S29_NULL,NWB_A0_S29,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,29,0,VALID,-4.7916222525861905,0.6964810978086327,-1.2533240657903102,-5.488103350394823,-1.9498051635989428,-15.488103350394823,M0,M0,False,175.60598452728883,,,,,
NWS000031,NW001_NULL_N015_A0,NWP_A0_S30_NULL,NWB_A0_S30,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,30,0,VALID,-5.026080037378337,0.5231976510713778,-1.3057078635906931,-5.549277688449715,-1.828905514662071,-15.549277688449715,M0,M0,False,217.7764320618134,,,,,
