event_id,pair_id,observational_role,published_classification,baseline_classification,tic_id,sector,cadence_s,source_fits_filename,source_fits_sha256,lightcurve_product_identifier,baseline_start_time,baseline_peak_time,baseline_end_time,baseline_start_index,baseline_peak_index,baseline_end_index,baseline_n_samples,baseline_flux_product,baseline_quality_policy,baseline_external_optimizer_seed,baseline_delta_bic_0_1,baseline_delta_bic_2_1,baseline_qpp_selected,baseline_estimated_period_s,baseline_reproduction_status
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,PUBLISHED_QPP,QPP_SELECTED,67378184,44,20.002015408681473,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,mast:TESS/product/tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,2505.134541,2505.135235,2505.137782,21400,21403,21414,15,PDCSAP,finite_all,0,17.013182448217474,14.579589696751121,true,68.52753981433278,STABLE_REPRODUCTION
notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,NOT_SELECTED_AS_QPP,NOT_SELECTED,67378184,45,20.001751300151227,tess2021310001228-s0045-0000000067378184-0216-a_fast-lc.fits,4ae5baf9ef29ec027704cb59d606a13565a68608cae97021dbc9c07c1dc92bea,mast:TESS/product/tess2021310001228-s0045-0000000067378184-0216-a_fast-lc.fits,2535.256201,2535.256895,2535.259442,42133,42136,42147,15,PDCSAP,finite_all,0,-5.733565818099137,-1.8833662274745633,false,49.97945473103294,STABLE_NOT_SELECTED
P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,PUBLISHED_QPP,QPP_SELECTED,24518895,32,19.999749721318949,tess2020324010417-s0032-0000000024518895-0200-a_fast-lc.fits,a0ec7d514285e93be4dc17683eb7df1ef507f29126f70325e0de4042770c6d99,mast:TESS/product/tess2020324010417-s0032-0000000024518895-0200-a_fast-lc.fits,2198.799707,2198.800633,2198.805725,106175,106179,106201,27,PDCSAP,finite_all,0,17.557964236091756,19.987563103346908,true,56.05824516433813,STABLE_REPRODUCTION
P1_not_selected_qpp_pdcsap_all,P1,MATCHED_NOT_SELECTED,NOT_SELECTED_AS_QPP,NOT_SELECTED,24518895,32,20.000313024502248,tess2020324010417-s0032-0000000024518895-0200-a_fast-lc.fits,a0ec7d514285e93be4dc17683eb7df1ef507f29126f70325e0de4042770c6d99,mast:TESS/product/tess2020324010417-s0032-0000000024518895-0200-a_fast-lc.fits,2180.577182,2180.577876,2180.584821,27454,27457,27487,34,PDCSAP,finite_all,0,-5.844745687403936,-1.4358796760017825,false,104.41478485447266,STABLE_NOT_SELECTED
P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,PUBLISHED_QPP,QPP_SELECTED,220433364,31,19.99993096687831,tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,mast:TESS/product/tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits,2166.070869,2166.072026,2166.105822,93148,93153,93299,152,PDCSAP,finite_all,0,10.543010874167408,12.719207678600242,true,73.20974568095586,STABLE_REPRODUCTION
P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,NOT_SELECTED_AS_QPP,NOT_SELECTED,220433364,39,20.000232283200603,tess2021146024351-s0039-0000000220433364-0210-a_fast-lc.fits,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,mast:TESS/product/tess2021146024351-s0039-0000000220433364-0210-a_fast-lc.fits,2361.784182,2361.785339,2361.825154,91,96,268,178,PDCSAP,finite_all,0,-4.4910401753459155,0.13778666234475168,false,83.35894551432918,STABLE_NOT_SELECTED
P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,PUBLISHED_QPP,QPP_SELECTED,225953237,38,20.00023251894163,tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,mast:TESS/product/tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,2345.223856,2345.224319,2345.228023,49120,49122,49138,19,PDCSAP,finite_all,0,11.61905569570077,14.45167029597845,true,44.031313737389596,STABLE_REPRODUCTION
P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,NOT_SELECTED_AS_QPP,NOT_SELECTED,225953237,38,19.999991080840118,tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,mast:TESS/product/tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,2349.891231,2349.891925,2349.894703,69283,69286,69298,16,PDCSAP,finite_all,0,-5.192861442716563,-1.621153674740622,false,49.01390226976184,STABLE_NOT_SELECTED
P4_published_qpp_pdcsap_all,P4,PUBLISHED_QPP_REPRODUCED,PUBLISHED_QPP,QPP_SELECTED,160619243,49,19.999576176633127,tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits,b6fdc4e7f35d6c3b42037fafe8f11fcd833caac4f2a1d18f877479e689f04b97,mast:TESS/product/tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits,2662.677869,2662.679258,2662.687360,108914,108920,108955,42,PDCSAP,finite_all,0,13.503809579327523,19.407538422942622,true,60.05391261010268,STABLE_REPRODUCTION
P4_not_selected_qpp_pdcsap_all,P4,MATCHED_NOT_SELECTED,NOT_SELECTED_AS_QPP,NOT_SELECTED,160619243,53,19.999859773088247,tess2022164095748-s0053-0000000160619243-0226-a_fast-lc.fits,383de5bc2c295e31fb9194cb712089f26229333c2c685e724659dc519f5cfe3b,mast:TESS/product/tess2022164095748-s0053-0000000160619243-0226-a_fast-lc.fits,2753.995580,2753.996274,2754.005534,43229,43232,43272,44,PDCSAP,finite_all,0,-7.779819018420376,-3.393246042195038,false,53.710983407874465,STABLE_NOT_SELECTED
