event_id,source_fits_filename,expected_sha256,observed_sha256,file_size_bytes,table_row_count,time_column_present,quality_column_present,sap_column_present,pdcsap_column_present,fits_checksum_status,read_status,error
published_qpp_pdcsap_all,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,10512000,104805,True,True,True,True,FAIL,READABLE,
notselected_pdcsap_all,tess2021310001228-s0045-0000000067378184-0216-a_fast-lc.fits,4ae5baf9ef29ec027704cb59d606a13565a68608cae97021dbc9c07c1dc92bea,4ae5baf9ef29ec027704cb59d606a13565a68608cae97021dbc9c07c1dc92bea,10883520,108540,True,True,True,True,FAIL,READABLE,
P1_published_qpp_pdcsap_all,tess2020324010417-s0032-0000000024518895-0200-a_fast-lc.fits,a0ec7d514285e93be4dc17683eb7df1ef507f29126f70325e0de4042770c6d99,a0ec7d514285e93be4dc17683eb7df1ef507f29126f70325e0de4042770c6d99,11269440,112388,True,True,True,True,FAIL,READABLE,
P1_not_selected_qpp_pdcsap_all,tess2020324010417-s0032-0000000024518895-0200-a_fast-lc.fits,a0ec7d514285e93be4dc17683eb7df1ef507f29126f70325e0de4042770c6d99,a0ec7d514285e93be4dc17683eb7df1ef507f29126f70325e0de4042770c6d99,11269440,112388,True,True,True,True,FAIL,READABLE,
P2_published_qpp_pdcsap_all,tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,11018880,109893,True,True,True,True,FAIL,READABLE,
P2_not_selected_qpp_pdcsap_all,tess2021146024351-s0039-0000000220433364-0210-a_fast-lc.fits,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,12107520,120766,True,True,True,True,FAIL,READABLE,
P3_published_qpp_pdcsap_all,tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,11566080,115366,True,True,True,True,FAIL,READABLE,
P3_not_selected_qpp_pdcsap_all,tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,11566080,115366,True,True,True,True,FAIL,READABLE,
P4_published_qpp_pdcsap_all,tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits,b6fdc4e7f35d6c3b42037fafe8f11fcd833caac4f2a1d18f877479e689f04b97,b6fdc4e7f35d6c3b42037fafe8f11fcd833caac4f2a1d18f877479e689f04b97,11629440,115995,True,True,True,True,FAIL,READABLE,
P4_not_selected_qpp_pdcsap_all,tess2022164095748-s0053-0000000160619243-0226-a_fast-lc.fits,383de5bc2c295e31fb9194cb712089f26229333c2c685e724659dc519f5cfe3b,383de5bc2c295e31fb9194cb712089f26229333c2c685e724659dc519f5cfe3b,10825920,107955,True,True,True,True,FAIL,READABLE,
