variant_id,variant_order,primary_planned_decision_id,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,flux_product,quality_policy,detrending,source_fits_filename,source_fits_sha256,baseline_start_index,baseline_peak_index,baseline_end_index,shifted_start_index,shifted_end_index,raw_n_samples,retained_n_samples,removed_nonfinite_count,removed_quality_count,peak_in_raw_window,peak_retained,retained_index_start,retained_index_end,retained_indices_consecutive,retained_indices_sha256,time_strictly_increasing,time_has_duplicates,median_cadence_s,max_interval_deviation_s,detrend_beta0,detrend_beta1,detrend_scale,admissibility_status,admissibility_reason,diagnostic_flags_json,eligible_payload_order,payload_start_offset,payload_end_offset,time_sha256,flux_sha256,all_finite,materialization_status,error
F2V000001,1,F2D000001,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,PDCSAP,finite_all,none,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21400,21414,15,15,0,0,True,True,21400,21414,True,83c22ad2e80963206a56f11177efaf7423827519fe4a5ec208dbacc10524b74d,True,False,20.002015408681473,5.893525667488575e-08,,,,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21400,21414],""retained_count"":15,""time_regular_atol_s"":0.001,""time_reindexed"":false}",1,0,15,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,bdf2af97463e9662429add81cc6a5eb95992dae9892475198be6d926f21d8080,True,MATERIALIZED,
F2V000002,2,F2D000002,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P01,SAP,finite_all,none,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21400,21414,15,15,0,0,True,True,21400,21414,True,83c22ad2e80963206a56f11177efaf7423827519fe4a5ec208dbacc10524b74d,True,False,20.002015408681473,5.893525667488575e-08,,,,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21400,21414],""retained_count"":15,""time_regular_atol_s"":0.001,""time_reindexed"":false}",2,15,30,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,47a963345dac9a747293716b9563288a90e0317638f885fc562e77aa2fc5f44a,True,MATERIALIZED,
F2V000003,3,F2D000003,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P02,PDCSAP,q0_native,none,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21400,21414,15,15,0,0,True,True,21400,21414,True,83c22ad2e80963206a56f11177efaf7423827519fe4a5ec208dbacc10524b74d,True,False,20.002015408681473,5.893525667488575e-08,,,,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21400,21414],""retained_count"":15,""time_regular_atol_s"":0.001,""time_reindexed"":false}",3,30,45,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,bdf2af97463e9662429add81cc6a5eb95992dae9892475198be6d926f21d8080,True,MATERIALIZED,
F2V000004,4,F2D000004,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P03,SAP,q0_native,none,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21400,21414,15,15,0,0,True,True,21400,21414,True,83c22ad2e80963206a56f11177efaf7423827519fe4a5ec208dbacc10524b74d,True,False,20.002015408681473,5.893525667488575e-08,,,,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21400,21414],""retained_count"":15,""time_regular_atol_s"":0.001,""time_reindexed"":false}",4,45,60,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,47a963345dac9a747293716b9563288a90e0317638f885fc562e77aa2fc5f44a,True,MATERIALIZED,
F2V000005,5,F2D000005,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P04,PDCSAP,finite_all,linear_residual_plus_one,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21400,21414,15,15,0,0,True,True,21400,21414,True,83c22ad2e80963206a56f11177efaf7423827519fe4a5ec208dbacc10524b74d,True,False,20.002015408681473,5.893525667488575e-08,379.59990234375005,-0.05027422426917696,396.47216796875,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21400,21414],""retained_count"":15,""time_regular_atol_s"":0.001,""time_reindexed"":false}",5,60,75,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,19299cc0c3e13fe0ee7f724384cdf6dd9e35298ca352fb99e3104a45c1c2f771,True,MATERIALIZED,
F2V000006,6,F2D000006,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P05,SAP,finite_all,linear_residual_plus_one,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21400,21414,15,15,0,0,True,True,21400,21414,True,83c22ad2e80963206a56f11177efaf7423827519fe4a5ec208dbacc10524b74d,True,False,20.002015408681473,5.893525667488575e-08,2038.4959879557293,-0.010788533428050534,2057.337890625,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21400,21414],""retained_count"":15,""time_regular_atol_s"":0.001,""time_reindexed"":false}",6,75,90,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,f2985fa3b63d3187c18c17d594b48fefdf70722fd997fbfff35a9becca7975b6,True,MATERIALIZED,
F2V000007,7,F2D000007,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P00,PDCSAP,finite_all,none,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21398,21414,17,17,0,0,True,True,21398,21414,True,c605b4c1c3efb3a202e0d5031802972bc3c269474cc78e852ec78dd9d717ced9,True,False,20.00201542832656,3.92901711165905e-08,,,,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21398,21414],""retained_count"":17,""time_regular_atol_s"":0.001,""time_reindexed"":false}",7,90,107,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,385f171ac214979c4a048dad7d1226097250696cb9f42a59071a46f8d79f7c75,True,MATERIALIZED,
F2V000008,8,F2D000008,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P01,SAP,finite_all,none,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21398,21414,17,17,0,0,True,True,21398,21414,True,c605b4c1c3efb3a202e0d5031802972bc3c269474cc78e852ec78dd9d717ced9,True,False,20.00201542832656,3.92901711165905e-08,,,,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21398,21414],""retained_count"":17,""time_regular_atol_s"":0.001,""time_reindexed"":false}",8,107,124,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,1e5f4581e0b5bdd8977df9bc80bd229c5baa02db8143cb6a133931525560d408,True,MATERIALIZED,
F2V000009,9,F2D000009,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P02,PDCSAP,q0_native,none,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21398,21414,17,17,0,0,True,True,21398,21414,True,c605b4c1c3efb3a202e0d5031802972bc3c269474cc78e852ec78dd9d717ced9,True,False,20.00201542832656,3.92901711165905e-08,,,,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21398,21414],""retained_count"":17,""time_regular_atol_s"":0.001,""time_reindexed"":false}",9,124,141,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,385f171ac214979c4a048dad7d1226097250696cb9f42a59071a46f8d79f7c75,True,MATERIALIZED,
F2V000010,10,F2D000010,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P03,SAP,q0_native,none,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,21400,21403,21414,21398,21414,17,17,0,0,True,True,21398,21414,True,c605b4c1c3efb3a202e0d5031802972bc3c269474cc78e852ec78dd9d717ced9,True,False,20.00201542832656,3.92901711165905e-08,,,,ELIGIBLE_FOR_AFINO,,"{""fits_checksum_status"":""FAIL"",""fits_open_warnings"":[""Checksum verification failed for HDU ('LIGHTCURVE', 1).\n"",""Checksum verification failed for HDU ('APERTURE', 1).\n""],""gap_filling_performed"":false,""interpolation_performed"":false,""missing_columns"":[],""peak_index"":21403,""precedence"":[""MISSING_PRODUCT"",""WINDOW_OUT_OF_RANGE"",""PEAK_OUTSIDE_WINDOW"",""PEAK_REMOVED_BY_QUALITY"",""TOO_FEW_CADENCES"",""NONFINITE_INPUT"",""IRREGULAR_SAMPLING"",""DETREND_FAILURE"",""ELIGIBLE_FOR_AFINO""],""raw_window"":[21398,21414],""retained_count"":17,""time_regular_atol_s"":0.001,""time_reindexed"":false}",10,141,158,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,1e5f4581e0b5bdd8977df9bc80bd229c5baa02db8143cb6a133931525560d408,True,MATERIALIZED,
