planned_decision_id,planned_order,decision_class,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,execute_only_if_eligible,planned_models,candidate_discovery_use,variant_id,admissibility_status,execute_afino,input_n_samples,input_time_sha256,input_flux_sha256,payload_start_offset,payload_end_offset,resolved_decision_status
F2D000001,1,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,0,true,M0|M1|M2,false,F2V000001,ELIGIBLE_FOR_AFINO,true,15,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,bdf2af97463e9662429add81cc6a5eb95992dae9892475198be6d926f21d8080,0,15,READY_FOR_AFINO
F2D000002,2,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P01,0,true,M0|M1|M2,false,F2V000002,ELIGIBLE_FOR_AFINO,true,15,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,47a963345dac9a747293716b9563288a90e0317638f885fc562e77aa2fc5f44a,15,30,READY_FOR_AFINO
F2D000003,3,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P02,0,true,M0|M1|M2,false,F2V000003,ELIGIBLE_FOR_AFINO,true,15,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,bdf2af97463e9662429add81cc6a5eb95992dae9892475198be6d926f21d8080,30,45,READY_FOR_AFINO
F2D000004,4,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P03,0,true,M0|M1|M2,false,F2V000004,ELIGIBLE_FOR_AFINO,true,15,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,47a963345dac9a747293716b9563288a90e0317638f885fc562e77aa2fc5f44a,45,60,READY_FOR_AFINO
F2D000005,5,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P04,0,true,M0|M1|M2,false,F2V000005,ELIGIBLE_FOR_AFINO,true,15,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,19299cc0c3e13fe0ee7f724384cdf6dd9e35298ca352fb99e3104a45c1c2f771,60,75,READY_FOR_AFINO
F2D000006,6,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P05,0,true,M0|M1|M2,false,F2V000006,ELIGIBLE_FOR_AFINO,true,15,e71ec213344995c18ead3f04ae9264c2f0da901c3cd1afa3cd821c5f0f77d9ad,f2985fa3b63d3187c18c17d594b48fefdf70722fd997fbfff35a9becca7975b6,75,90,READY_FOR_AFINO
F2D000007,7,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P00,0,true,M0|M1|M2,false,F2V000007,ELIGIBLE_FOR_AFINO,true,17,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,385f171ac214979c4a048dad7d1226097250696cb9f42a59071a46f8d79f7c75,90,107,READY_FOR_AFINO
F2D000008,8,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P01,0,true,M0|M1|M2,false,F2V000008,ELIGIBLE_FOR_AFINO,true,17,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,1e5f4581e0b5bdd8977df9bc80bd229c5baa02db8143cb6a133931525560d408,107,124,READY_FOR_AFINO
F2D000009,9,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P02,0,true,M0|M1|M2,false,F2V000009,ELIGIBLE_FOR_AFINO,true,17,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,385f171ac214979c4a048dad7d1226097250696cb9f42a59071a46f8d79f7c75,124,141,READY_FOR_AFINO
F2D000010,10,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P03,0,true,M0|M1|M2,false,F2V000010,ELIGIBLE_FOR_AFINO,true,17,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,1e5f4581e0b5bdd8977df9bc80bd229c5baa02db8143cb6a133931525560d408,141,158,READY_FOR_AFINO
F2D000011,11,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P04,0,true,M0|M1|M2,false,F2V000011,ELIGIBLE_FOR_AFINO,true,17,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,caf70503adc3b265dca4404aed5f89f26b648afea64428de682f810002398da2,158,175,READY_FOR_AFINO
F2D000012,12,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P05,0,true,M0|M1|M2,false,F2V000012,ELIGIBLE_FOR_AFINO,true,17,52ba3db8a0aca46b2e543d5c67a759399f57e3778a84ba040f7e35a6a5323274,1390f8126bd612f59d96af759438d07cbb38c1ed22369100389ff0bc174a63df,175,192,READY_FOR_AFINO
F2D000013,13,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P00,0,true,M0|M1|M2,false,F2V000013,ELIGIBLE_FOR_AFINO,true,16,b3a904ed86c9655b28ce1e147a1e33527559b7a10e0a9dae5a0f0357b1c6d96c,5b0b7c94b9f5de2630b5b3480814fe6c027cf710ccf43e521210f76bc517fed2,192,208,READY_FOR_AFINO
F2D000014,14,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P01,0,true,M0|M1|M2,false,F2V000014,ELIGIBLE_FOR_AFINO,true,16,b3a904ed86c9655b28ce1e147a1e33527559b7a10e0a9dae5a0f0357b1c6d96c,022d01296019a0d52fe36757f07058a3e6041b52cabf5e680062adfcb17ef9c0,208,224,READY_FOR_AFINO
F2D000015,15,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P02,0,true,M0|M1|M2,false,F2V000015,ELIGIBLE_FOR_AFINO,true,16,b3a904ed86c9655b28ce1e147a1e33527559b7a10e0a9dae5a0f0357b1c6d96c,5b0b7c94b9f5de2630b5b3480814fe6c027cf710ccf43e521210f76bc517fed2,224,240,READY_FOR_AFINO
F2D000016,16,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P03,0,true,M0|M1|M2,false,F2V000016,ELIGIBLE_FOR_AFINO,true,16,b3a904ed86c9655b28ce1e147a1e33527559b7a10e0a9dae5a0f0357b1c6d96c,022d01296019a0d52fe36757f07058a3e6041b52cabf5e680062adfcb17ef9c0,240,256,READY_FOR_AFINO
F2D000017,17,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P04,0,true,M0|M1|M2,false,F2V000017,ELIGIBLE_FOR_AFINO,true,16,b3a904ed86c9655b28ce1e147a1e33527559b7a10e0a9dae5a0f0357b1c6d96c,f96ee8f4a9cba24211b84f555d945e575f95ca7880d66641acc6db2e0f6c5839,256,272,READY_FOR_AFINO
F2D000018,18,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P05,0,true,M0|M1|M2,false,F2V000018,ELIGIBLE_FOR_AFINO,true,16,b3a904ed86c9655b28ce1e147a1e33527559b7a10e0a9dae5a0f0357b1c6d96c,9ee9bcba409e37cfe80939a41eff71526cbbac090d47719ce1378a349a9bafcc,272,288,READY_FOR_AFINO
F2D000019,19,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P00,0,true,M0|M1|M2,false,F2V000019,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000020,20,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P01,0,true,M0|M1|M2,false,F2V000020,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000021,21,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P02,0,true,M0|M1|M2,false,F2V000021,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000022,22,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P03,0,true,M0|M1|M2,false,F2V000022,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000023,23,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P04,0,true,M0|M1|M2,false,F2V000023,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000024,24,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P05,0,true,M0|M1|M2,false,F2V000024,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000025,25,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P00,0,true,M0|M1|M2,false,F2V000025,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000026,26,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P01,0,true,M0|M1|M2,false,F2V000026,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000027,27,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P02,0,true,M0|M1|M2,false,F2V000027,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000028,28,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P03,0,true,M0|M1|M2,false,F2V000028,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000029,29,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P04,0,true,M0|M1|M2,false,F2V000029,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000030,30,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P05,0,true,M0|M1|M2,false,F2V000030,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000031,31,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P00,0,true,M0|M1|M2,false,F2V000031,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000032,32,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P01,0,true,M0|M1|M2,false,F2V000032,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000033,33,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P02,0,true,M0|M1|M2,false,F2V000033,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000034,34,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P03,0,true,M0|M1|M2,false,F2V000034,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000035,35,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P04,0,true,M0|M1|M2,false,F2V000035,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000036,36,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P05,0,true,M0|M1|M2,false,F2V000036,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000037,37,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P00,0,true,M0|M1|M2,false,F2V000037,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000038,38,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P01,0,true,M0|M1|M2,false,F2V000038,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000039,39,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P02,0,true,M0|M1|M2,false,F2V000039,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000040,40,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P03,0,true,M0|M1|M2,false,F2V000040,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000041,41,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P04,0,true,M0|M1|M2,false,F2V000041,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000042,42,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P05,0,true,M0|M1|M2,false,F2V000042,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000043,43,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P00,0,true,M0|M1|M2,false,F2V000043,ELIGIBLE_FOR_AFINO,true,16,4dda173786114733102b9001c55e00b475f20cfa877daf46d3aae7b806d63c88,323c1b740869c89b724448916aee3a2ede6b79c384ff4c8ab589b4a7a129c873,288,304,READY_FOR_AFINO
