job_id,job_order,planned_decision_id,decision_class,variant_id,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,n_samples,payload_start_offset,payload_end_offset,input_time_sha256,input_flux_sha256,source_fits_sha256,candidate_discovery_use,canary_order
F2J000655,655,F2D000379,primary,F2V000379,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,WX2,P00,0,M0,pow_const,156,11030,11186,d35261801953a7705b316ff3b9ae69e5cbd82a28ec2d1c34852fc97f5ca8afb4,d50c85b9942ba08323f0dd5e1ac265a59fe8c60b4475909e6faaffd57659fc3b,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,false,1
F2J000656,656,F2D000379,primary,F2V000379,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,WX2,P00,0,M1,pow_const_gauss,156,11030,11186,d35261801953a7705b316ff3b9ae69e5cbd82a28ec2d1c34852fc97f5ca8afb4,d50c85b9942ba08323f0dd5e1ac265a59fe8c60b4475909e6faaffd57659fc3b,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,false,2
F2J000657,657,F2D000379,primary,F2V000379,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,WX2,P00,0,M2,bpow_const,156,11030,11186,d35261801953a7705b316ff3b9ae69e5cbd82a28ec2d1c34852fc97f5ca8afb4,d50c85b9942ba08323f0dd5e1ac265a59fe8c60b4475909e6faaffd57659fc3b,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,false,3
F2J000661,661,F2D000383,primary,F2V000383,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,WX2,P04,0,M0,pow_const,156,11342,11498,d35261801953a7705b316ff3b9ae69e5cbd82a28ec2d1c34852fc97f5ca8afb4,15f8846b10aee3a4cb6dcde995b5dce06d44ab3b61ecda83aabee0921276e226,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,false,4
F2J000662,662,F2D000383,primary,F2V000383,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,WX2,P04,0,M1,pow_const_gauss,156,11342,11498,d35261801953a7705b316ff3b9ae69e5cbd82a28ec2d1c34852fc97f5ca8afb4,15f8846b10aee3a4cb6dcde995b5dce06d44ab3b61ecda83aabee0921276e226,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,false,5
F2J000663,663,F2D000383,primary,F2V000383,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,WX2,P04,0,M2,bpow_const,156,11342,11498,d35261801953a7705b316ff3b9ae69e5cbd82a28ec2d1c34852fc97f5ca8afb4,15f8846b10aee3a4cb6dcde995b5dce06d44ab3b61ecda83aabee0921276e226,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,false,6
F2J000811,811,F2D000457,primary,F2V000457,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,WX2,P00,0,M0,pow_const,182,20078,20260,4ae6c8547d9f3249eabc060dcb42fe542840cd50f67b5401560864730dac7170,5a3d247be99fa26b62fa9856bedbe0273da22f8ce8878e16f48f71f7943196c7,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,false,7
F2J000812,812,F2D000457,primary,F2V000457,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,WX2,P00,0,M1,pow_const_gauss,182,20078,20260,4ae6c8547d9f3249eabc060dcb42fe542840cd50f67b5401560864730dac7170,5a3d247be99fa26b62fa9856bedbe0273da22f8ce8878e16f48f71f7943196c7,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,false,8
F2J000813,813,F2D000457,primary,F2V000457,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,WX2,P00,0,M2,bpow_const,182,20078,20260,4ae6c8547d9f3249eabc060dcb42fe542840cd50f67b5401560864730dac7170,5a3d247be99fa26b62fa9856bedbe0273da22f8ce8878e16f48f71f7943196c7,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,false,9
F2J000817,817,F2D000461,primary,F2V000461,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,WX2,P04,0,M0,pow_const,182,20442,20624,4ae6c8547d9f3249eabc060dcb42fe542840cd50f67b5401560864730dac7170,e4ee1f4e1bdf85b2b00e54b95dcba8fe41488a13cd5d7f85a8c58be8c336e790,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,false,10
