planned_decision_id,decision_class,variant_id,external_optimizer_seed,n_samples,median_dt_s,mean_dt_s,afino_effective_dt_s,requested_median_dt_pass,afino_mean_dt_pass,requested_rfftfreq_bin_count,afino_fftfreq_positive_bin_count,afino_fftfreq_post_cutoff_bin_count,observed_post_cutoff_bin_count,requested_bin_contract_pass,afino_bin_contract_pass,models_agree_on_dt,models_agree_on_bin_count
F2D000001,primary,F2V000001,0,15,20.002015408681473,20.002015411487914,20.002015411487914,false,true,7,7,7,7,true,true,true,true
F2D000002,primary,F2V000002,0,15,20.002015408681473,20.002015411487914,20.002015411487914,false,true,7,7,7,7,true,true,true,true
F2D000003,primary,F2V000003,0,15,20.002015408681473,20.002015411487914,20.002015411487914,false,true,7,7,7,7,true,true,true,true
F2D000004,primary,F2V000004,0,15,20.002015408681473,20.002015411487914,20.002015411487914,false,true,7,7,7,7,true,true,true,true
F2D000005,primary,F2V000005,0,15,20.002015408681473,20.002015411487914,20.002015411487914,false,true,7,7,7,7,true,true,true,true
F2D000006,primary,F2V000006,0,15,20.002015408681473,20.002015411487914,20.002015411487914,false,true,7,7,7,7,true,true,true,true
F2D000007,primary,F2V000007,0,17,20.002015428326558,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
F2D000008,primary,F2V000008,0,17,20.002015428326558,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
F2D000009,primary,F2V000009,0,17,20.002015428326558,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
F2D000010,primary,F2V000010,0,17,20.002015428326558,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
F2D000011,primary,F2V000011,0,17,20.002015428326558,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
F2D000012,primary,F2V000012,0,17,20.002015428326558,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
F2D000013,primary,F2V000013,0,16,20.002015428326558,20.00201541261049,20.00201541261049,false,true,8,7,7,7,false,true,true,true
F2D000014,primary,F2V000014,0,16,20.002015428326558,20.00201541261049,20.00201541261049,false,true,8,7,7,7,false,true,true,true
F2D000015,primary,F2V000015,0,16,20.002015428326558,20.00201541261049,20.00201541261049,false,true,8,7,7,7,false,true,true,true
F2D000016,primary,F2V000016,0,16,20.002015428326558,20.00201541261049,20.00201541261049,false,true,8,7,7,7,false,true,true,true
F2D000017,primary,F2V000017,0,16,20.002015428326558,20.00201541261049,20.00201541261049,false,true,8,7,7,7,false,true,true,true
F2D000018,primary,F2V000018,0,16,20.002015428326558,20.00201541261049,20.00201541261049,false,true,8,7,7,7,false,true,true,true
F2D000043,primary,F2V000043,0,16,20.002015428326558,20.002015415229835,20.002015415229835,false,true,8,7,7,7,false,true,true,true
F2D000044,primary,F2V000044,0,16,20.002015428326558,20.002015415229835,20.002015415229835,false,true,8,7,7,7,false,true,true,true
F2D000045,primary,F2V000045,0,16,20.002015428326558,20.002015415229835,20.002015415229835,false,true,8,7,7,7,false,true,true,true
F2D000046,primary,F2V000046,0,16,20.002015428326558,20.002015415229835,20.002015415229835,false,true,8,7,7,7,false,true,true,true
F2D000047,primary,F2V000047,0,16,20.002015428326558,20.002015415229835,20.002015415229835,false,true,8,7,7,7,false,true,true,true
F2D000048,primary,F2V000048,0,16,20.002015428326558,20.002015415229835,20.002015415229835,false,true,8,7,7,7,false,true,true,true
F2D000049,primary,F2V000049,0,17,20.002015408681473,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
F2D000050,primary,F2V000050,0,17,20.002015408681473,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
F2D000051,primary,F2V000051,0,17,20.002015408681473,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
F2D000052,primary,F2V000052,0,17,20.002015408681473,20.002015413592744,20.002015413592744,false,true,8,8,8,8,true,true,true,true
