event_id,pair_id,observational_role,baseline_qpp_selected,planned_variants,eligible_variants,inadmissible_variants,selected_variants,not_selected_variants,incomplete_numerical_variants,selected_retained_n,selection_lost_n,not_selected_retained_n,selection_gained_n,irregular_sampling_n,too_few_cadences_n,peak_removed_by_quality_n,profiles_with_classification_changes,windows_with_classification_changes,joint_margin_min,joint_margin_max,periods_comparable_n,absolute_period_change_min_s,absolute_period_change_median_s,absolute_period_change_max_s
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,True,78,42,36,5,37,0,5,37,0,0,0,36,0,P00|P01|P02|P03|P04|P05,W00|WSm2|WSm1|WEp1|WEp2|WX1|WX2,-14.146693250486354,4.579589696751121,5,0.0,0.11782145807066513,0.6284860042114389
notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,False,78,28,50,0,28,0,0,0,28,0,12,38,0,,,-16.01768391062028,-12.72667947559231,0,,,
P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,True,78,52,26,48,4,0,48,4,0,0,26,0,0,P01|P05,WSp1|WSp2,-0.9762976307682614,8.183197673187678,48,0.0,0.7268388948546622,1.503977956966942
P1_not_selected_qpp_pdcsap_all,P1,MATCHED_NOT_SELECTED,False,78,52,26,0,52,0,0,0,52,0,26,0,0,,,-16.692646097273695,-9.542665885602254,0,,,
P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,True,78,52,26,42,10,0,42,10,0,0,0,0,26,P00|P04,W00|WSm2|WSm1|WEm2|WEm1|WX1|WC1|WX2|WC2,-0.7263780802728093,1.494257898298315,42,0.0,0.03030381925287884,0.1086024150816769
P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,False,78,52,26,0,52,0,0,0,52,0,26,0,0,,,-15.061335395034575,-14.122766058717389,0,,,
P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,True,78,78,0,19,59,0,19,59,0,0,0,0,0,P00|P01|P02|P03|P04|P05,W00|WSm2|WSm1|WSp1|WSp2|WEm2|WEm1|WEp1|WEp2|WX1|WC1|WX2|WC2,-9.974499422760623,3.313429902093665,19,0.0,0.5152634671788405,2.714694014944669
P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,False,78,54,24,0,54,0,0,0,54,0,0,24,0,,,-16.23504783369784,-14.962274787054259,0,,,
P4_published_qpp_pdcsap_all,P4,PUBLISHED_QPP_REPRODUCED,True,78,52,26,26,26,0,26,26,0,0,26,0,0,P01|P05,W00|WSm2|WSm1|WSp1|WSp2|WEm2|WEm1|WEp1|WEp2|WX1|WC1|WX2|WC2,-8.436298057861734,5.037901136227092,26,0.0,0.20897898984001984,0.4414835032374782
P4_not_selected_qpp_pdcsap_all,P4,MATCHED_NOT_SELECTED,False,78,52,26,0,52,0,0,0,52,0,26,0,0,,,-18.764682983266628,-17.126998388471776,0,,,
