model_id,processing_profile_id,observational_role,call_count,warning_call_count,warning_total,bound_hit_call_count,ok_call_count,error_call_count,runtime_total_seconds,runtime_median_seconds,convergence_status_counts_json
M0,P00,PUBLISHED_QPP_REPRODUCED,104,0,0,16,104,0,29.62831990030827,0.28540294998674653,"{""NOT_AUDITABLE"":104}"
M0,P00,MATCHED_NOT_SELECTED,100,0,0,0,100,0,29.199866099865176,0.28928739999537356,"{""NOT_AUDITABLE"":100}"
M0,P01,PUBLISHED_QPP_REPRODUCED,104,0,0,6,104,0,30.08749739988707,0.28653745001065545,"{""NOT_AUDITABLE"":104}"
M0,P01,MATCHED_NOT_SELECTED,100,0,0,0,100,0,29.04036289989017,0.2887380000320263,"{""NOT_AUDITABLE"":100}"
M0,P02,PUBLISHED_QPP_REPRODUCED,38,0,0,14,38,0,10.110425499849953,0.2671456000243779,"{""NOT_AUDITABLE"":38}"
M0,P02,MATCHED_NOT_SELECTED,18,0,0,0,18,0,4.864666799840052,0.27554370000143535,"{""NOT_AUDITABLE"":18}"
M0,P03,PUBLISHED_QPP_REPRODUCED,38,0,0,4,38,0,10.560179499851074,0.2767118500196375,"{""NOT_AUDITABLE"":38}"
M0,P03,MATCHED_NOT_SELECTED,18,0,0,0,18,0,4.838945600145962,0.26655645002028905,"{""NOT_AUDITABLE"":18}"
M0,P04,PUBLISHED_QPP_REPRODUCED,104,0,0,17,104,0,29.644321699626744,0.27934930002084,"{""NOT_AUDITABLE"":104}"
M0,P04,MATCHED_NOT_SELECTED,100,0,0,0,100,0,28.91340810013935,0.28680890004034154,"{""NOT_AUDITABLE"":100}"
M0,P05,PUBLISHED_QPP_REPRODUCED,104,0,0,9,104,0,30.276166999712586,0.28728400002000853,"{""NOT_AUDITABLE"":104}"
M0,P05,MATCHED_NOT_SELECTED,100,0,0,0,100,0,29.412569600099232,0.28793180000502616,"{""NOT_AUDITABLE"":100}"
M1,P00,PUBLISHED_QPP_REPRODUCED,104,0,0,76,104,0,105.54768029972911,1.0178633499599528,"{""NOT_AUDITABLE"":104}"
M1,P00,MATCHED_NOT_SELECTED,100,0,0,61,100,0,96.6563246002188,0.9611510999966413,"{""NOT_AUDITABLE"":100}"
M1,P01,PUBLISHED_QPP_REPRODUCED,104,0,0,68,104,0,102.58266970020486,0.9877266499970574,"{""NOT_AUDITABLE"":104}"
M1,P01,MATCHED_NOT_SELECTED,100,0,0,70,100,0,97.3552566000144,0.9563372999837156,"{""NOT_AUDITABLE"":100}"
M1,P02,PUBLISHED_QPP_REPRODUCED,38,0,0,32,38,0,38.948433799727354,1.0570443499600515,"{""NOT_AUDITABLE"":38}"
M1,P02,MATCHED_NOT_SELECTED,18,0,0,18,18,0,19.636401000025216,1.0726253500033636,"{""NOT_AUDITABLE"":18}"
M1,P03,PUBLISHED_QPP_REPRODUCED,38,0,0,33,38,0,37.07022719999077,1.0078830000129528,"{""NOT_AUDITABLE"":38}"
M1,P03,MATCHED_NOT_SELECTED,18,0,0,15,18,0,19.677697600098327,1.09354624999105,"{""NOT_AUDITABLE"":18}"
M1,P04,PUBLISHED_QPP_REPRODUCED,104,0,0,70,104,0,103.82047790009528,0.9899118000175804,"{""NOT_AUDITABLE"":104}"
M1,P04,MATCHED_NOT_SELECTED,100,0,0,56,100,0,95.41264900035458,0.940856650006026,"{""NOT_AUDITABLE"":100}"
M1,P05,PUBLISHED_QPP_REPRODUCED,104,0,0,64,104,0,99.95227139961207,0.9430805500014685,"{""NOT_AUDITABLE"":104}"
M1,P05,MATCHED_NOT_SELECTED,100,0,0,69,100,0,98.2373090001056,0.9619862499821465,"{""NOT_AUDITABLE"":100}"
M2,P00,PUBLISHED_QPP_REPRODUCED,104,64,467,103,104,0,60.65708409965737,0.5878546000167262,"{""NOT_AUDITABLE"":104}"
M2,P00,MATCHED_NOT_SELECTED,100,54,622,77,100,0,54.902727999782655,0.5341411500121467,"{""NOT_AUDITABLE"":100}"
M2,P01,PUBLISHED_QPP_REPRODUCED,104,78,715,103,104,0,58.39346839970676,0.5666422999638598,"{""NOT_AUDITABLE"":104}"
M2,P01,MATCHED_NOT_SELECTED,100,53,614,87,100,0,54.27731899986975,0.5396698999684304,"{""NOT_AUDITABLE"":100}"
M2,P02,PUBLISHED_QPP_REPRODUCED,38,23,104,38,38,0,21.81149949983228,0.5764461499929894,"{""NOT_AUDITABLE"":38}"
M2,P02,MATCHED_NOT_SELECTED,18,5,54,10,18,0,7.877597200043965,0.43970275000901893,"{""NOT_AUDITABLE"":18}"
M2,P03,PUBLISHED_QPP_REPRODUCED,38,27,287,37,38,0,20.616629699710757,0.5398316999780945,"{""NOT_AUDITABLE"":38}"
M2,P03,MATCHED_NOT_SELECTED,18,0,0,10,18,0,7.988932799955364,0.4451715500035789,"{""NOT_AUDITABLE"":18}"
M2,P04,PUBLISHED_QPP_REPRODUCED,104,63,342,99,104,0,59.45266740018269,0.5736344000033569,"{""NOT_AUDITABLE"":104}"
M2,P04,MATCHED_NOT_SELECTED,100,53,472,77,100,0,55.05890460003866,0.5412929000158329,"{""NOT_AUDITABLE"":100}"
M2,P05,PUBLISHED_QPP_REPRODUCED,104,80,520,99,104,0,58.83950069989078,0.5731600500294007,"{""NOT_AUDITABLE"":104}"
M2,P05,MATCHED_NOT_SELECTED,100,55,493,87,100,0,53.97222910023993,0.5320650999783538,"{""NOT_AUDITABLE"":100}"
