variant_id,event_id,pair_id,observational_role,processing_profile_id,decision_count,selected_seed_count,not_selected_seed_count,decision_discordance,seed0_agreement_count,bic_m0_range,bic_m1_range,bic_m2_range,formal_m1_period_range_s,selected_period_seed_count,recovered_period_range_selected_seeds_s,m0_unique_parameter_payloads,m1_unique_parameter_payloads,m2_unique_parameter_payloads,warning_seed_count_m0,warning_seed_count_m1,warning_seed_count_m2,bound_seed_count_m0,bound_seed_count_m1,bound_seed_count_m2
F2V000001,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,10,10,0,False,10,8.043343768804334e-12,2.2551837730588886e-08,8.142511095599048e-06,0.0003684322420411945,10,0.0003684322420411945,10,10,10,0,0,6,10,10,10
F2V000002,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P01,10,0,10,False,10,9.50685574707677e-09,1.8742997553999885e-07,0.22654764012915507,0.0067786760951378255,0,,10,10,10,0,0,5,3,10,10
F2V000003,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P02,10,10,0,False,10,8.043343768804334e-12,2.2551837730588886e-08,8.142511095599048e-06,0.0003684322420411945,10,0.0003684322420411945,10,10,10,0,0,6,10,10,10
F2V000004,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P03,10,0,10,False,10,9.50685574707677e-09,1.8742997553999885e-07,0.22654764012915507,0.0067786760951378255,0,,10,10,10,0,0,5,3,10,10
F2V000005,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P04,10,10,0,False,10,1.9038992604691884e-11,4.740524417456982e-09,2.575689533657055e-06,0.00018930205285982993,10,0.00018930205285982993,10,10,10,0,0,7,10,10,10
F2V000006,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P05,10,0,10,False,10,1.3155048605995034e-08,1.3988628921879354e-07,0.22748804542972323,0.0008052308839125999,0,,10,10,10,0,0,5,1,10,10
F2V000079,notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,P00,10,0,10,False,10,6.625811010962934e-13,5.832770000324672e-07,0.004641617184839575,0.04653062428564425,0,,10,10,10,0,0,2,0,10,1
F2V000080,notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,P01,10,0,10,False,10,1.1155520951433573e-12,7.190159756476078e-08,0.12282382154804594,0.00015796075846452595,0,,10,10,10,0,0,3,0,10,5
F2V000083,notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,P04,10,0,10,False,10,4.956035581926699e-13,2.020676959091361e-10,0.044927788881265585,0.0007725663587407894,0,,10,10,10,0,0,2,0,10,0
F2V000084,notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,P05,10,0,10,False,10,1.1155520951433573e-12,4.491508551751622e-07,0.13546813282693293,4.570160326267114e-05,0,,10,10,10,0,0,5,0,9,6
F2V000157,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,P00,10,10,0,False,10,1.6626700016786344e-12,1.062559817910369e-09,2.175590762402109,3.673050557040369e-05,10,3.673050557040369e-05,10,10,10,0,0,2,0,10,10
F2V000158,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,P01,10,10,0,False,10,1.7124079931818414e-12,2.2928816179046407e-08,1.3043244325063057,4.683218721623916e-05,10,4.683218721623916e-05,10,10,10,0,0,6,0,9,10
F2V000161,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,P04,10,10,0,False,10,3.225864020350855e-12,4.313363888286403e-09,2.1298172748909323,2.8838758090898864e-05,10,2.8838758090898864e-05,10,10,10,0,0,1,0,10,8
F2V000162,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,P05,10,10,0,False,10,7.460698725481052e-13,7.584571903862525e-08,1.3000957113460956,0.0001955848655512682,10,0.0001955848655512682,10,10,10,0,0,5,0,9,9
F2V000235,P1_not_selected_qpp_pdcsap_all,P1,MATCHED_NOT_SELECTED,P00,10,0,10,False,10,8.462563982902793e-12,1.1522153897658427e-08,0.869420188744968,0.0005095081509551846,0,,10,10,10,0,0,4,0,0,8
F2V000236,P1_not_selected_qpp_pdcsap_all,P1,MATCHED_NOT_SELECTED,P01,10,0,10,False,10,2.8208546609675977e-12,9.60235908564755e-08,1.97807281554676,0.0005746245561795149,0,,10,10,10,0,0,5,0,10,10
F2V000239,P1_not_selected_qpp_pdcsap_all,P1,MATCHED_NOT_SELECTED,P04,10,0,10,False,10,1.6839862837514374e-12,0.959786755675367,0.7472645974883747,64.37734951699451,0,,10,10,10,0,0,2,0,1,10
F2V000240,P1_not_selected_qpp_pdcsap_all,P1,MATCHED_NOT_SELECTED,P05,10,0,10,False,10,1.1723955140041653e-12,1.0564384922417958e-08,1.8594059615231444,9.438379314019585e-05,0,,10,10,10,0,0,4,0,10,9
F2V000313,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,P00,10,10,0,False,10,2.8535396268125623e-11,3.375089363544248e-08,7.862550546633429e-06,0.00035917152538900154,10,0.00035917152538900154,10,10,10,0,0,7,0,0,10
F2V000314,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,P01,10,10,0,False,10,2.773958840407431e-11,1.0193048183282372e-08,1.019625119624834e-05,0.00020888243324179712,10,0.00020888243324179712,10,10,10,0,0,10,0,0,10
F2V000317,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,P04,10,0,10,False,10,2.4925839170464315e-10,5.8901946431433316e-08,8.021079281661514e-06,0.0003385351259055369,0,,10,10,10,0,0,5,0,0,10
F2V000318,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,P05,10,10,0,False,10,4.035882739117369e-11,2.7249484446656425e-08,2.628479933264316e-06,0.00016939196355281183,10,0.00016939196355281183,10,10,10,0,0,7,0,0,10
F2V000391,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,P00,10,0,10,False,10,8.094502845779061e-11,2.079173100355547e-08,0.002620477699110779,0.00024031711001271105,0,,10,10,10,0,0,10,0,0,10
F2V000392,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,P01,10,0,10,False,10,3.183231456205249e-11,1.9671460904646665e-08,2.958422282972606e-05,0.00034359031671726825,0,,10,10,10,0,0,10,0,0,10
F2V000395,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,P04,10,0,10,False,10,1.957687345566228e-10,1.2070813681930304e-08,0.003223827951842395,0.00027227759936465645,0,,10,10,10,0,0,10,0,0,10
F2V000396,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,P05,10,0,10,False,10,3.865352482534945e-11,9.315499482909217e-09,0.18422661025988418,0.00035911257108978134,0,,10,10,10,0,0,10,0,0,9
F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,P00,10,10,0,False,10,2.7071678232459817e-12,1.8127579437532404e-08,1.4317196758632171,0.0007360022889741913,10,0.0007360022889741913,10,10,10,0,0,6,0,10,10
F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,P01,10,0,10,False,10,1.1013412404281553e-12,1.0978661890703734e-07,1.0502148409702272,0.0,0,,10,10,10,0,0,8,0,10,9
F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,P02,10,10,0,False,10,2.7071678232459817e-12,1.8127579437532404e-08,1.4317196758632171,0.0007360022889741913,10,0.0007360022889741913,10,10,10,0,0,6,0,10,10
F2V000472,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,P03,10,0,10,False,10,1.1013412404281553e-12,1.0978661890703734e-07,1.0502148409702272,0.0,0,,10,10,10,0,0,8,0,10,9
F2V000473,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,P04,10,10,0,False,10,4.433786671143025e-12,1.1438656954965154e-07,1.3210297924960557,0.00032073510509178504,10,0.00032073510509178504,10,10,10,0,0,6,0,9,10
F2V000474,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,P05,10,0,10,False,10,3.019806626980426e-13,1.3798232245676445e-07,0.9185727726614559,0.0,0,,10,10,10,0,0,10,0,10,10
F2V000547,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,P00,10,0,10,False,10,3.517186542012496e-13,4.367791994752679e-07,0.5890118549608125,0.00027052897810619925,0,,10,10,10,0,0,3,0,10,5
F2V000548,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,P01,10,0,10,False,10,3.694822225952521e-13,1.4282433475898415e-06,0.5971457499198607,0.005073961239318692,0,,10,10,10,0,0,0,0,7,7
F2V000549,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,P02,10,0,10,False,10,3.517186542012496e-13,4.367791994752679e-07,0.5890118549608125,0.00027052897810619925,0,,10,10,10,0,0,3,0,10,5
F2V000550,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,P03,10,0,10,False,10,3.694822225952521e-13,1.4282433475898415e-06,0.5971457499198607,0.005073961239318692,0,,10,10,10,0,0,0,0,7,7
F2V000551,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,P04,10,0,10,False,10,3.382183422218077e-12,5.696066089910801e-07,0.5902201450528821,0.0016167279444161409,0,,10,10,10,0,0,1,0,5,7
F2V000552,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,P05,10,0,10,False,10,9.166001291305292e-13,1.8474081002750609e-06,0.599300248593643,0.013217201735898243,0,,10,10,10,0,0,0,0,6,10
F2V000625,P4_published_qpp_pdcsap_all,P4,PUBLISHED_QPP_REPRODUCED,P00,10,10,0,False,10,1.6370904631912708e-11,5.072564590591355e-10,1.701194299373654,2.644791093331378e-05,10,2.644791093331378e-05,10,10,10,0,0,7,0,10,10
F2V000626,P4_published_qpp_pdcsap_all,P4,PUBLISHED_QPP_REPRODUCED,P01,10,0,10,False,10,9.322320693172514e-12,3.4077629607054405e-11,1.7739894838442183,9.895986281094338e-06,0,,10,10,10,0,0,8,0,10,10
F2V000629,P4_published_qpp_pdcsap_all,P4,PUBLISHED_QPP_REPRODUCED,P04,10,10,0,False,10,1.9738877199415583e-11,2.3950974537001457e-10,1.7902200476279546,1.8026025642825516e-05,10,1.8026025642825516e-05,10,10,10,0,0,7,0,10,10
F2V000630,P4_published_qpp_pdcsap_all,P4,PUBLISHED_QPP_REPRODUCED,P05,10,0,10,False,10,2.2652102416031994e-11,4.871480996371247e-11,1.7713467557356921,8.867253903588335e-06,0,,10,10,10,0,0,7,0,10,9
F2V000703,P4_not_selected_qpp_pdcsap_all,P4,MATCHED_NOT_SELECTED,P00,10,0,10,False,10,3.716138508025324e-12,1.197625465465535e-08,2.1953191684063285,0.00010760106234641853,0,,10,10,10,0,0,4,0,10,9
