planned_decision_id,variant_id,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,baseline_formal_m1_period_s,variant_formal_m1_period_s,signed_period_change_s,absolute_period_change_s,relative_period_change,period_label
F2D000001,F2V000001,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,68.52753981433278,68.52753981433278,0.0,0.0,0.0,recovered_period_selected
F2D000003,F2V000003,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P02,68.52753981433278,68.52753981433278,0.0,0.0,0.0,recovered_period_selected
F2D000005,F2V000005,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P04,68.52753981433278,68.64536127240345,0.11782145807066513,0.11782145807066513,0.0017193300443863642,recovered_period_selected
F2D000043,F2V000043,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P00,68.52753981433278,69.15602581854422,0.6284860042114389,0.6284860042114389,0.009171290927913755,recovered_period_selected
F2D000045,F2V000045,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P02,68.52753981433278,69.15602581854422,0.6284860042114389,0.6284860042114389,0.009171290927913755,recovered_period_selected
F2D000157,F2V000157,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,W00,P00,56.05824516433813,56.05824516433813,0.0,0.0,0.0,recovered_period_selected
F2D000158,F2V000158,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,W00,P01,56.05824516433813,55.74228038434222,-0.3159647799959089,0.3159647799959089,0.0056363658739162995,recovered_period_selected
F2D000161,F2V000161,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,W00,P04,56.05824516433813,56.06036161527444,0.00211645093630608,0.00211645093630608,3.775449855951745e-05,recovered_period_selected
F2D000162,F2V000162,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,W00,P05,56.05824516433813,55.74988906642899,-0.3083560979091402,0.3083560979091402,0.005500637720734491,recovered_period_selected
F2D000163,F2V000163,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSm2,P00,56.05824516433813,55.48077942790212,-0.577465736436011,0.577465736436011,0.010301173979726538,recovered_period_selected
F2D000164,F2V000164,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSm2,P01,56.05824516433813,56.93728310605459,0.8790379417164615,0.8790379417164615,0.015680796627498928,recovered_period_selected
F2D000167,F2V000167,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSm2,P04,56.05824516433813,55.48041601410182,-0.5778291502363118,0.5778291502363118,0.010307656769175893,recovered_period_selected
F2D000168,F2V000168,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSm2,P05,56.05824516433813,56.962293139423565,0.9040479750854331,0.9040479750854331,0.01612694033563059,recovered_period_selected
F2D000169,F2V000169,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSm1,P00,56.05824516433813,56.48804109633609,0.4297959319979583,0.4297959319979583,0.007666953018917834,recovered_period_selected
F2D000170,F2V000170,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSm1,P01,56.05824516433813,57.06830498268018,1.0100598183420502,1.0100598183420502,0.018018042045037243,recovered_period_selected
F2D000173,F2V000173,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSm1,P04,56.05824516433813,56.48809821324124,0.42985304890310516,0.42985304890310516,0.007667971903918237,recovered_period_selected
F2D000174,F2V000174,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSm1,P05,56.05824516433813,57.06593152137112,1.0076863570329877,1.0076863570329877,0.017975702844048976,recovered_period_selected
F2D000175,F2V000175,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSp1,P00,56.05824516433813,55.02136524119224,-1.0368799231458894,1.0368799231458894,0.018496474873699903,recovered_period_selected
F2D000179,F2V000179,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSp1,P04,56.05824516433813,55.018510745547566,-1.039734418790566,1.039734418790566,0.018547395048534282,recovered_period_selected
F2D000181,F2V000181,P1_published_qpp_pdcsap_all,P1,PUBLISHED_QPP_REPRODUCED,WSp2,P00,56.05824516433813,56.73490417617328,0.6766590118351488,0.6766590118351488,0.012070642059013478,recovered_period_selected
