contrast_id,event_id,pair_id,observational_role,window_variant_id,left_processing_profile_id,right_processing_profile_id,left_variant_id,right_variant_id,left_primary_outcome,right_primary_outcome,left_admissibility_status,right_admissibility_status,left_inadmissibility_reason,right_inadmissibility_reason,comparability_status,selection_transition,change_delta_bic_0_1,change_delta_bic_2_1,change_joint_margin
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,P01,F2V000001,F2V000002,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-20.56940037841324,-14.567612219901939,-18.135807626946885
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,P02,F2V000001,F2V000003,SELECTED,SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→1,0.0,0.0,0.0
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P01,P03,F2V000002,F2V000004,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,P04,F2V000001,F2V000005,SELECTED,SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→1,-0.8707382510477579,-0.6207971537516723,-0.6207971537516723
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P01,P05,F2V000002,F2V000006,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.011766694550260581,0.013278816118763359,0.011766694550260581
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P02,P03,F2V000003,F2V000004,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-20.56940037841324,-14.567612219901939,-18.135807626946885
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P00,P01,F2V000007,F2V000008,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.15120431856860606,1.5855148250309021,-0.15120431856860606
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P00,P02,F2V000007,F2V000009,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P01,P03,F2V000008,F2V000010,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P00,P04,F2V000007,F2V000011,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.623127700126088,-0.35657822016798235,-0.6231277001260871
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P01,P05,F2V000008,F2V000012,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-1.14162260265633,-1.1606609792123734,-1.14162260265633
