event_id,pair_id,observational_role,processing_profile_id,reference_window_variant_id,variant_window_variant_id,reference_variant_id,variant_id,reference_primary_outcome,variant_primary_outcome,reference_admissibility_status,variant_admissibility_status,reference_inadmissibility_reason,variant_inadmissibility_reason,comparability_status,selection_transition,change_delta_bic_0_1,change_delta_bic_2_1,change_joint_margin
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WSm2,F2V000001,F2V000007,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-19.867048777478892,-15.568484448550002,-17.43345602601254
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WSm1,F2V000001,F2V000013,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-14.439424352095626,-11.63142517654339,-12.005831600629273
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WSp1,F2V000001,F2V000019,SELECTED,INPUT_INADMISSIBLE,ELIGIBLE_FOR_AFINO,TOO_FEW_CADENCES,,14 retained cadences; minimum is 15.,VARIANT_INADMISSIBLE,,,,
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WSp2,F2V000001,F2V000025,SELECTED,INPUT_INADMISSIBLE,ELIGIBLE_FOR_AFINO,TOO_FEW_CADENCES,,13 retained cadences; minimum is 15.,VARIANT_INADMISSIBLE,,,,
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WEm2,F2V000001,F2V000031,SELECTED,INPUT_INADMISSIBLE,ELIGIBLE_FOR_AFINO,TOO_FEW_CADENCES,,13 retained cadences; minimum is 15.,VARIANT_INADMISSIBLE,,,,
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WEm1,F2V000001,F2V000037,SELECTED,INPUT_INADMISSIBLE,ELIGIBLE_FOR_AFINO,TOO_FEW_CADENCES,,14 retained cadences; minimum is 15.,VARIANT_INADMISSIBLE,,,,
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WEp1,F2V000001,F2V000043,SELECTED,SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→1,-6.862266674572911,-4.043337971261373,-4.428673923106558
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WEp2,F2V000001,F2V000049,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-11.33001121975497,-7.30682488689064,-8.896418468288617
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WX1,F2V000001,F2V000055,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-9.556254129759445,-10.1387011686418,-10.1387011686418
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WC1,F2V000001,F2V000061,SELECTED,INPUT_INADMISSIBLE,ELIGIBLE_FOR_AFINO,TOO_FEW_CADENCES,,13 retained cadences; minimum is 15.,VARIANT_INADMISSIBLE,,,,
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WX2,F2V000001,F2V000067,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-17.5368018503979,-14.29866673348595,-15.103209098931547
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P00,W00,WC2,F2V000001,F2V000073,SELECTED,INPUT_INADMISSIBLE,ELIGIBLE_FOR_AFINO,TOO_FEW_CADENCES,,11 retained cadences; minimum is 15.,VARIANT_INADMISSIBLE,,,,
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P01,W00,WSm2,F2V000002,F2V000008,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.55114728236574,0.5846425963828388,0.55114728236574
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P01,W00,WSm1,F2V000002,F2V000014,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.7165209712456502,0.501875821126653,0.7165209712456502
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P01,W00,WSp1,F2V000002,F2V000020,NOT_SELECTED,INPUT_INADMISSIBLE,ELIGIBLE_FOR_AFINO,TOO_FEW_CADENCES,,14 retained cadences; minimum is 15.,VARIANT_INADMISSIBLE,,,,
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P01,W00,WSp2,F2V000002,F2V000026,NOT_SELECTED,INPUT_INADMISSIBLE,ELIGIBLE_FOR_AFINO,TOO_FEW_CADENCES,,13 retained cadences; minimum is 15.,VARIANT_INADMISSIBLE,,,,
published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,P01,W00,WEm2,F2V000002,F2V000032,NOT_SELECTED,INPUT_INADMISSIBLE,ELIGIBLE_FOR_AFINO,TOO_FEW_CADENCES,,13 retained cadences; minimum is 15.,VARIANT_INADMISSIBLE,,,,
