observational_role,window_variant_id,processing_profile_id,planned_n,eligible_n,inadmissible_n,incomplete_numerical_n,selected_n,not_selected_n,baseline_concordant_n,baseline_discordant_n,eligibility_fraction,selection_fraction_among_eligible,baseline_concordance_among_eligible
PUBLISHED_QPP_REPRODUCED,W00,P00,5,5,0,0,5,0,5,0,1.0,1.0,1.0
PUBLISHED_QPP_REPRODUCED,W00,P01,5,5,0,0,2,3,2,3,1.0,0.4,0.4
PUBLISHED_QPP_REPRODUCED,W00,P02,5,2,3,0,2,0,2,0,0.4,1.0,1.0
PUBLISHED_QPP_REPRODUCED,W00,P03,5,2,3,0,0,2,0,2,0.4,0.0,0.0
PUBLISHED_QPP_REPRODUCED,W00,P04,5,5,0,0,4,1,4,1,1.0,0.8,0.8
PUBLISHED_QPP_REPRODUCED,W00,P05,5,5,0,0,2,3,2,3,1.0,0.4,0.4
PUBLISHED_QPP_REPRODUCED,WSm2,P00,5,5,0,0,4,1,4,1,1.0,0.8,0.8
PUBLISHED_QPP_REPRODUCED,WSm2,P01,5,5,0,0,2,3,2,3,1.0,0.4,0.4
PUBLISHED_QPP_REPRODUCED,WSm2,P02,5,2,3,0,1,1,1,1,0.4,0.5,0.5
PUBLISHED_QPP_REPRODUCED,WSm2,P03,5,2,3,0,0,2,0,2,0.4,0.0,0.0
PUBLISHED_QPP_REPRODUCED,WSm2,P04,5,5,0,0,3,2,3,2,1.0,0.6,0.6
PUBLISHED_QPP_REPRODUCED,WSm2,P05,5,5,0,0,2,3,2,3,1.0,0.4,0.4
PUBLISHED_QPP_REPRODUCED,WSm1,P00,5,5,0,0,4,1,4,1,1.0,0.8,0.8
PUBLISHED_QPP_REPRODUCED,WSm1,P01,5,5,0,0,2,3,2,3,1.0,0.4,0.4
PUBLISHED_QPP_REPRODUCED,WSm1,P02,5,2,3,0,1,1,1,1,0.4,0.5,0.5
PUBLISHED_QPP_REPRODUCED,WSm1,P03,5,2,3,0,0,2,0,2,0.4,0.0,0.0
PUBLISHED_QPP_REPRODUCED,WSm1,P04,5,5,0,0,2,3,2,3,1.0,0.4,0.4
PUBLISHED_QPP_REPRODUCED,WSm1,P05,5,5,0,0,2,3,2,3,1.0,0.4,0.4
PUBLISHED_QPP_REPRODUCED,WSp1,P00,5,4,1,0,3,1,3,1,0.8,0.75,0.75
