variant_id,n_samples,result_rows,median_dt_s,mean_dt_s,span_over_n_minus_1_dt_s,afino_effective_dt_s,afino_minus_median_s,afino_minus_mean_s,requested_median_dt_pass,requested_rfftfreq_post_cutoff_bins,observed_post_cutoff_bins,requested_bin_pass,afino_convention_positive_bins_expected,observed_positive_frequency_bins,afino_convention_post_cutoff_bins_expected,afino_mean_dt_pass,afino_bin_convention_pass
F2V000379,156,3,19.99993096687831,19.999932296407003,19.999932296407003,19.999932296407003,1.329528693361226e-06,0,false,77,77,true,77,77,77,true,true
F2V000383,156,3,19.99993096687831,19.999932296407003,19.999932296407003,19.999932296407003,1.329528693361226e-06,0,false,77,77,true,77,77,77,true,true
F2V000457,182,3,20.000232283200603,20.000232460114908,20.000232460114908,20.000232460114908,1.769143054275446e-07,0,false,91,90,false,90,90,90,true,true
F2V000461,182,3,20.000232283200603,20.000232460114908,20.000232460114908,20.000232460114908,1.769143054275446e-07,0,false,91,90,false,90,90,90,true,true
F2V000469,19,6,20.00023251894163,20.000232516758842,20.000232516758842,20.000232516758842,-2.1827872842550278e-09,0,false,9,9,true,9,9,9,true,true
F2V000470,19,6,20.00023251894163,20.000232516758842,20.000232516758842,20.000232516758842,-2.1827872842550278e-09,0,false,9,9,true,9,9,9,true,true
F2V000471,19,6,20.00023251894163,20.000232516758842,20.000232516758842,20.000232516758842,-2.1827872842550278e-09,0,false,9,9,true,9,9,9,true,true
F2V000472,19,6,20.00023251894163,20.000232516758842,20.000232516758842,20.000232516758842,-2.1827872842550278e-09,0,false,9,9,true,9,9,9,true,true
F2V000473,19,6,20.00023251894163,20.000232516758842,20.000232516758842,20.000232516758842,-2.1827872842550278e-09,0,false,9,9,true,9,9,9,true,true
F2V000474,19,6,20.00023251894163,20.000232516758842,20.000232516758842,20.000232516758842,-2.1827872842550278e-09,0,false,9,9,true,9,9,9,true,true
F2V000547,16,6,19.999991080840118,19.99997770646587,19.99997770646587,19.99997770646587,-1.3374374248087406e-05,0,false,7,7,true,7,7,7,true,true
F2V000548,16,6,19.999991080840118,19.99997770646587,19.99997770646587,19.99997770646587,-1.3374374248087406e-05,0,false,7,7,true,7,7,7,true,true
F2V000549,16,6,19.999991080840118,19.99997770646587,19.99997770646587,19.99997770646587,-1.3374374248087406e-05,0,false,7,7,true,7,7,7,true,true
F2V000550,16,6,19.999991080840118,19.99997770646587,19.99997770646587,19.99997770646587,-1.3374374248087406e-05,0,false,7,7,true,7,7,7,true,true
F2V000551,16,6,19.999991080840118,19.99997770646587,19.99997770646587,19.99997770646587,-1.3374374248087406e-05,0,false,7,7,true,7,7,7,true,true
F2V000552,16,6,19.999991080840118,19.99997770646587,19.99997770646587,19.99997770646587,-1.3374374248087406e-05,0,false,7,7,true,7,7,7,true,true
