numeric_id,paragraph_or_caption_id,displayed_value_m1_4,scientific_meaning,claim_id,source_id,frozen_source_value,author_review_disposition,change_reason,scientific_value_changed,new_scientific_value,status
M1N0001,M1P0001,5,published TESS detections reproduced in F0,M1C001,M1S002,five,REPRESENTED,NONE,false,false,PASS
M1N0002,M1P0001,10,F2 pilot event count,M1C004,M1S025,10,REPRESENTED,NONE,false,false,PASS
M1N0003,M1P0001,51,F3A QPP-reference baseline mismatches,M1C006,M1S038,51,REPRESENTED,NONE,false,false,PASS
M1N0004,M1P0001,61,F3A published-QPP reference denominator,M1C006,M1S038,61,REPRESENTED,NONE,false,false,PASS
M1N0005,M1P0001,0.5,AFINO version,M1C018,M1S047,0.5,REPRESENTED,NONE,false,false,PASS
M1N0006,M1P0001,152,HELDOUT selected synthetic positives,M1C014,M1S042,152,REPRESENTED,NONE,false,false,PASS
M1N0007,M1P0001,1800,HELDOUT positive denominator,M1C014,M1S042,1800,REPRESENTED,NONE,false,false,PASS
M1N0008,M1P0001,1800,HELDOUT synthetic null denominator,M1C015,M1S042,1800,REPRESENTED,NONE,false,false,PASS
M1N0009,M1P0001,156,HELDOUT selection-function strata,M1C019,M1S043,156,REPRESENTED,NONE,false,false,PASS
M1N0010,M1P0009,0.5,AFINO package version,M1C001,M1S002,0.5,REPRESENTED,NONE,false,false,PASS
M1N0011,M1P0009,3,number of AFINO spectral models,M1C001,M1S002,3,REPRESENTED,NONE,false,false,PASS
M1N0012,M1P0010,10,delta-BIC threshold against M0,M1C001,M1S002,10,REPRESENTED,NONE,false,false,PASS
M1N0013,M1P0010,10,delta-BIC threshold against M2,M1C001,M1S002,10,REPRESENTED,NONE,false,false,PASS
M1N0014,M1P0010,40,lower candidate-period bound in seconds,M1C001,M1S002,40,REPRESENTED,NONE,false,false,PASS
M1N0015,M1P0010,300,upper candidate-period bound in seconds,M1C001,M1S002,300,REPRESENTED,NONE,false,false,PASS
M1N0016,M1P0011,5,published QPP detections in F0 reproduction cohort,M1C001,M1S002,5,REPRESENTED,NONE,false,false,PASS
M1N0017,M1P0011,5,paired not-selected events in F0 reproduction cohort,M1C001,M1S002,5,REPRESENTED,NONE,false,false,PASS
M1N0018,M1P0012,20,synthetic cadence in seconds,M1C002,M1S005,20,REPRESENTED,NONE,false,false,PASS
M1N0019,M1P0012,111,F1 primary benchmark conditions,M1C002,M1S005,111,REPRESENTED,NONE,false,false,PASS
M1N0020,M1P0012,12,F1 null conditions,M1C002,M1S005,12,REPRESENTED,NONE,false,false,PASS
M1N0021,M1P0012,99,F1 positive conditions,M1C002,M1S005,99,REPRESENTED,NONE,false,false,PASS
M1N0022,M1P0012,40,realizations per primary condition,M1C002,M1S005,40,REPRESENTED,NONE,false,false,PASS
M1N0023,M1P0015,10,F2 observational events,M1C004,M1S025,10,REPRESENTED,NONE,false,false,PASS
M1N0024,M1P0015,5,F2 event pairs,M1C004,M1S025,5,REPRESENTED,NONE,false,false,PASS
M1N0025,M1P0015,13,F2 temporal windows,M1C004,M1S025,13,REPRESENTED,NONE,false,false,PASS
M1N0026,M1P0015,6,F2 processing profiles,M1C004,M1S025,6,REPRESENTED,NONE,false,false,PASS
M1N0027,M1P0017,13,F3A temporal-window count,M1C005,M1S038,13,REPRESENTED,NONE,false,false,PASS
M1N0028,M1P0017,6,F3A processing-profile count,M1C005,M1S038,6,REPRESENTED,NONE,false,false,PASS
M1N0029,M1P0017,122,F3A observational references,M1C005,M1S038,122,REPRESENTED,NONE,false,false,PASS
M1N0030,M1P0017,9516,F3A planned variants,M1C005,M1S038,9516,REPRESENTED,NONE,false,false,PASS
M1N0031,M1P0017,0,F3A baseline external optimizer seed,M1C006,M1S038,0,REPRESENTED,NONE,false,false,PASS
M1N0032,M1P0020,10,final F3B delta-BIC01 threshold,M1C018,M1S041,10.0,REPRESENTED,NONE,false,false,PASS
M1N0033,M1P0020,10,final F3B delta-BIC21 threshold,M1C018,M1S041,10.0,REPRESENTED,NONE,false,false,PASS
M1N0034,M1P0021,4,number of candidate promotion criteria,M1C017,M1S040,4,REPRESENTED,NONE,false,false,PASS
M1N0035,M1P0021,3,promotion criteria passed,M1C017,M1S040,3,REPRESENTED,NONE,false,false,PASS
M1N0036,M1P0021,10,frozen baseline threshold t01,M1C018,M1S041,10.0,REPRESENTED,NONE,false,false,PASS
M1N0037,M1P0021,10,frozen baseline threshold t21,M1C018,M1S041,10.0,REPRESENTED,NONE,false,false,PASS
M1N0038,M1P0023,5,F0 reproduced published QPP detections,M1C001,M1S002,5,REPRESENTED,NONE,false,false,PASS
M1N0039,M1P0023,5,F0 paired not-selected events,M1C001,M1S002,5,REPRESENTED,NONE,false,false,PASS
M1N0040,M1P0024,480,F1 primary null realizations,M1C002,M1S005,480,REPRESENTED,NONE,false,false,PASS
M1N0041,M1P0024,99,F1 positive conditions,M1C002,M1S005,99,REPRESENTED,NONE,false,false,PASS
M1N0042,M1P0024,78,positive conditions with zero selections,M1C002,M1S005,78,REPRESENTED,NONE,false,false,PASS
M1N0043,M1P0024,21,positive conditions with at least one selection,M1C002,M1S005,21,REPRESENTED,NONE,false,false,PASS
M1N0044,M1P0024,15,short-support sample count,M1C002,M1S005,15,REPRESENTED,NONE,false,false,PASS
M1N0045,M1P0024,30,short-support sample count,M1C002,M1S005,30,REPRESENTED,NONE,false,false,PASS
M1N0046,M1P0026,780,F2 planned variants,M1C004,M1S025,780,REPRESENTED,NONE,false,false,PASS
