rendered_value_id,artifact_id,location,displayed_value,original_M1_2_value,source_id,frozen_source_value,display_only_transformation,numeric_identity,status
M1RV0001,M1F02,F2 card,10,10,M1S016,10,direct frozen table row count,true,PASS
M1RV0002,M1F02,F2 card,13,13,M1S038,13,literal-to-label formatting,true,PASS
M1RV0003,M1F02,F2 card,6,6,M1S038,6,literal-to-label formatting,true,PASS
M1RV0004,M1F02,F2 card,780,780,M1S038,780,literal number formatting,true,PASS
M1RV0005,M1F02,F3A card,122,122,M1S031,122,direct categorical count confirmed by frozen synthesis,true,PASS
M1RV0006,M1F02,F3A card,13,13,M1S038,13,literal-to-label formatting,true,PASS
M1RV0007,M1F02,F3A card,6,6,M1S038,6,literal-to-label formatting,true,PASS
M1RV0008,M1F02,F3A card,9516,9516,M1S031,9516,direct frozen table row count with thousands separator,true,PASS
M1RV0009,M1F03,Panel A,8,8,M1S030,8,direct categorical count,true,PASS
M1RV0010,M1F03,Panel A,51,51,M1S030,51,direct categorical count,true,PASS
M1RV0011,M1F03,Panel A,2,2,M1S030,2,direct categorical count,true,PASS
M1RV0012,M1F03,Panel A,57,57,M1S030,57,direct categorical count,true,PASS
M1RV0013,M1F03,Panel A,0,0,M1S030,0,direct categorical count,true,PASS
M1RV0014,M1F03,Panel A,4,4,M1S030,4,direct categorical count,true,PASS
M1RV0015,M1F03,Panel B,295,295,M1S031,295,direct categorical count,true,PASS
M1RV0016,M1F03,Panel B,171,171,M1S031,171,direct categorical count,true,PASS
M1RV0017,M1F03,Panel B,3178,3178,M1S031,3178,direct categorical count,true,PASS
M1RV0018,M1F03,Panel B,0,0,M1S031,0,direct categorical count,true,PASS
M1RV0019,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0020,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0021,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0022,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0023,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0024,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0025,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0026,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0027,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0028,M1F04,Panel A1,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0029,M1F04,Panel A1,0.02,0.02,M1S043,0.02,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0030,M1F04,Panel A1,0.24,0.24,M1S043,0.24,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0031,M1F04,Panel A2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0032,M1F04,Panel A2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0033,M1F04,Panel A2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0034,M1F04,Panel A2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0035,M1F04,Panel A2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0036,M1F04,Panel A2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0037,M1F04,Panel A2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0038,M1F04,Panel A2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0039,M1F04,Panel A2,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0040,M1F04,Panel A2,0.10,0.10,M1S043,0.1,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0041,M1F04,Panel A2,0.32,0.32,M1S043,0.32,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0042,M1F04,Panel A2,0.40,0.40,M1S043,0.4,two-decimal deterministic label formatting of frozen point estimate,true,PASS
M1RV0043,M1F04,Panel A3,0.00,0.00,M1S043,0.0,two-decimal deterministic label formatting of frozen point estimate,true,PASS
