page,section_context,figure_or_table,text_flow,float_placement,section_start_quality,whitespace_balance,readability,issues,status
1,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,Replace TBD author/internal draft label,BASELINE_REVIEW_COMPLETE
2,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
3,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,F1 connector cleanup,BASELINE_REVIEW_COMPLETE
4,M1.4 baseline page,see baseline PDF,REVIEWED,ISSUE_IDENTIFIED,PASS,ISSUE_IDENTIFIED,ISSUE_IDENTIFIED,T1 redesign and float integration,BASELINE_REVIEW_COMPLETE
5,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
6,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
7,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
8,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
9,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,F2 label/connector separation,BASELINE_REVIEW_COMPLETE
10,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
11,M1.4 baseline page,see baseline PDF,REVIEWED,ISSUE_IDENTIFIED,PASS,ISSUE_IDENTIFIED,PASS,F3 placement,BASELINE_REVIEW_COMPLETE
12,M1.4 baseline page,see baseline PDF,REVIEWED,ISSUE_IDENTIFIED,PASS,ISSUE_IDENTIFIED,ISSUE_IDENTIFIED,T2 redesign,BASELINE_REVIEW_COMPLETE
13,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
14,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
15,M1.4 baseline page,see baseline PDF,REVIEWED,ISSUE_IDENTIFIED,PASS,ISSUE_IDENTIFIED,ISSUE_IDENTIFIED,T3 redesign,BASELINE_REVIEW_COMPLETE
16,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
17,M1.4 baseline page,see baseline PDF,REVIEWED,ISSUE_IDENTIFIED,PASS,PASS,ISSUE_IDENTIFIED,F4 landscape spacing,BASELINE_REVIEW_COMPLETE
18,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
19,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
20,M1.4 baseline page,see baseline PDF,REVIEWED,ISSUE_IDENTIFIED,PASS,PASS,ISSUE_IDENTIFIED,T4 redesign,BASELINE_REVIEW_COMPLETE
21,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,,BASELINE_REVIEW_COMPLETE
22,M1.4 baseline page,see baseline PDF,REVIEWED,ACCEPTABLE,PASS,PASS,PASS,Reproducibility resources,BASELINE_REVIEW_COMPLETE
