rendered_value_id,artifact_id,panel_or_table_location,displayed_label,displayed_value,source_id,source_artifact,source_locator,source_value,transformation,exact_match_status
M1RV0001,M1F02,F2 card,events,10,M1S016,foundation/f0-f2/phase2/fase2_tarea05_event_summary.csv,row_count,10,direct frozen table row count,DIRECT_CATEGORICAL_COUNT
M1RV0002,M1F02,F2 card,temporal windows,13,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,phrase: thirteen temporal windows and six processing profiles,13,literal-to-label formatting,DETERMINISTIC_LABEL_FORMAT
M1RV0003,M1F02,F2 card,processing profiles,6,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,phrase: thirteen temporal windows and six processing profiles,6,literal-to-label formatting,DETERMINISTIC_LABEL_FORMAT
M1RV0004,M1F02,F2 card,planned variants,780,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,phrase: 780 planned variants across ten events,780,literal number formatting,DETERMINISTIC_LABEL_FORMAT
M1RV0005,M1F02,F3A card,events,122,M1S031,workflows/phase3a/evidence/tables/f3a5_primary_outcome_matrix.csv,unique phase3a_event_id / frozen cohort,122,direct categorical count confirmed by frozen synthesis,DIRECT_CATEGORICAL_COUNT
M1RV0006,M1F02,F3A card,temporal windows,13,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,frozen 13 x 6 design continuity,13,literal-to-label formatting,DETERMINISTIC_LABEL_FORMAT
M1RV0007,M1F02,F3A card,processing profiles,6,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,frozen 13 x 6 design continuity,6,literal-to-label formatting,DETERMINISTIC_LABEL_FORMAT
M1RV0008,M1F02,F3A card,planned variants,9516,M1S031,workflows/phase3a/evidence/tables/f3a5_primary_outcome_matrix.csv,row_count,9516,direct frozen table row count with thousands separator,DIRECT_CATEGORICAL_COUNT
M1RV0009,M1F03,Panel A,QPP concordant,8,M1S030,workflows/phase3a/evidence/tables/f3a5_reference_baseline_audit.csv,count where observational_reference_role=PUBLISHED_QPP_REFERENCE; baseline_gate_state=REFERENCE_CONCORDANT,8,direct categorical count,DIRECT_CATEGORICAL_COUNT
M1RV0010,M1F03,Panel A,QPP mismatch,51,M1S030,workflows/phase3a/evidence/tables/f3a5_reference_baseline_audit.csv,count where observational_reference_role=PUBLISHED_QPP_REFERENCE; baseline_gate_state=REFERENCE_BASELINE_MISMATCH,51,direct categorical count,DIRECT_CATEGORICAL_COUNT
M1RV0011,M1F03,Panel A,QPP inadmissible,2,M1S030,workflows/phase3a/evidence/tables/f3a5_reference_baseline_audit.csv,count where observational_reference_role=PUBLISHED_QPP_REFERENCE; baseline_gate_state=INPUT_INADMISSIBLE,2,direct categorical count,DIRECT_CATEGORICAL_COUNT
M1RV0012,M1F03,Panel A,not-selected concordant,57,M1S030,workflows/phase3a/evidence/tables/f3a5_reference_baseline_audit.csv,count where observational_reference_role=PUBLISHED_NOT_SELECTED_REFERENCE; baseline_gate_state=REFERENCE_CONCORDANT,57,direct categorical count,DIRECT_CATEGORICAL_COUNT
M1RV0013,M1F03,Panel A,not-selected mismatch,0,M1S030,workflows/phase3a/evidence/tables/f3a5_reference_baseline_audit.csv,count where observational_reference_role=PUBLISHED_NOT_SELECTED_REFERENCE; baseline_gate_state=REFERENCE_BASELINE_MISMATCH,0,direct categorical count,DIRECT_CATEGORICAL_COUNT
M1RV0014,M1F03,Panel A,not-selected inadmissible,4,M1S030,workflows/phase3a/evidence/tables/f3a5_reference_baseline_audit.csv,count where observational_reference_role=PUBLISHED_NOT_SELECTED_REFERENCE; baseline_gate_state=INPUT_INADMISSIBLE,4,direct categorical count,DIRECT_CATEGORICAL_COUNT
M1RV0015,M1F03,Panel B,selected retained,295,M1S031,workflows/phase3a/evidence/tables/f3a5_primary_outcome_matrix.csv,PUBLISHED_QPP_REFERENCE + REFERENCE_CONCORDANT + transition_eligible + SELECTED_RETAINED,295,direct categorical count,DIRECT_CATEGORICAL_COUNT
M1RV0016,M1F03,Panel B,selection lost,171,M1S031,workflows/phase3a/evidence/tables/f3a5_primary_outcome_matrix.csv,PUBLISHED_QPP_REFERENCE + REFERENCE_CONCORDANT + transition_eligible + SELECTION_LOST,171,direct categorical count,DIRECT_CATEGORICAL_COUNT
M1RV0017,M1F03,Panel B,not-selected retained,3178,M1S031,workflows/phase3a/evidence/tables/f3a5_primary_outcome_matrix.csv,PUBLISHED_NOT_SELECTED_REFERENCE + REFERENCE_CONCORDANT + transition_eligible + NOT_SELECTED_RETAINED,3178,direct categorical count,DIRECT_CATEGORICAL_COUNT
