matrix_cell_id,window_variant_id,processing_profile_id,primary_or_secondary,f2_definition_inherited,scientific_rationale,changes_from_f2,delta_start_cadences,delta_end_cadences,window_perturbation_family,window_description,flux_product,quality_policy,detrending,external_optimizer_seed
F3AC001,W00,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,0,baseline,baseline,PDCSAP,finite_all,none,0
F3AC002,W00,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,0,baseline,baseline,SAP,finite_all,none,0
F3AC003,W00,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,0,baseline,baseline,PDCSAP,q0_native,none,0
F3AC004,W00,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,0,baseline,baseline,SAP,q0_native,none,0
F3AC005,W00,P04,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,0,baseline,baseline,PDCSAP,finite_all,linear_residual_plus_one,0
F3AC006,W00,P05,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,0,0,baseline,baseline,SAP,finite_all,linear_residual_plus_one,0
F3AC007,WSm2,P00,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,0,start_extension,start two cadences earlier,PDCSAP,finite_all,none,0
F3AC008,WSm2,P01,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,0,start_extension,start two cadences earlier,SAP,finite_all,none,0
F3AC009,WSm2,P02,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,0,start_extension,start two cadences earlier,PDCSAP,q0_native,none,0
F3AC010,WSm2,P03,PRIMARY,TRUE,Deliberate exact reuse of the frozen F2 perturbation family to test whether the previously observed observational-robustness pattern persists at catalogue scale; reuse is declared prospectively rather than inherited silently.,NONE,-2,0,start_extension,start two cadences earlier,SAP,q0_native,none,0
