paragraph_id,section_id,claim_ids,source_ids,evidence_planes,text_sha256,qualification_present,status
M1P0001,ABSTRACT,M1C001;M1C004;M1C005;M1C006;M1C012;M1C014;M1C015;M1C018;M1C019;M1C023;M1C024,M1S002;M1S025;M1S038;M1S042;M1S043;M1S047,M1EP01;M1EP03;M1EP04;M1EP05,fc342bce1eb71ec3f78ed5b73b4d50e32fb00630c865b9b05dd17db305da191d,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0002,1,M1C028,M1S026;M1S029,M1EP06,b917d29cb6aa835f6be225b4b3ea6db5e095c793850f81a790d554093fd2514c,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0003,1,M1C028,M1S026;M1S029,M1EP06,185dc2453c1291320c81d57a9dce79fca432d7a17801c4fdc73debb0f01acf10,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0004,1,M1C028,M1S026;M1S027;M1S029,M1EP06,8dc833836e7a9b77b97ca03fe0f819d41a4319d20a73c814051a47966a912393,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0005,1,M1C028,M1S026;M1S029,M1EP06,ea889e20f7758a587ccd20474540f14acd8331062d31b0b0cd962d9ec57782e7,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0006,1,M1C028,M1S029,M1EP06,dd9274c116c0462c8d9af6f6d42a6ba237e7c86b009e7c003d66cab8492cd187,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0007,2,M1C029,M1S002;M1S015;M1S025;M1S038;M1S048,M1EP01;M1EP02;M1EP03;M1EP04;M1EP05,7b4dc545a764bba1e228f718312fb181e3ce7edccd0439861a2b77271fb17ca2,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1CAPF01,2,M1C029,M1S002;M1S015;M1S025;M1S029;M1S038;M1S048,M1EP01;M1EP02;M1EP03;M1EP04;M1EP05;M1EP06,42f0fba355204cad638c481a2e5e06a760857e351fa35c1864769185a34b3288,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0008,2,M1C029,M1S048,M1EP05,fd906cdb18095e018df5a8faf0f59b30e62160f22585b5e12ed56a4dbcd4baff,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0009,3.1,M1C001,M1S001;M1S002;M1S003,M1EP01,2a5a0503cefc62218ec32fd1e3ccae6d4d9763958e01ab848912867c9b6afe4d,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0010,3.1,M1C001,M1S001;M1S002,M1EP01,c04092a168ee74b901d99dcf22834af4f913197fe90e41eb415cdc2770cf27ca,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0011,3.1,M1C001,M1S002;M1S003,M1EP01,2568b3e8c2e094485ecdc56e9d42eb4419925ea4c285acdb6cf59f7731668721,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0012,3.2,M1C002;M1C003,M1S004;M1S005;M1S015,M1EP02,eef1daf54021c66a88dab7393e547d7df9cb7b2dd17a2adeef0215a055c51b4e,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0013,3.2,M1C002,M1S008;M1S009;M1S010,M1EP02,d1b6d9c17b2b21698d91ee82bdb7995273d5d487379be56d89e9ddb17ab2fd5b,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0014,3.2,M1C003,M1S006;M1S007;M1S011;M1S012;M1S015,M1EP02,295a7a1fa8a36d17a66748caccaaace607264e209a481fecef148ce1884ad0bf,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0015,3.3,M1C004,M1S016;M1S017;M1S018;M1S025,M1EP03,da461ccaed76bbf4eec5d90d974a75cefd3f07f7ef4a26bc7fcd88f620b6dffe,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0016,3.3,M1C004,M1S017;M1S018,M1EP03,02bcc6714aec57456bd4b58628e824ab5adf2d1c46be4871ab879469677fe86c,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0017,3.4,M1C005;M1C006,M1S030;M1S031;M1S032;M1S038,M1EP04,a707cee0bda5841314e2b35e27756989a67c854f6b9db73b97007af984fcc8f6,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0018,3.4,M1C008;M1C009,M1S031;M1S032;M1S035;M1S038,M1EP04,2a3f2851010d6bc83ac0ead5ba7f5b78eb9abaa06ee1902da7966a9ab9e6bd71,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0019,3.4,M1C011,M1S033;M1S036;M1S038,M1EP04,01e633731c2a87e9f87fa791343a94ac4809d88beddabeee171512a43d19ef94,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0020,3.5,M1C012;M1C018,M1S039;M1S041;M1S047,M1EP05,bb9d6e667594b20945011c6a93151da16079a3891590400cd67030241041dc0f,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0021,3.5,M1C017;M1C018,M1S040;M1S041,M1EP05,09a373b0d4e16a9d554fbeacfd0c14b474da5ace68239acb3d6d6b72227a976e,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0022,3.5,M1C012;M1C018,M1S042;M1S047,M1EP05,87addb0f24f309b0c9643f5760743c60adf6ed4eb46ad12fd417bdcde291de4f,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0023,4.1,M1C001,M1S001;M1S002,M1EP01,b6c522f7072b32bd70f517218f126358c95ec86c5d811fa0e27370e55f43ea39,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0024,4.1,M1C002,M1S004;M1S005;M1S008;M1S010,M1EP02,084bb2de6e420b5295cd6567aac7db27c7f29c86c59dd47eba09cbb250e8e7ff,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0025,4.1,M1C002,M1S010,M1EP02,a6ea6ecd1f4270dc8be448452ce1ef72174983e7b047aebd0e009bde2e31cde8,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0026,4.2,M1C004,M1S016;M1S018;M1S025,M1EP03,dde0d28d193f2efaf64f20949d13b5d9b93e7a96925bb7ec1ff3e94d030f9450,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0027,4.2,M1C004,M1S018;M1S025,M1EP03,3250282f1558a6e47b603af7b936714d0aab013d2b03b117b6895602e52caf00,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1CAPF02,4.2,M1C004;M1C005;M1C006;M1C008,M1S016;M1S031;M1S038,M1EP03;M1EP04,05a4d0ad626f20d4cd17d03dad5ae26137c6183e5755fcb27a706ff15f2bcfca,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0028,4.3,M1C005;M1C006,M1S030;M1S038,M1EP04,6aad98d24a7a331a217cd8580b70ba51004a243ee9de75604d3c8b558154f60d,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0029,4.3,M1C006,M1S030;M1S037;M1S038,M1EP04,46bf819150b507118ae8730351ea824f2ad0bcf25cc375c56650f0a19a467f88,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0030,4.3,M1C008;M1C009,M1S031;M1S038,M1EP04,4f2d63563688000bf195aa7e8d2938ef996f3132eba717c1f9852974e20b20fd,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1CAPF03,4.3,M1C006;M1C008;M1C009,M1S030;M1S031,M1EP04,e553da023e90960ac522be7773ce874a56503ba5f0f82c08481cc7543a6cd4be,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0031,4.4,M1C003,M1S005;M1S006;M1S007;M1S011;M1S012;M1S015,M1EP02,f07757f9231b6bc867200fda0f2b88a9d2c0d5b5a52ef7c1558c7238b6a6fe05,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0032,4.4,M1C011,M1S033;M1S036;M1S038,M1EP04,8681b457e744b8b29fc81466f9d6791c65d54292781e78fec77528e06a91e244,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0033,4.4,M1C011,M1S034;M1S038,M1EP04,e1b75281f115ef3cda7b38dc16762b23b7cc01ac1bd25a8c260a4e34033a7347,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0034,4.5,M1C012;M1C013,M1S039,M1EP05,38f75959a125c4328214b93995cc002218c3c05975f97db0d607293671653464,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0035,4.5,M1C017;M1C018,M1S040;M1S041,M1EP05,e7f14aa273576249c1efc52f09d66e635ab2a691672d1f93ac05b4d21d08869e,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0036,4.6,M1C012;M1C014;M1C015,M1S042,M1EP05,4c6afca6133ce9567e2f7a342b453e5c3d3ab4dc300821cde36d7181bd343702,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0037,4.6,M1C013;M1C016,M1S039;M1S042,M1EP05,2c730a2b218405f15bfe061e4bb6d979f8e35b5bacde11f300eabe881f4f6e2e,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0038,4.7,M1C019,M1S043;M1S047,M1EP05,a408656af9472df6b93ad41ed52a616b66908d986240192f4be87cbbf45343e0,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1CAPF04,4.7,M1C019;M1C020,M1S043,M1EP05,2c4a7e985f5cf6bdddb571cb031c9dfec8f3b18d341190f1fd767be05686abd5,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0039,4.7,M1C021,M1S042;M1S044,M1EP05,8d89ab069e6eda9b27bf948902530f2fd19fa330189bb1343b7560d1a58c241c,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1CAPF05,4.7,M1C021;M1C022,M1S044;M1S042,M1EP05,eef1b586a2c7b25339fe2c6b51c8ee6ffd324a867a126bb73aef0382535e986f,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0040,5.1,M1C004;M1C005;M1C008,M1S025;M1S038,M1EP03;M1EP04,83f0b47a67d2c8c4cb57ed356264f2ed5396a0d71b60d414e0ddc5c423528956,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0041,5.1,M1C011;M1C013,M1S038;M1S042,M1EP04;M1EP05,b46ef277f3e26ad638a70ac19b90bc5ebae348ee2b0188a500de8edb92391411,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0042,5.2,M1C015;M1C016,M1S042;M1S045,M1EP05,3a884b979cba58ac83d9f31a52990182967baf6842cba4eb01c239eaa78c125f,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0043,5.2,M1C021;M1C022,M1S042;M1S044;M1S045,M1EP05,eb5983edf540ea1038e8fe0154c4915b0faf83b8ac429fa802efb6914e70375e,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0044,5.3,M1C007;M1C010,M1S035;M1S037;M1S038,M1EP04,b639a24423f13d218501e40adbcfc6605d71806d679863e380ad0ac556eb4522,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0045,5.3,M1C010;M1C024;M1C029,M1S023;M1S037;M1S047,M1EP03;M1EP04;M1EP05,884876489984bee4ce274945972832c89c8f08678359c35ead6c332d3d152706,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0046,5.4,M1C020;M1C023,M1S043;M1S045;M1S047;M1S048,M1EP05,87f143fa8c2b2c1aa26fb9d501e6cab3ae4d443330b734874e9aa7215d3c9fae,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0047,5.4,M1C023,M1S047;M1S048,M1EP05,02e45414b19095066e6db3073746e59ea548c89fa7af6f2094c27402857dde17,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0048,5.5,M1C025,M1S047;M1S048,M1EP05,06aec522088847a25b837aac5a44f877cf082295fe9bd5acb6c0f088fde32436,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0049,5.5,M1C025,M1S047;M1S048,M1EP05,372c476e28f2ab8e38826548ad298498b5f17eb482cc2412a37382afd1d45d30,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0050,6,M1C001;M1C004;M1C005,M1S002;M1S025;M1S038,M1EP01;M1EP03;M1EP04,1dd734fa7006c3dd22cf8bca5a06085d08d026f85c3e1aebc18403396083cf45,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0051,6,M1C012;M1C017;M1C018;M1C023;M1C024,M1S047,M1EP05,9e9be432feee1d089afbf06c521e8d8156155fb1fd93bdb68a9cc704d353123f,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0052,6,M1C024;M1C023,M1S047,M1EP05,d09e27170ceca8c18e0c4320c7f5413b158a6d76d2c031e7a63bbd465e6cf781,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0053,1,M1C028,M1S026;M1S029,M1EP06,636e5f332ee742ed0c99d44479fff0fa3c4e722494f27ee9e038f6717cbfa683,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0054,2,M1C029,M1S002;M1S015;M1S025;M1S038;M1S048,M1EP01;M1EP02;M1EP03;M1EP04;M1EP05,d3f604cf613032bc6aafa5381d59625a5f92774c4b2e11ebf2830e297d3e34ac,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0055,3.1,M1C001,M1S001;M1S002;M1S003,M1EP01,ccbad67dae0beb2dfa87a7938635239ed533d2bf66d01efd3dfa3c8555ab4de5,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0056,3.2,M1C002;M1C003,M1S005;M1S010;M1S015,M1EP02,139a835a7d98c311642bde3101d4b0f36a776e923e8ef9468fcf261b7827bcec,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0057,3.3,M1C004,M1S017;M1S018;M1S025,M1EP03,c9b38c9b97d87816ac65191a940742ee3305a998cddfc678a1be29a7c7bc2385,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0058,3.4,M1C005;M1C006;M1C008,M1S030;M1S031;M1S038,M1EP04,ea3cf0fdeee56affeaad229af7f5856b30752624879d7753c99be97fc63f14e0,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0059,3.5,M1C012;M1C017;M1C018,M1S039;M1S040;M1S041;M1S047,M1EP05,cdd6dc6ab7352d89203335c1d292fd4de9c0433ec889b03532d34e06528ca6ec,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0060,4.1,M1C002,M1S005;M1S010,M1EP02,a25be817d63668ad0b7af5927b30d764b9ee99bb56bf77e4cb3212b4d4a2328a,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0061,4.2,M1C004,M1S018;M1S025,M1EP03,9e14c298a9cd48806455c6938295286f412376b4e6a28c8fc90728f03884d088,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0062,4.3,M1C005;M1C006;M1C008;M1C009,M1S030;M1S031;M1S038,M1EP04,4027321c133d23cbcd92795714857b552e6a81b79dea26fcdb2f9573e87e628e,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0063,4.4,M1C003;M1C011,M1S015;M1S038,M1EP02;M1EP04,d28510fefc36a50a30a942b93d7c80777880b1ed79c5bd63f5771f5c457a072e,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0064,4.5,M1C017;M1C018,M1S040;M1S041,M1EP05,e79282c4c1dcf241ee70473e0e5ce4d8abbc2bcea7d7a6e62afb4bbf710d9186,true,TRACEABLE_FROZEN_CLAIMS_ONLY
M1P0065,4.6,M1C014;M1C015;M1C016,M1S042,M1EP05,8c4b74cd27269dac6c7b61b4b19b849963f39f09a6766c1c96cf76eb42fcd0a7,true,TRACEABLE_FROZEN_CLAIMS_ONLY
