claim_id,m1_6_author_review_represented,m1_8_neutral_represented,difference_class,mandatory_qualification_preserved,scientific_content_changed,new_claim,prohibited_claim,status
M1C001,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C002,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C003,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C004,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C005,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C006,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C007,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C008,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C009,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C010,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C011,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C012,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C013,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C014,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C015,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C016,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C017,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C018,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C019,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C020,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C021,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C022,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C023,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C024,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C025,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C028,true,true,FORMAT_ONLY,true,false,false,false,PASS
M1C029,true,true,FORMAT_ONLY,true,false,false,false,PASS
