numeric_id,paragraph_or_caption_id,displayed_value,scientific_meaning,claim_id,source_id,source_artifact,source_locator,frozen_source_value,transformation,status,revision_version,revision_status
M1N0001,M1P0001,5,published TESS detections reproduced in F0,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section D: reproduced detections,five,WORD_TO_DIGIT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0002,M1P0001,10,F2 pilot event count,M1C004,M1S025,foundation/f0-f2/phase2/fase2_tarea06_phase2_synthesis_report.md,section 2: ten observations,10,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0003,M1P0001,51,F3A QPP-reference baseline mismatches,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3: 51 baseline mismatches,51,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0004,M1P0001,61,F3A published-QPP reference denominator,M1C006,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3: 61 QPP references,61,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0005,M1P0001,0.5,AFINO version,M1C018,M1S047,workflows/phase3b/closure/f3b8_phase3b_decision.json,final rule type AFINO 0.5 baseline,0.5,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0006,M1P0001,152,HELDOUT selected synthetic positives,M1C014,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,confusion_matrix.TP,152,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0007,M1P0001,1800,HELDOUT positive denominator,M1C014,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,sensitivity_TPR.denominator,1800,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0008,M1P0001,1800,HELDOUT synthetic null denominator,M1C015,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,false_positive_rate_FPR.denominator,1800,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0009,M1P0001,156,HELDOUT selection-function strata,M1C019,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,row count,156,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0010,M1P0009,0.5,AFINO package version,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section C baseline table,0.5,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0011,M1P0009,3,number of AFINO spectral models,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section C model list,3,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0012,M1P0010,10,delta-BIC threshold against M0,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section C selection rule,10,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0013,M1P0010,10,delta-BIC threshold against M2,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section C selection rule,10,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0014,M1P0010,40,lower candidate-period bound in seconds,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section C M1 center,40,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0015,M1P0010,300,upper candidate-period bound in seconds,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section C M1 center,300,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0016,M1P0011,5,published QPP detections in F0 reproduction cohort,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section D,5,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0017,M1P0011,5,paired not-selected events in F0 reproduction cohort,M1C001,M1S002,foundation/f0-f2/phase0/fase0_tarea15_phase0_synthesis.md,section D,5,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0018,M1P0012,20,synthetic cadence in seconds,M1C002,M1S005,foundation/f0-f2/phase1/fase1_tarea06_core_benchmark_analysis.md,section 7 domain statement,20,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
