phase3a_event_id,pair_id,source_work_id,source_row_number,source_event_identifier,canonical_source_event_key,tic_id,sector,source_start_time,source_peak_time,source_end_time,observational_reference_role,matching_level,matched_partner_event_id,membership_status,membership_reason
F3AE000001,F3AP0001,BAIIW0001,99,SRC_f4911822644eaf09e37189044a4bdf778ae50376a2adbb07e5854a9780df0efa,BAIIW0001|TIC11333775|S79|SRC_f4911822644eaf09e37189044a4bdf778ae50376a2adbb07e5854a9780df0efa,11333775,79,3455.940321,3455.940553,3455.947034,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000002,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000002,F3AP0001,BAIIW0001,100,SRC_15fb119f0330412aac180a232e19c1b7036a8f63783db6825fe307054eda8248,BAIIW0001|TIC11333775|S79|SRC_15fb119f0330412aac180a232e19c1b7036a8f63783db6825fe307054eda8248,11333775,79,3460.969779,3460.970474,3460.976029,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000001,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000003,F3AP0002,BAIIW0001,890,SRC_5ff66c0c02c1f220eb0a4f3626c1159c97fbccb3f1247efa67349de5fdb513aa,BAIIW0001|TIC125421413|S37|SRC_5ff66c0c02c1f220eb0a4f3626c1159c97fbccb3f1247efa67349de5fdb513aa,125421413,37,2324.306239,2324.307164,2324.313183,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000004,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000004,F3AP0002,BAIIW0001,889,SRC_8243d0c691d44a3fb4c98cafbce5cfffb6c11a8a2eccd7724c6d9d9462bee53a,BAIIW0001|TIC125421413|S37|SRC_8243d0c691d44a3fb4c98cafbce5cfffb6c11a8a2eccd7724c6d9d9462bee53a,125421413,37,2312.821992,2312.822918,2312.825696,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000003,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000005,F3AP0003,BAIIW0001,1026,SRC_034cfdcdc4be9164408ec5eec2fb4b80a8e3a605a851e9983510cd653f64c537,BAIIW0001|TIC141807839|S61|SRC_034cfdcdc4be9164408ec5eec2fb4b80a8e3a605a851e9983510cd653f64c537,141807839,61,2965.854876,2965.855339,2965.858117,PUBLISHED_QPP_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000006,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000006,F3AP0003,BAIIW0001,1017,SRC_6e4b2ab1be3b831c6850db5518ed88e752208b5772a9f02f037728ce50a81b39,BAIIW0001|TIC141807839|S35|SRC_6e4b2ab1be3b831c6850db5518ed88e752208b5772a9f02f037728ce50a81b39,141807839,35,2261.476693,2261.477387,2261.479934,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000005,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000007,F3AP0004,BAIIW0001,1167,SRC_592ccae7b81e4707d3224ddd6f75ca01e7000c022ef117dd81bdfcbd31704a38,BAIIW0001|TIC149913598|S39|SRC_592ccae7b81e4707d3224ddd6f75ca01e7000c022ef117dd81bdfcbd31704a38,149913598,39,2387.361126,2387.36182,2387.364598,PUBLISHED_QPP_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000008,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000008,F3AP0004,BAIIW0001,1163,SRC_61294e71be3197e5ef50b2d47e7aad44a8455e94c5ea1d9d02e0d99425a31354,BAIIW0001|TIC149913598|S33|SRC_61294e71be3197e5ef50b2d47e7aad44a8455e94c5ea1d9d02e0d99425a31354,149913598,33,2212.557949,2212.558875,2212.561652,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000007,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000009,F3AP0005,BAIIW0001,1258,SRC_840950aa61805b35eab0fe245a14c831bdfffdb256d564525275d621434601ee,BAIIW0001|TIC153977353|S41|SRC_840950aa61805b35eab0fe245a14c831bdfffdb256d564525275d621434601ee,153977353,41,2442.896749,2442.897675,2442.902536,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000010,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000010,F3AP0005,BAIIW0001,1256,SRC_a59fcc06d691e4e1e3a2401d9ffd3e0493ef5f9408a39d20cb3d1ae3e47a7b82,BAIIW0001|TIC153977353|S41|SRC_a59fcc06d691e4e1e3a2401d9ffd3e0493ef5f9408a39d20cb3d1ae3e47a7b82,153977353,41,2427.798659,2427.799585,2427.803751,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000009,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
