job_id,job_order,planned_decision_id,decision_class,phase3a_event_id,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,payload_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,seed_application_contract,selection_rule,execution_status
F3AJ0000001,1,F3ADP000001,PRIMARY,F3AE000001,F3AV000001,F3AC001,W00,P00,0,M0,pow_const,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000002,2,F3ADP000001,PRIMARY,F3AE000001,F3AV000001,F3AC001,W00,P00,0,M1,pow_const_gauss,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000003,3,F3ADP000001,PRIMARY,F3AE000001,F3AV000001,F3AC001,W00,P00,0,M2,bpow_const,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000004,4,F3ADP000002,PRIMARY,F3AE000001,F3AV000002,F3AC002,W00,P01,0,M0,pow_const,F3APAY000002,caf37d4cab524b5055da24da53a0c69f7dfeaf675744d19fe711570f1d0cf02b,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000005,5,F3ADP000002,PRIMARY,F3AE000001,F3AV000002,F3AC002,W00,P01,0,M1,pow_const_gauss,F3APAY000002,caf37d4cab524b5055da24da53a0c69f7dfeaf675744d19fe711570f1d0cf02b,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000006,6,F3ADP000002,PRIMARY,F3AE000001,F3AV000002,F3AC002,W00,P01,0,M2,bpow_const,F3APAY000002,caf37d4cab524b5055da24da53a0c69f7dfeaf675744d19fe711570f1d0cf02b,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000007,7,F3ADP000005,PRIMARY,F3AE000001,F3AV000005,F3AC005,W00,P04,0,M0,pow_const,F3APAY000003,c79a81717399f09d694afa5b5bcebe7ef81d2fd415303a75a910f912b1b4a0f1,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000008,8,F3ADP000005,PRIMARY,F3AE000001,F3AV000005,F3AC005,W00,P04,0,M1,pow_const_gauss,F3APAY000003,c79a81717399f09d694afa5b5bcebe7ef81d2fd415303a75a910f912b1b4a0f1,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000009,9,F3ADP000005,PRIMARY,F3AE000001,F3AV000005,F3AC005,W00,P04,0,M2,bpow_const,F3APAY000003,c79a81717399f09d694afa5b5bcebe7ef81d2fd415303a75a910f912b1b4a0f1,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000010,10,F3ADP000006,PRIMARY,F3AE000001,F3AV000006,F3AC006,W00,P05,0,M0,pow_const,F3APAY000004,2ac3c15dd08923df73fc3d65ec40da55f0feec2aca004ab11e3920fb1b66e43d,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
