pair_id,reference_event_id,comparison_event_id,matching_level,reference_log_duration,comparison_log_duration,absolute_log_duration_difference,candidate_count_at_chosen_level,tie_count,control_reused,matching_status
F3AP0001,SRC_f4911822644eaf09e37189044a4bdf778ae50376a2adbb07e5854a9780df0efa,SRC_15fb119f0330412aac180a232e19c1b7036a8f63783db6825fe307054eda8248,SAME_TIC_SAME_SECTOR,-5.0037093340255225,-5.0751738152338266,0.071464481208304065,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0002,SRC_5ff66c0c02c1f220eb0a4f3626c1159c97fbccb3f1247efa67349de5fdb513aa,SRC_8243d0c691d44a3fb4c98cafbce5cfffb6c11a8a2eccd7724c6d9d9462bee53a,SAME_TIC_SAME_SECTOR,-4.9698773016240878,-5.5983419621982042,0.62846466057411643,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0003,SRC_034cfdcdc4be9164408ec5eec2fb4b80a8e3a605a851e9983510cd653f64c537,SRC_6e4b2ab1be3b831c6850db5518ed88e752208b5772a9f02f037728ce50a81b39,SAME_TIC_ANY_SECTOR,-5.731873354822727,-5.731873354822727,0,43,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0004,SRC_592ccae7b81e4707d3224ddd6f75ca01e7000c022ef117dd81bdfcbd31704a38,SRC_61294e71be3197e5ef50b2d47e7aad44a8455e94c5ea1d9d02e0d99425a31354,SAME_TIC_ANY_SECTOR,-5.6630244821840332,-5.5986119770506617,0.064412505133371489,5,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0005,SRC_840950aa61805b35eab0fe245a14c831bdfffdb256d564525275d621434601ee,SRC_a59fcc06d691e4e1e3a2401d9ffd3e0493ef5f9408a39d20cb3d1ae3e47a7b82,SAME_TIC_SAME_SECTOR,-5.1521412563904354,-5.2800845982869768,0.12794334189654144,3,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0006,SRC_9878aa19a35a47e4515407e0e60cd11af42096bbdfea928015c0ef67778d339e,SRC_0d4d8dfc83e3b5e49b884a9abdb4196e332bf5b3e9500579dfce492321983307,SAME_TIC_ANY_SECTOR,-5.3265111009188191,-4.9697333027758299,0.35677779814298916,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0007,SRC_fec3c65239110661248c8ab85a56611d58f02d0405ac6af3a96a729d8a2a2c93,SRC_f965c46d455ce73164561f0287ce10c05fa631b07e16161a8f385ee793bbaaa2,SAME_TIC_SAME_SECTOR,-4.6574112978337823,-4.9370131542256424,0.27960185639186008,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0008,SRC_5e0f9e2425531e6159d7bd0540d0c18e0a80059678152d86a95fd7a455624046,SRC_1ab26399f190bbb90830eee744a678e42cd7301ebbcd42fd28d78c9c226bb737,SAME_TIC_SAME_SECTOR,-5.3751984108839945,-5.731873354822727,0.35667494393873245,3,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0009,SRC_954da02dec9434f5cb610c930b66a663e7949a90c8ac87dc82db98a2bb9d43bb,SRC_0778cb41bc42cdfe0a9760ff271ec599443ac94576613cd687e9a872a4de41a0,SAME_SECTOR,-5.7321819491778987,-5.7321819491778987,0,180,2,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0010,SRC_3243537fd3f0eac20a39f1cda4bab16fcedd9425f0aa272ce6cdabb497425b62,SRC_699be5a7265ee4f45304df5d4f4f5cd3ec4cf019b6ee9344226255c1b297e175,SAME_TIC_SAME_SECTOR,-4.8446972165528255,-4.9697333027758299,0.12503608622300444,2,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0011,SRC_926c13347f16dad5a74f4036bcf883b7507bfc4751731aa75eb17cd41e0d2151,SRC_2987dd7b811c96099b01a81bc13ff3a5263e4e21cf340ecacbed2f49432b40b5,SAME_TIC_ANY_SECTOR,-3.3537509770762233,-3.1948663724078488,0.15888460466837451,3,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0012,SRC_a42fccb9e0627ab1fada448ae7a7707f4f2da7c9570d5a978b758a0b3d65c584,SRC_8c8a30df0c7819f5db0ef3279e722f632108d276172d448b2e1523b80b89d8a7,SAME_TIC_ANY_SECTOR,-3.9283556600490437,-4.6098812657182107,0.68152560566916698,2,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0013,SRC_bea3a759c10053b5051a3c9cc560950fcd646ebd106cdcbad5eca8226748cb3c,SRC_045e8f8d0a22c7306186df1b71410aa811f951b24e9b345b4b7fd73a5cc691c6,SAME_TIC_SAME_SECTOR,-5.4805589265418204,-5.6630244821840332,0.18246555564221278,2,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0014,SRC_bddb856d2e12e3ccc1d33a59325166a98a814aa9bd7fdcf1b896af46327e1d17,SRC_2096eef46db4730ce766450a761371d7a16ecc9c7522350321beb405a5bc80dd,SAME_TIC_SAME_SECTOR,-4.9370131542256424,-4.8446972165528255,0.092315937672816872,3,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0015,SRC_7c67f7d5d854bb5868a21473e436b07534622864e9cf07a5c15da1835057c407,SRC_fce00f324d8381a044bbe3e90fe0a1c78862490bb33bada8146cc8991d4d1cdd,SAME_TIC_SAME_SECTOR,-4.0669823454662897,-3.518967917396663,0.54801442806962664,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0016,SRC_eb0b88f4c884fb9625488480428ebb36288c74334047998f494b559d73a4f9af,SRC_3d026782ee3b8ce85fd1b6867ff9158dd0a13f6f9d0a51e828dc0c2007fe142f,SAME_TIC_SAME_SECTOR,-4.9698773016240878,-5.1930568558905437,0.22317955426645586,2,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0017,SRC_3a764967f8168620969c9d985143a8dc71968721d4472e5c69b67a01af3d4b97,SRC_39a0f5152e38b0ef397c973ba093e9a39b8daac0788254f95afea6fe944a6ca3,SAME_TIC_SAME_SECTOR,-5.6627365052201997,-5.2355303784492717,0.42720612677092795,3,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0018,SRC_70d4809d665f73faa58728e13d4a51e29fd5bc0816828d7a3f5d0a4ba5d276e2,SRC_e848e46a94d9a45c0c61a84f2a995b78dd3611507ada5fd6309b0877d0873d6d,SAME_TIC_SAME_SECTOR,-4.9051947816382588,-5.5986119770506617,0.69341719541240288,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0019,SRC_f76eb611af88c9b51af973a84440ba53003a88cd88ca62771f72d6a79d91b509,SRC_20576ea29a30324e02be0de530c7e6c4540779747b8c6e6bf1266001de7aa3ac,SAME_TIC_SAME_SECTOR,-5.1130003007742832,-4.8744885744229141,0.23851172635136919,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0020,SRC_8f6f940d2de382bd21db35dc2f10eb75d732ce50e87403016a9383c1f23a0ece,SRC_07c98671d049eebc4d7a402c07fcdafb0e29928368e8fe28027d3d79665ec499,SAME_SECTOR,-4.759954399788958,-4.8445701598218243,0.084615760032866305,29,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0021,SRC_daf0da136e7743912aa20687f573720c915c236293bbc2e148bb71c4bfc6dbbd,SRC_f3aa5ba438a41e5be6a7a26e0b561a1f0eb87d11a7d74c282b2e84f92f1fb978,SAME_TIC_SAME_SECTOR,-5.4266053868495678,-6.0687776502106523,0.64217226336108446,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0022,SRC_81040ec9a19cb8f74a284aa41a2aa3294b86928c8711715031ed87aeb5576110,SRC_14d37bf8cf44f8dd5f77f188fe0dbca34c17b4cb73327ef98c9c25cbebfc36e3,SAME_SECTOR,-5.5378443971127709,-5.5378443971127709,0,98,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0023,SRC_90078c0ff846c4f4fa6201efad8343a3facb1d411e879f438e55c37af1c89295,SRC_dd891f24e9226941dcc0aca83259d347f12e2e4a0657fe376d5a5eb9369d90f4,SAME_TIC_SAME_SECTOR,-4.8446972165528255,-4.8744885744229141,0.029791357870088575,3,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0024,SRC_8cfea57ecf9c2016427a2c9b99efcc5d555016a13cc5ddfe27ace7b4f86aef63,SRC_f92a4526658326aaeb37d0d454eee2853671dbde638c03cb3fc76d3d22b9000e,SAME_TIC_SAME_SECTOR,-4.2601630469170413,-4.1813413938629687,0.078821653054072627,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0025,SRC_379f6655dfeb3ac09cf0e3ff1c0f64369729e1b34e74e6c0b52579bb394bafd1,SRC_af7338b38def1c2e3d5051e1d45669b0f2f77144f06179bb6d67248b86505d28,SAME_TIC_SAME_SECTOR,-4.6574112978337823,-4.760187908254701,0.10277661042091868,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0026,SRC_20fcafd66228fcf9c0220909d59e36f2624818d973df1e5422ff0c6024572556,SRC_4ae778a587fad69912634a29276719eef3c0fae29e191826835a0a833d923bd9,SAME_TIC_ANY_SECTOR,-5.3751984108839945,-5.3751984108839945,0,4,2,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0027,SRC_0bf6cf2680125be5897015e90433a0985d5d903c8909a87098cb19ea9a7e1cf0,SRC_7e8fc006969c9e988a0714de9a27d84b129771fe9617fe02c2cf4c34422c8f19,SAME_TIC_SAME_SECTOR,-5.8061474813342286,-5.9732317788469222,0.1670842975126936,1,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0028,SRC_89ee1bcd86be429bd1f965880511267b059190f400759349cd17ed65f651b774,SRC_2cf1a8669e0cfaef259db6ba63b242c920439bb18c60125512bc735104eafff2,SAME_TIC_ANY_SECTOR,-4.3457332789766125,-5.1130003007742832,0.7672670217976707,4,1,false,MATCHED_WITHOUT_REPLACEMENT
F3AP0029,SRC_8acf8df8c03f1d8b9c4a33222ccb7a1f1edd341477bdf1a44669149d64a93e4e,SRC_47b7557396f0ef79c5f9e28f27353495a2f59f4e325e6fff405cc5bca80dd055,SAME_TIC_ANY_SECTOR,-4.8446972165528255,-5.6630244821840332,0.81832726563120772,1,1,false,MATCHED_WITHOUT_REPLACEMENT
