variant_id,variant_order,primary_planned_decision_id,phase3a_event_id,pair_id,observational_reference_role,matrix_cell_id,window_variant_id,processing_profile_id,flux_product,quality_policy,detrending,external_optimizer_seed,source_fits_filename,source_fits_sha256,baseline_start_index,baseline_peak_index,baseline_end_index,shifted_start_index,shifted_end_index,raw_n_samples,retained_n_samples,removed_nonfinite_count,removed_quality_count,peak_in_raw_window,peak_retained,retained_index_start,retained_index_end,retained_indices_consecutive,retained_indices_sha256,time_strictly_increasing,time_has_duplicates,median_cadence_s,max_interval_deviation_s,detrend_beta0,detrend_beta1,detrend_scale,materialization_status,inadmissibility_reason_code,inadmissibility_reason,diagnostic_flags_json,eligible_payload_order,payload_offset,payload_length,time_sha256,flux_sha256,native_index_sha256,logical_payload_sha256,all_finite,error
F3AV000001,1,F3ADP000001,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC001,W00,P00,PDCSAP,finite_all,none,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14742,14771,30,30,0,0,true,true,14742,14771,true,69ecdaad9ea5c34199d539a5d1899d655494f8bcaddf7efcb94412d10c413a5d,true,false,20.000171422725543,2.0116567611694336e-05,,,,ELIGIBLE_FOR_AFINO,,,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""baseline""}",1,0,30,8f02e4975373e3d1a79a1791cef6da9e0e8b5e5eb540ec4986e69d98fca561f4,7ef3299771114bf21a23efd28e9140946ac49c59d85cb0a73a02ecefe0c54213,69ecdaad9ea5c34199d539a5d1899d655494f8bcaddf7efcb94412d10c413a5d,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,true,
F3AV000002,2,F3ADP000002,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC002,W00,P01,SAP,finite_all,none,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14742,14771,30,30,0,0,true,true,14742,14771,true,69ecdaad9ea5c34199d539a5d1899d655494f8bcaddf7efcb94412d10c413a5d,true,false,20.000171422725543,2.0116567611694336e-05,,,,ELIGIBLE_FOR_AFINO,,,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""baseline""}",2,30,30,8f02e4975373e3d1a79a1791cef6da9e0e8b5e5eb540ec4986e69d98fca561f4,f988f371b2afbaf26e328e58bc4479642b7e39dcaed4326e00a70f4482775639,69ecdaad9ea5c34199d539a5d1899d655494f8bcaddf7efcb94412d10c413a5d,caf37d4cab524b5055da24da53a0c69f7dfeaf675744d19fe711570f1d0cf02b,true,
F3AV000003,3,F3ADP000003,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC003,W00,P02,PDCSAP,q0_native,none,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14742,14771,30,28,0,2,true,true,14742,14771,false,66de88f8729b84721c54f8c7b824c094dc9ce84289da4c6c277257545359e53a,true,false,20.000171422725543,40.00032288604416,,,,INPUT_INADMISSIBLE,IRREGULAR_SAMPLING,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""baseline""}",,,,,,,,,
F3AV000004,4,F3ADP000004,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC004,W00,P03,SAP,q0_native,none,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14742,14771,30,28,0,2,true,true,14742,14771,false,66de88f8729b84721c54f8c7b824c094dc9ce84289da4c6c277257545359e53a,true,false,20.000171422725543,40.00032288604416,,,,INPUT_INADMISSIBLE,IRREGULAR_SAMPLING,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""baseline""}",,,,,,,,,
F3AV000005,5,F3ADP000005,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC005,W00,P04,PDCSAP,finite_all,linear_residual_plus_one,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14742,14771,30,30,0,0,true,true,14742,14771,true,69ecdaad9ea5c34199d539a5d1899d655494f8bcaddf7efcb94412d10c413a5d,true,false,20.000171422725543,2.0116567611694336e-05,901.1988159179685,-0.08877870339527563,906.9124450683594,ELIGIBLE_FOR_AFINO,,,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""baseline""}",3,60,30,8f02e4975373e3d1a79a1791cef6da9e0e8b5e5eb540ec4986e69d98fca561f4,5ae0cda7831d4bc654c5c069b9d1a344298f7ae55f88259ee3bdd349af98c8fb,69ecdaad9ea5c34199d539a5d1899d655494f8bcaddf7efcb94412d10c413a5d,c79a81717399f09d694afa5b5bcebe7ef81d2fd415303a75a910f912b1b4a0f1,true,
F3AV000006,6,F3ADP000006,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC006,W00,P05,SAP,finite_all,linear_residual_plus_one,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14742,14771,30,30,0,0,true,true,14742,14771,true,69ecdaad9ea5c34199d539a5d1899d655494f8bcaddf7efcb94412d10c413a5d,true,false,20.000171422725543,2.0116567611694336e-05,1015.7131469726563,-0.06127516880316235,1019.158447265625,ELIGIBLE_FOR_AFINO,,,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""baseline""}",4,90,30,8f02e4975373e3d1a79a1791cef6da9e0e8b5e5eb540ec4986e69d98fca561f4,16e28aeb0be2f2aacc91bd48ff560b2126ca4c69c084b88c8c686d849f6457f1,69ecdaad9ea5c34199d539a5d1899d655494f8bcaddf7efcb94412d10c413a5d,2ac3c15dd08923df73fc3d65ec40da55f0feec2aca004ab11e3920fb1b66e43d,true,
F3AV000007,7,F3ADP000007,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC007,WSm2,P00,PDCSAP,finite_all,none,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14740,14771,32,32,0,0,true,true,14740,14771,true,987da96a1079a53a6e9146baeb1c2b17bdfd3da39406d097742a05b21d6047f8,true,false,20.000171422725543,2.0116567611694336e-05,,,,ELIGIBLE_FOR_AFINO,,,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""start_extension""}",5,120,32,628dce8f6942d5613c4c71f78582b78696f8021a94dcf9cf0b85af4fa6df0464,7d32aca1dc270fff02f3b9a60af94feb0536f267e5b76e69bbdd72b21b869aad,987da96a1079a53a6e9146baeb1c2b17bdfd3da39406d097742a05b21d6047f8,0a8116f6a71a95272baddf6de26269a876396900b468ae8742693f9326b7bf5d,true,
F3AV000008,8,F3ADP000008,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC008,WSm2,P01,SAP,finite_all,none,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14740,14771,32,32,0,0,true,true,14740,14771,true,987da96a1079a53a6e9146baeb1c2b17bdfd3da39406d097742a05b21d6047f8,true,false,20.000171422725543,2.0116567611694336e-05,,,,ELIGIBLE_FOR_AFINO,,,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""start_extension""}",6,152,32,628dce8f6942d5613c4c71f78582b78696f8021a94dcf9cf0b85af4fa6df0464,439495e46a5e5f190606b5433b0c19ba3fa05e46ee38765db2ffe6f2edb32791,987da96a1079a53a6e9146baeb1c2b17bdfd3da39406d097742a05b21d6047f8,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,true,
F3AV000009,9,F3ADP000009,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC009,WSm2,P02,PDCSAP,q0_native,none,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14740,14771,32,30,0,2,true,true,14740,14771,false,64833150452cc37e4ab747483b9928ee7bd61e72a2a473a00b6931d4d12ba2f2,true,false,20.000171422725543,40.00032288604416,,,,INPUT_INADMISSIBLE,IRREGULAR_SAMPLING,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""start_extension""}",,,,,,,,,
F3AV000010,10,F3ADP000010,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AC010,WSm2,P03,SAP,q0_native,none,0,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,14742,14743,14771,14740,14771,32,30,0,2,true,true,14740,14771,false,64833150452cc37e4ab747483b9928ee7bd61e72a2a473a00b6931d4d12ba2f2,true,false,20.000171422725543,40.00032288604416,,,,INPUT_INADMISSIBLE,IRREGULAR_SAMPLING,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,"{""changes_from_f2"":""NONE"",""f2_definition_inherited"":""TRUE"",""product_status"":""BOUND_DOWNLOADED"",""time_mapping_status"":""TIME_MAPPING_VALID"",""window_perturbation_family"":""start_extension""}",,,,,,,,,
