planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,resolved_decision_status
F3ADP000001,1,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000001,F3AC001,W00,P00,0,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,30,READY_FOR_AFINO
F3ADP000002,2,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000002,F3AC002,W00,P01,0,F3APAY000002,caf37d4cab524b5055da24da53a0c69f7dfeaf675744d19fe711570f1d0cf02b,30,READY_FOR_AFINO
F3ADP000005,3,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000005,F3AC005,W00,P04,0,F3APAY000003,c79a81717399f09d694afa5b5bcebe7ef81d2fd415303a75a910f912b1b4a0f1,30,READY_FOR_AFINO
F3ADP000006,4,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000006,F3AC006,W00,P05,0,F3APAY000004,2ac3c15dd08923df73fc3d65ec40da55f0feec2aca004ab11e3920fb1b66e43d,30,READY_FOR_AFINO
F3ADP000007,5,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000007,F3AC007,WSm2,P00,0,F3APAY000005,0a8116f6a71a95272baddf6de26269a876396900b468ae8742693f9326b7bf5d,32,READY_FOR_AFINO
F3ADP000008,6,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000008,F3AC008,WSm2,P01,0,F3APAY000006,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,32,READY_FOR_AFINO
F3ADP000011,7,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000011,F3AC011,WSm2,P04,0,F3APAY000007,56f20e676a44004582c97824b4679cd307524e356b91c94eb726e3a2f2999fdf,32,READY_FOR_AFINO
F3ADP000012,8,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000012,F3AC012,WSm2,P05,0,F3APAY000008,c481921afff05b2655a2af60532d194beced0c40dd30f7702a0d45437c6fe321,32,READY_FOR_AFINO
F3ADP000013,9,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000013,F3AC013,WSm1,P00,0,F3APAY000009,2bec4f02977a36bc6400602010352c52b5926c47a47de4aa901ed8545bc78f1e,31,READY_FOR_AFINO
F3ADP000014,10,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000014,F3AC014,WSm1,P01,0,F3APAY000010,4e2ae2b4a319fbc3d52af1e7b36c94aef711430067dd372cae9605143a768493,31,READY_FOR_AFINO
F3ADP000017,11,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000017,F3AC017,WSm1,P04,0,F3APAY000011,8982f8697861aa999435713bbb64b32ddc0bf8a4a82570b8925c258989ba81c9,31,READY_FOR_AFINO
