source_row_number,source_event_identifier,canonical_source_event_key,tic_id,sector,source_start_time,source_peak_time,source_end_time,source_duration,log_duration,source_qpp_selected,source_reference_role,duplicate_status,source_identity_status,sector_assignment_evidence,sector_partition_margin_s
1,SRC_0087fab28346129516da50d3cf044f43cb845845c2c5e6e4ffe680d0d5b8bb47,BAIIW0001|TIC70111|S38|SRC_0087fab28346129516da50d3cf044f43cb845845c2c5e6e4ffe680d0d5b8bb47,70111,38,2344.458486,2344.461958,2344.472606,0.01412,-4.2601630469170413,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,916569.1712
2,SRC_8f486a7fd68bbd36178b23a1f1e8b0116c532ed3e673038b29a19c1dbf4c2890,BAIIW0001|TIC134947|S38|SRC_8f486a7fd68bbd36178b23a1f1e8b0116c532ed3e673038b29a19c1dbf4c2890,134947,38,2350.105485,2350.106642,2350.11104,0.005555,-5.1930568558905437,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,1007729.1312
3,SRC_e64900c939d0e608d382111d44ad5526dbab57077fb4b8911e40984dc11ca2e3,BAIIW0001|TIC593230|S32|SRC_e64900c939d0e608d382111d44ad5526dbab57077fb4b8911e40984dc11ca2e3,593230,32,2194.985629,2194.986323,2194.988638,0.003009,-5.8061474813342286,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,582531.6928
4,SRC_f476e764c4aa8fb67c9655308ef48bf96e0316584863b633fdd20af8f2d45b0d,BAIIW0001|TIC737327|S32|SRC_f476e764c4aa8fb67c9655308ef48bf96e0316584863b633fdd20af8f2d45b0d,737327,32,2175.16338,2175.164074,2175.171713,0.008333,-4.7875317435820675,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,81424.9936
5,SRC_679ce67cfcd77437051c0dc2c7c147acd1f83d1e809963057fbed4994c43f052,BAIIW0001|TIC1273249|S32|SRC_679ce67cfcd77437051c0dc2c7c147acd1f83d1e809963057fbed4994c43f052,1273249,32,2175.951689,2175.952615,2175.955624,0.003935,-5.5378443971127709,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,149554.936
6,SRC_5882e92f8916e804e2e0614be13806989d6a427db5967cea82710a408f72b6bd,BAIIW0001|TIC1273249|S32|SRC_5882e92f8916e804e2e0614be13806989d6a427db5967cea82710a408f72b6bd,1273249,32,2181.257943,2181.258638,2181.264888,0.006945,-4.9697333027758299,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,607995.3232
7,SRC_75aa4169f86f9529d5779c32aa1eb7a3519c111f7fb2206c75a2cd62165ffe06,BAIIW0001|TIC1273249|S32|SRC_75aa4169f86f9529d5779c32aa1eb7a3519c111f7fb2206c75a2cd62165ffe06,1273249,32,2196.517744,2196.517975,2196.521679,0.003935,-5.5378443971127709,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,450196.96
8,SRC_835a22f68b21fe1e8e56063f58a52da0e1845e4069702c27066679d65599613e,BAIIW0001|TIC1273249|S32|SRC_835a22f68b21fe1e8e56063f58a52da0e1845e4069702c27066679d65599613e,1273249,32,2197.632536,2197.63323,2197.639017,0.006481,-5.0388804595365579,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,353838.928
9,SRC_456a0a6274f77972e9d2bd04b728b1e9b54b8d6486ff66a5f227a50cb0abb665,BAIIW0001|TIC2761472|S29|SRC_456a0a6274f77972e9d2bd04b728b1e9b54b8d6486ff66a5f227a50cb0abb665,2761472,29,2094.186718,2094.18695,2094.190191,0.003473,-5.6627365052201997,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,514198.48
10,SRC_24f782195bb026dc8423770130618684440339402ec1247807d336b7cc2c232d,BAIIW0001|TIC2761472|S29|SRC_24f782195bb026dc8423770130618684440339402ec1247807d336b7cc2c232d,2761472,29,2105.826192,2105.826423,2105.828275,0.002083,-6.1739461167033021,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,868750.0528
11,SRC_eae9a4217e8f91ad1002e852f5f085cdccc9b915fc164afa51ec38869d0f5691,BAIIW0001|TIC2761472|S69|SRC_eae9a4217e8f91ad1002e852f5f085cdccc9b915fc164afa51ec38869d0f5691,2761472,69,3202.41921,3202.419442,3202.459256,0.040046,-3.2177264856116792,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,512270.2112
12,SRC_66c8daad91cac4fd86a5c19575b2c092887709303540c5273976b5a067780c94,BAIIW0001|TIC2852467|S43|SRC_66c8daad91cac4fd86a5c19575b2c092887709303540c5273976b5a067780c94,2852467,43,2478.533002,2478.533697,2478.539716,0.006714,-5.0035603804242941,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,377372.4208
13,SRC_8bd649d3bfcc2a3fc002f1a1a6285c246e55e43d051a0af52e78d1de2b670706,BAIIW0001|TIC2852467|S43|SRC_8bd649d3bfcc2a3fc002f1a1a6285c246e55e43d051a0af52e78d1de2b670706,2852467,43,2496.639092,2496.639323,2496.642101,0.003009,-5.8061474813342286,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,306500.4928
14,SRC_0651c9ed6bbf5b38ba566c1adb359d85486474339c8ff460ceabacbb8cb74cc4,BAIIW0001|TIC2852467|S45|SRC_0651c9ed6bbf5b38ba566c1adb359d85486474339c8ff460ceabacbb8cb74cc4,2852467,45,2535.368623,2535.369318,2535.376494,0.007871,-4.8445701598218243,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,852172.0752
15,SRC_41c51d0fb6d8aa62095e42c422f4c4ed7d679fbee82b68b280b337a8fcf0c813,BAIIW0001|TIC3127674|S35|SRC_41c51d0fb6d8aa62095e42c422f4c4ed7d679fbee82b68b280b337a8fcf0c813,3127674,35,2256.834094,2256.834788,2256.836409,0.002315,-6.0683455914439399,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,159777.6832
16,SRC_9bffd4e31db7e545705db6ea1ed63433a496d427abe31a604891bd66e5d3ac41,BAIIW0001|TIC3127674|S36|SRC_9bffd4e31db7e545705db6ea1ed63433a496d427abe31a604891bd66e5d3ac41,3127674,36,2284.323816,2284.324279,2284.326363,0.002547,-5.9728390829848168,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,295670.7056
17,SRC_4a8e3b4e36ffbdc2feef7b0e91e577a16eda6357b5e46fb7b4578de5db1c8749,BAIIW0001|TIC3127674|S36|SRC_4a8e3b4e36ffbdc2feef7b0e91e577a16eda6357b5e46fb7b4578de5db1c8749,3127674,36,2287.3724,2287.372632,2287.373095,0.000695,-7.2715987123994816,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,559048.4048
18,SRC_534f8b0f3470b59c6b6ee8f70e8c8ff27c3eafe98e0bf73f8f7f9519c53b0880,BAIIW0001|TIC3127674|S36|SRC_534f8b0f3470b59c6b6ee8f70e8c8ff27c3eafe98e0bf73f8f7f9519c53b0880,3127674,36,2302.504286,2302.504518,2302.50637,0.002084,-6.1734661550910168,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,408755.6448
19,SRC_999f7e4d7a6047861ff8bd761a05dc2c43f6dcda0d812902a0e7367ac535e030,BAIIW0001|TIC3127674|S62|SRC_999f7e4d7a6047861ff8bd761a05dc2c43f6dcda0d812902a0e7367ac535e030,3127674,62,2989.989364,2989.989595,2990.00441,0.015046,-4.1966431038441074,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,134382.008
20,SRC_476c68e266fc940d44f10bf0562dd168a432500c2f25302e81437489c467e7b6,BAIIW0001|TIC3664898|S45|SRC_476c68e266fc940d44f10bf0562dd168a432500c2f25302e81437489c467e7b6,3664898,45,2536.73042,2536.730883,2536.732735,0.002315,-6.0683455914439399,false,PUBLISHED_NOT_SELECTED_REFERENCE,UNIQUE,DETERMINISTIC_FALLBACK_HASH,CONTACT_INTERVAL_CROSSCHECK,969811.2912
