phase3a_event_id,tic_id,sector,product_status,product_identifier,product_uri_or_archive_key,physical_filename,physical_sha256,size_bytes,fits_checksum_status,fits_datasum_status,time_column_present,sap_flux_present,pdcsap_flux_present,quality_present,n_rows,median_cadence_s,source_start_index,source_peak_index,source_end_index,start_mapping_residual_s,peak_mapping_residual_s,end_mapping_residual_s,time_mapping_status,candidate_product_count,candidate_datauris_json,selected_prvversion,mast_obsid,timesys,bjdrefi,bjdreff,timeunit,header_ticid,header_sector
F3AE000001,11333775,79,BOUND_DOWNLOADED,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,mast:TESS/product/tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,11756160,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,117256,20.000332198105752,14742,14743,14771,0.039156467,-0.005472060,0.040747758,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits""]",spoc-5.0.105-20240531,222836396,TDB,2457000,0.0,d,11333775,79
F3AE000002,11333775,79,BOUND_DOWNLOADED,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,mast:TESS/product/tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits,da1201c97506c804395a6004606d77dd3b90f8080ab00f3e62a95286be346926,11756160,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,117256,20.000332198105752,36469,36472,36496,0.030507011,-0.016595579,0.038502835,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2024142205832-s0079-0000000011333775-0274-a_fast-lc.fits""]",spoc-5.0.105-20240531,222836396,TDB,2457000,0.0,d,11333775,79
F3AE000003,125421413,37,BOUND_DOWNLOADED,tess2021091135823-s0037-0000000125421413-0208-a_fast-lc.fits,mast:TESS/product/tess2021091135823-s0037-0000000125421413-0208-a_fast-lc.fits,tess2021091135823-s0037-0000000125421413-0208-a_fast-lc.fits,3abdee2b946c73c96737b08da49ec0b0189abe9fdb88f7e09ba4060af080523c,10981440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,109501,20.0002325582318,73731,73735,73761,-0.040309515,0.040539952,0.004220039,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021091135823-s0037-0000000125421413-0208-a_fast-lc.fits""]",spoc-5.0.28-20210413,61144285,TDB,2457000,0.0,d,125421413,37
F3AE000004,125421413,37,BOUND_DOWNLOADED,tess2021091135823-s0037-0000000125421413-0208-a_fast-lc.fits,mast:TESS/product/tess2021091135823-s0037-0000000125421413-0208-a_fast-lc.fits,tess2021091135823-s0037-0000000125421413-0208-a_fast-lc.fits,3abdee2b946c73c96737b08da49ec0b0189abe9fdb88f7e09ba4060af080523c,10981440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,109501,20.0002325582318,24120,24124,24136,0.029845089,0.025823504,0.013879096,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021091135823-s0037-0000000125421413-0208-a_fast-lc.fits""]",spoc-5.0.28-20210413,61144285,TDB,2457000,0.0,d,125421413,37
F3AE000005,141807839,61,BOUND_DOWNLOADED,tess2023018032328-s0061-0000000141807839-0250-a_fast-lc.fits,mast:TESS/product/tess2023018032328-s0061-0000000141807839-0250-a_fast-lc.fits,tess2023018032328-s0061-0000000141807839-0250-a_fast-lc.fits,3e172de3bef28b409ff7c4386c35b5a7898277f2d43d1578f168d96d2be81a4a,11018880,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,109876,20.00013158249203,13233,13235,13247,-0.020118375,-0.023060384,-0.040702063,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2023018032328-s0061-0000000141807839-0250-a_fast-lc.fits""]",spoc-5.0.81-20230208,117952195,TDB,2457000,0.0,d,141807839,61
F3AE000006,141807839,35,BOUND_DOWNLOADED,tess2021039152502-s0035-0000000141807839-0205-a_fast-lc.fits,mast:TESS/product/tess2021039152502-s0035-0000000141807839-0205-a_fast-lc.fits,tess2021039152502-s0035-0000000141807839-0205-a_fast-lc.fits,8c2b691787b86e41894f00b1a8da8f511ec8740fa812399960cfe03f36fc06e7,10828800,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,107986,20.00017346581444,28053,28056,28067,-0.009881557,0.029013748,-0.029967046,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021039152502-s0035-0000000141807839-0205-a_fast-lc.fits""]",spoc-5.0.24-20210305,60669686,TDB,2457000,0.0,d,141807839,35
F3AE000007,149913598,39,BOUND_DOWNLOADED,tess2021146024351-s0039-0000000149913598-0210-a_fast-lc.fits,mast:TESS/product/tess2021146024351-s0039-0000000149913598-0210-a_fast-lc.fits,tess2021146024351-s0039-0000000149913598-0210-a_fast-lc.fits,a10b20080498b0aaba529095a303f271eb47a3ec601fae9962ef01458a26aa83,12107520,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,120766,19.999994734826032,110579,110582,110594,-0.011351048,0.027009046,0.007653372,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021146024351-s0039-0000000149913598-0210-a_fast-lc.fits""]",spoc-5.0.35-20210626,62013972,TDB,2457000,0.0,d,149913598,39
F3AE000008,149913598,33,BOUND_DOWNLOADED,tess2020351194500-s0033-0000000149913598-0203-a_fast-lc.fits,mast:TESS/product/tess2020351194500-s0033-0000000149913598-0203-a_fast-lc.fits,tess2020351194500-s0033-0000000149913598-0203-a_fast-lc.fits,5f51bbb2b66cf4a0b937a76bd6fac478d6b537cc6691e6323ade3c89b73dfbca,11197440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,111660,19.999942046706565,46792,46796,46808,-0.030007397,-0.036736035,0.029476744,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020351194500-s0033-0000000149913598-0203-a_fast-lc.fits""]",spoc-5.0.22-20210121,28230066,TDB,2457000,0.0,d,149913598,33
F3AE000009,153977353,41,BOUND_DOWNLOADED,tess2021204101404-s0041-0000000153977353-0212-a_fast-lc.fits,mast:TESS/product/tess2021204101404-s0041-0000000153977353-0212-a_fast-lc.fits,tess2021204101404-s0041-0000000153977353-0212-a_fast-lc.fits,770f12ab301ab5ce1a39a445d64aed7c2caf3b036c059d6d037615c516f31aca,11520000,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,114900,19.999869517050683,98996,99000,99021,-0.010561748,-0.016779614,-0.006218338,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021204101404-s0041-0000000153977353-0212-a_fast-lc.fits""]",spoc-5.0.40-20210812,62794840,TDB,2457000,0.0,d,153977353,41
F3AE000010,153977353,41,BOUND_DOWNLOADED,tess2021204101404-s0041-0000000153977353-0212-a_fast-lc.fits,mast:TESS/product/tess2021204101404-s0041-0000000153977353-0212-a_fast-lc.fits,tess2021204101404-s0041-0000000153977353-0212-a_fast-lc.fits,770f12ab301ab5ce1a39a445d64aed7c2caf3b036c059d6d037615c516f31aca,11520000,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,114900,19.999869517050683,33772,33776,33794,-0.031385971,-0.038388344,0.016460696,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021204101404-s0041-0000000153977353-0212-a_fast-lc.fits""]",spoc-5.0.40-20210812,62794840,TDB,2457000,0.0,d,153977353,41
