phase3a_event_id,tic_id,sector,source_time_system,source_time_unit,source_start_time,source_peak_time,source_end_time,native_timesys,native_bjdref,native_timeunit,source_start_index,source_peak_index,source_end_index,start_mapping_residual_s,peak_mapping_residual_s,end_mapping_residual_s,start_le_peak_le_end,w00_includes_peak,mapping_reproducible,time_mapping_status,mapping_notes
F3AE000001,11333775,79,TBJD,d,3455.940321,3455.940553,3455.947034,TDB,2457000.000000000000,d,14742,14743,14771,0.039156467,-0.005472060,0.040747758,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000002,11333775,79,TBJD,d,3460.969779,3460.970474,3460.976029,TDB,2457000.000000000000,d,36469,36472,36496,0.030507011,-0.016595579,0.038502835,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000003,125421413,37,TBJD,d,2324.306239,2324.307164,2324.313183,TDB,2457000.000000000000,d,73731,73735,73761,-0.040309515,0.040539952,0.004220039,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000004,125421413,37,TBJD,d,2312.821992,2312.822918,2312.825696,TDB,2457000.000000000000,d,24120,24124,24136,0.029845089,0.025823504,0.013879096,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000005,141807839,61,TBJD,d,2965.854876,2965.855339,2965.858117,TDB,2457000.000000000000,d,13233,13235,13247,-0.020118375,-0.023060384,-0.040702063,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000006,141807839,35,TBJD,d,2261.476693,2261.477387,2261.479934,TDB,2457000.000000000000,d,28053,28056,28067,-0.009881557,0.029013748,-0.029967046,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000007,149913598,39,TBJD,d,2387.361126,2387.36182,2387.364598,TDB,2457000.000000000000,d,110579,110582,110594,-0.011351048,0.027009046,0.007653372,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000008,149913598,33,TBJD,d,2212.557949,2212.558875,2212.561652,TDB,2457000.000000000000,d,46792,46796,46808,-0.030007397,-0.036736035,0.029476744,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000009,153977353,41,TBJD,d,2442.896749,2442.897675,2442.902536,TDB,2457000.000000000000,d,98996,99000,99021,-0.010561748,-0.016779614,-0.006218338,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000010,153977353,41,TBJD,d,2427.798659,2427.799585,2427.803751,TDB,2457000.000000000000,d,33772,33776,33794,-0.031385971,-0.038388344,0.016460696,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000011,159503663,47,TBJD,d,2597.967513,2597.968439,2597.972374,TDB,2457000.000000000000,d,78495,78499,78516,-0.031380431,-0.038560042,-0.025858119,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000012,159503663,53,TBJD,d,2763.732796,2763.733722,2763.739741,TDB,2457000.000000000000,d,85296,85300,85326,0.008858637,0.002611853,-0.037997132,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000013,160619243,49,TBJD,d,2662.677869,2662.679258,2662.68736,TDB,2457000.000000000000,d,108914,108920,108955,0.036196424,0.024058275,-0.003544248,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000014,160619243,49,TBJD,d,2656.471746,2656.472672,2656.478922,TDB,2457000.000000000000,d,82103,82107,82134,0.026392583,0.018362458,0.007383448,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000015,167551757,33,TBJD,d,2227.328669,2227.329132,2227.333299,TDB,2457000.000000000000,d,110601,110603,110621,0.016747907,0.013708616,-0.013642765,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000016,167551757,33,TBJD,d,2217.9719,2217.972595,2217.975141,TDB,2457000.000000000000,d,70180,70183,70194,0.026608875,-0.020912547,0.006437498,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000017,213105608,32,TBJD,d,2193.105596,2193.106522,2193.108836,TDB,2457000.000000000000,d,81574,81578,81588,-0.036361521,-0.043199386,0.026065846,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000018,176955267,32,TBJD,d,2191.125165,2191.125628,2191.128405,TDB,2457000.000000000000,d,73043,73045,73057,-0.029849450,-0.032840886,0.035618033,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000019,219790151,76,TBJD,d,3390.607915,3390.608378,3390.615785,TDB,2457000.000000000000,d,98998,99000,99032,-0.005263272,-0.008050202,0.033756504,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000020,219790151,76,TBJD,d,3387.40094,3387.401172,3387.407885,TDB,2457000.000000000000,d,85144,85145,85174,0.027724716,-0.016906443,-0.015205689,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000021,220433364,31,TBJD,d,2166.070869,2166.072026,2166.105822,TDB,2457000.000000000000,d,93148,93153,93299,-0.017717628,0.017137076,0.032854677,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000022,220433364,39,TBJD,d,2361.784182,2361.785339,2361.825154,TDB,2457000.000000000000,d,91,96,268,-0.025017702,0.011343819,0.035328425,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000023,220433364,31,TBJD,d,2165.124807,2165.125964,2165.144483,TDB,2457000.000000000000,d,89061,89066,89146,-0.014141947,0.020783086,-0.025084888,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000024,220433364,33,TBJD,d,2202.726538,2202.727,2202.736491,TDB,2457000.000000000000,d,4317,4319,4360,-0.041183486,0.041465511,0.007841257,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000025,225953237,38,TBJD,d,2345.223856,2345.224319,2345.228023,TDB,2457000.000000000000,d,49120,49122,49138,0.025680724,0.022945774,0.001066021,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000026,225953237,38,TBJD,d,2349.891231,2349.891925,2349.894703,TDB,2457000.000000000000,d,69283,69286,69298,-0.030985408,0.007347694,-0.012119800,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000027,231914259,28,TBJD,d,2071.283587,2071.284282,2071.290763,TDB,2457000.000000000000,d,40764,40767,40795,0.025478497,-0.022065124,0.023673821,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000028,231914259,28,TBJD,d,2077.901913,2077.902376,2077.909783,TDB,2457000.000000000000,d,69355,69357,69389,-0.032458671,-0.035615911,0.000388580,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000029,233342788,76,TBJD,d,3377.944229,3377.945618,3377.961358,TDB,2457000.000000000000,d,44300,44306,44374,-0.031212308,-0.039945099,0.033965331,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000030,233342788,76,TBJD,d,3383.737097,3383.737329,3383.766727,TDB,2457000.000000000000,d,69325,69326,69453,0.042507722,-0.002151137,0.028766770,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000031,233745344,52,TBJD,d,2732.799429,2732.800123,2732.806373,TDB,2457000.000000000000,d,61216,61219,61246,-0.037721315,0.000925323,0.003150600,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000032,233745344,52,TBJD,d,2738.591131,2738.592288,2738.596686,TDB,2457000.000000000000,d,86236,86241,86260,-0.022992215,0.012943165,0.028537551,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000033,238194430,32,TBJD,d,2178.105306,2178.106001,2178.108779,TDB,2457000.000000000000,d,16798,16801,16813,0.034643048,-0.014676058,-0.039157606,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000034,238194430,32,TBJD,d,2179.585366,2179.586524,2179.59069,TDB,2457000.000000000000,d,23192,23197,23215,0.039562177,-0.013829629,0.035865797,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000035,239134011,45,TBJD,d,2546.421667,2546.422593,2546.429075,TDB,2457000.000000000000,d,90361,90365,90393,0.024268203,0.023183716,0.015430704,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000036,239134011,45,TBJD,d,2547.929867,2547.930793,2547.93357,TDB,2457000.000000000000,d,96876,96880,96892,-0.038610412,-0.039976610,0.042324826,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
