planned_decision_id,decision_class,phase3a_event_id,observational_reference_role,variant_id,window_variant_id,processing_profile_id,external_optimizer_seed,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label,decision_status
F3ADP000001,PRIMARY,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000001,W00,P00,0,33.58484897744577,36.13168571667474,36.90018360068927,-2.546836739228965,0.7684978840145291,False,63.118929125522094,formal_m1_center_not_selected,VALID
F3ADP000008,PRIMARY,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000008,WSm2,P01,0,23.82526978674815,27.27452690604197,26.516771552396328,-3.4492571192938186,-0.7577553536456421,False,62.52191302012942,formal_m1_center_not_selected,VALID
F3ADP000036,PRIMARY,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000036,WEm2,P05,0,40.06668796351584,44.65522736039507,44.45057525839005,-4.588539396879227,-0.2046521020050136,False,61.60623698737045,formal_m1_center_not_selected,VALID
F3ADP000037,PRIMARY,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000037,WEm1,P00,0,36.44536281786054,37.81021255668667,38.14755878838846,-1.3648497388261305,0.3373462317017868,False,62.95747442409177,formal_m1_center_not_selected,VALID
F3ADP000044,PRIMARY,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000044,WEp1,P01,0,31.99968970213785,33.96287606705218,35.3679209183235,-1.9631863649143284,1.4050448512713203,False,62.74167287631297,formal_m1_center_not_selected,VALID
F3ADP000065,PRIMARY,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000065,WC1,P04,0,33.64448698306388,38.66913594106764,39.6714372473529,-5.024648958003759,1.0023013062852613,False,148.35446323074277,formal_m1_center_not_selected,VALID
F3ADP000072,PRIMARY,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000072,WX2,P05,0,20.826553470185733,23.99002176371402,25.119429864892858,-3.163468293528286,1.1294081011788393,False,62.53238690377893,formal_m1_center_not_selected,VALID
F3ADP000079,PRIMARY,F3AE000002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,W00,P00,0,-27.87827078237695,-21.96503434924864,-24.145936299401356,-5.913236433128311,-2.180901950152716,False,238.2483661172437,formal_m1_center_not_selected,VALID
F3ADP000086,PRIMARY,F3AE000002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000086,WSm2,P01,0,-33.390471761057654,-28.115167466378466,-30.339774098640177,-5.275304294679188,-2.224606632261711,False,248.14405097992676,formal_m1_center_not_selected,VALID
F3ADP000107,PRIMARY,F3AE000002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000107,WSp2,P04,0,9.985305967871643,16.32350858951812,14.830906757465966,-6.338202621646477,-1.492601832052154,False,223.56340887013496,formal_m1_center_not_selected,VALID
