job_id,job_order,planned_decision_id,decision_class,phase3a_event_id,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,payload_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,seed_application_contract,selection_rule,execution_status,canary_selection_component,canary_selection_reason
F3AJ0000001,1,F3ADP000001,PRIMARY,F3AE000001,F3AV000001,F3AC001,W00,P00,0,M0,pow_const,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=W00;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000002,2,F3ADP000001,PRIMARY,F3AE000001,F3AV000001,F3AC001,W00,P00,0,M1,pow_const_gauss,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=W00;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000003,3,F3ADP000001,PRIMARY,F3AE000001,F3AV000001,F3AC001,W00,P00,0,M2,bpow_const,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=W00;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000016,16,F3ADP000008,PRIMARY,F3AE000001,F3AV000008,F3AC008,WSm2,P01,0,M0,pow_const,F3APAY000006,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WSm2;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000017,17,F3ADP000008,PRIMARY,F3AE000001,F3AV000008,F3AC008,WSm2,P01,0,M1,pow_const_gauss,F3APAY000006,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WSm2;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000018,18,F3ADP000008,PRIMARY,F3AE000001,F3AV000008,F3AC008,WSm2,P01,0,M2,bpow_const,F3APAY000006,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WSm2;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000058,58,F3ADP000036,PRIMARY,F3AE000001,F3AV000036,F3AC036,WEm2,P05,0,M0,pow_const,F3APAY000020,9da6f10c1113fef97d5df6ba3778cc001b6bcd2129a4cd42bd4fa5600aab75c1,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3AJ0000059,59,F3ADP000036,PRIMARY,F3AE000001,F3AV000036,F3AC036,WEm2,P05,0,M1,pow_const_gauss,F3APAY000020,9da6f10c1113fef97d5df6ba3778cc001b6bcd2129a4cd42bd4fa5600aab75c1,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3AJ0000060,60,F3ADP000036,PRIMARY,F3AE000001,F3AV000036,F3AC036,WEm2,P05,0,M2,bpow_const,F3APAY000020,9da6f10c1113fef97d5df6ba3778cc001b6bcd2129a4cd42bd4fa5600aab75c1,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3AJ0000061,61,F3ADP000037,PRIMARY,F3AE000001,F3AV000037,F3AC037,WEm1,P00,0,M0,pow_const,F3APAY000021,6286607a1a41926dceeb1239896b8b4832c7b3fb969e6ebc4632447f35ff9cd9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000062,62,F3ADP000037,PRIMARY,F3AE000001,F3AV000037,F3AC037,WEm1,P00,0,M1,pow_const_gauss,F3APAY000021,6286607a1a41926dceeb1239896b8b4832c7b3fb969e6ebc4632447f35ff9cd9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000063,63,F3ADP000037,PRIMARY,F3AE000001,F3AV000037,F3AC037,WEm1,P00,0,M2,bpow_const,F3APAY000021,6286607a1a41926dceeb1239896b8b4832c7b3fb969e6ebc4632447f35ff9cd9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000076,76,F3ADP000044,PRIMARY,F3AE000001,F3AV000044,F3AC044,WEp1,P01,0,M0,pow_const,F3APAY000026,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000077,77,F3ADP000044,PRIMARY,F3AE000001,F3AV000044,F3AC044,WEp1,P01,0,M1,pow_const_gauss,F3APAY000026,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000078,78,F3ADP000044,PRIMARY,F3AE000001,F3AV000044,F3AC044,WEp1,P01,0,M2,bpow_const,F3APAY000026,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
