replay_job_order,planned_decision_id,phase3a_event_id,observational_reference_role,variant_id,external_optimizer_seed,model_id,job_id,status_match,bic_match,parameters_match,warning_count_match,warnings_match,parameter_at_bound_match,bound_parameters_match,replay_pass,checkpoint_bic,replay_bic,checkpoint_parameters_json,replay_parameters_json
1,F3ADP000001,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000001,0,M0,F3AJ0000001,True,True,True,True,True,True,True,True,33.58484897744577,33.58484897744577,"[0.8638464895175527,6.0,-0.08324343965120307]","[0.8638464895175527,6.0,-0.08324343965120307]"
2,F3ADP000001,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000001,0,M1,F3AJ0000002,True,True,True,True,True,True,True,True,36.13168571667474,36.13168571667474,"[1.593850135503601,1.350248160778149,-17.621848878533893,-0.35172689108919075,-4.145020710701718,0.10873052924402235]","[1.593850135503601,1.350248160778149,-17.621848878533893,-0.35172689108919075,-4.145020710701718,0.10873052924402235]"
3,F3ADP000001,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000001,0,M2,F3AJ0000003,True,True,True,True,True,True,True,True,36.90018360068927,36.90018360068927,"[-4.373860036309347,1.0,0.018333181565337676,9.0,-18.87491158705863]","[-4.373860036309347,1.0,0.018333181565337676,9.0,-18.87491158705863]"
4,F3ADP000079,F3AE000002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,0,M0,F3AJ0000133,True,True,True,True,True,True,True,True,-27.87827078237695,-27.87827078237695,"[1.8528732355147237,3.67301403701331,-3.027703314683417]","[1.8528732355147237,3.67301403701331,-3.027703314683417]"
5,F3ADP000079,F3AE000002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,0,M1,F3AJ0000134,True,True,True,True,True,True,True,True,-21.96503434924864,-21.96503434924864,"[1.2951600556921221,6.0,-2.996436307333501,0.13702540134624405,-5.473313684660822,0.0874558261120363]","[1.2951600556921221,6.0,-2.996436307333501,0.13702540134624405,-5.473313684660822,0.0874558261120363]"
6,F3ADP000079,F3AE000002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,0,M2,F3AJ0000135,True,True,True,True,True,True,True,True,-24.145936299401356,-24.145936299401356,"[-6.719685632359947,1.269022155139156,0.0033802584570557406,7.0358087774004,-2.9733751571493445]","[-6.719685632359947,1.269022155139156,0.0033802584570557406,7.0358087774004,-2.9733751571493445]"
7,F3ADP000313,F3AE000005,PUBLISHED_QPP_REFERENCE,F3AV000313,0,M0,F3AJ0000661,True,True,True,True,True,True,True,True,0.23012442371782127,0.23012442371782127,"[0.9484758511611417,1.8146487670383356,-19.999999901010032]","[0.9484758511611417,1.8146487670383356,-19.999999901010032]"
8,F3ADP000313,F3AE000005,PUBLISHED_QPP_REFERENCE,F3AV000313,0,M1,F3AJ0000662,True,True,True,True,True,True,True,True,3.056974730071138,3.056974730071138,"[1.421324176110253,3.239085617657998,-19.244079842368688,-2.2463201327468636,-4.104497518206433,0.14580033120913252]","[1.421324176110253,3.239085617657998,-19.244079842368688,-2.2463201327468636,-4.104497518206433,0.14580033120913252]"
9,F3ADP000313,F3AE000005,PUBLISHED_QPP_REFERENCE,F3AV000313,0,M2,F3AJ0000663,True,True,True,True,True,True,True,True,3.1313056291394856,3.1313056291394856,"[-8.436757643869623,1.6258360828051155,0.019749766478293865,9.0,-19.243770823078872]","[-8.436757643869623,1.6258360828051155,0.019749766478293865,9.0,-19.243770823078872]"
10,F3ADP008959,F3AE000115,PUBLISHED_QPP_REFERENCE,F3AV008959,0,M0,F3AJ0018073,True,True,True,True,True,True,True,True,-1431.537812192871,-1431.537812192871,"[1.650172563430666,3.308832193773095,-8.156555129770478]","[1.650172563430666,3.308832193773095,-8.156555129770478]"
