planned_decision_id,variant_id,external_optimizer_seed,n_samples,mean_dt_external,median_dt_external,afino_dt_m0,afino_dt_m1,afino_dt_m2,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_bin_count_m0,afino_bin_count_m1,afino_bin_count_m2,fftfreq_positive_match,legacy_rfftfreq_match
F3ADP000001,F3AV000001,0,30,20.00016521623334,20.000171422725543,20.00016521623334,20.00016521623334,20.00016521623334,True,True,True,14,15,14,14,14,True,False
F3ADP000008,F3AV000008,0,32,20.00016496899808,20.000171422725543,20.00016496899808,20.00016496899808,20.00016496899808,True,True,True,15,16,15,15,15,True,False
F3ADP000036,F3AV000036,0,28,20.00016549573047,20.000171422725543,20.00016549573047,20.00016549573047,20.00016549573047,True,True,True,13,14,13,13,13,True,False
F3ADP000037,F3AV000037,0,29,20.00016571161853,20.000171422725543,20.00016571161853,20.00016571161853,20.00016571161853,True,True,True,14,14,14,14,14,True,True
F3ADP000044,F3AV000044,0,31,20.000165423116414,20.000171422725543,20.000165423116414,20.000165423116414,20.000165423116414,True,True,True,15,15,15,15,15,True,True
F3ADP000065,F3AV000065,0,28,20.000165498640854,20.000171422725543,20.000165498640854,20.000165498640854,20.000165498640854,True,True,True,13,14,13,13,13,True,False
F3ADP000072,F3AV000072,0,34,20.000165362514302,20.000171422725543,20.000165362514302,20.000165362514302,20.000165362514302,True,True,True,16,17,16,16,16,True,False
F3ADP000079,F3AV000079,0,28,20.0002961413702,20.000292436452582,20.0002961413702,20.0002961413702,20.0002961413702,True,True,True,13,14,13,13,13,True,False
F3ADP000086,F3AV000086,0,30,20.000295881794138,20.000292436452582,20.000295881794138,20.000295881794138,20.000295881794138,True,True,True,14,15,14,14,14,True,False
F3ADP000107,F3AV000107,0,26,20.000296434620395,20.000292436452582,20.000296434620395,20.000296434620395,20.000296434620395,True,True,True,12,13,12,12,12,True,False
F3ADP000114,F3AV000114,0,26,20.000295633100905,20.000292436452582,20.000295633100905,20.000295633100905,20.000295633100905,True,True,True,12,13,12,12,12,True,False
F3ADP000115,F3AV000115,0,27,20.00029628386703,20.000292436452582,20.00029628386703,20.00029628386703,20.00029628386703,True,True,True,13,13,13,13,13,True,True
F3ADP000122,F3AV000122,0,29,20.000296009051713,20.000292436452582,20.000296009051713,20.000296009051713,20.000296009051713,True,True,True,14,14,14,14,14,True,True
