planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label,decision_status
F3ADP000001,1,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000001,F3AC001,W00,P00,0,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,30,33.58484897744577,36.13168571667474,36.90018360068927,-2.546836739228965,0.7684978840145291,false,63.118929125522094,formal_m1_center_not_selected,VALID
F3ADP000002,2,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000002,F3AC002,W00,P01,0,F3APAY000002,caf37d4cab524b5055da24da53a0c69f7dfeaf675744d19fe711570f1d0cf02b,30,33.54176552577614,37.16059826587303,37.72796007834853,-3.6188327400968845,0.5673618124755038,false,62.46757351424909,formal_m1_center_not_selected,VALID
F3ADP000005,3,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000005,F3AC005,W00,P04,0,F3APAY000003,c79a81717399f09d694afa5b5bcebe7ef81d2fd415303a75a910f912b1b4a0f1,30,38.697438344850795,41.92913141932864,43.21433628214955,-3.231693074477846,1.2852048628209118,false,63.0718510855943,formal_m1_center_not_selected,VALID
F3ADP000006,4,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000006,F3AC006,W00,P05,0,F3APAY000004,2ac3c15dd08923df73fc3d65ec40da55f0feec2aca004ab11e3920fb1b66e43d,30,38.88532490935377,42.96350117877849,44.14095463414268,-4.078176269424723,1.177453455364187,false,56.840837830781844,formal_m1_center_not_selected,VALID
F3ADP000007,5,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000007,F3AC007,WSm2,P00,0,F3APAY000005,0a8116f6a71a95272baddf6de26269a876396900b468ae8742693f9326b7bf5d,32,24.09040080050547,26.393382673716914,25.925266003788302,-2.3029818732114435,-0.46811666992861234,false,63.355292666894506,formal_m1_center_not_selected,VALID
F3ADP000008,6,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000008,F3AC008,WSm2,P01,0,F3APAY000006,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,32,23.82526978674815,27.27452690604197,26.516771552396328,-3.4492571192938186,-0.7577553536456421,false,62.52191302012942,formal_m1_center_not_selected,VALID
F3ADP000011,7,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000011,F3AC011,WSm2,P04,0,F3APAY000007,56f20e676a44004582c97824b4679cd307524e356b91c94eb726e3a2f2999fdf,32,22.517355975507655,24.719657746476088,24.249990179084534,-2.2023017709684325,-0.4696675673915536,false,63.35896831465,formal_m1_center_not_selected,VALID
F3ADP000012,8,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000012,F3AC012,WSm2,P05,0,F3APAY000008,c481921afff05b2655a2af60532d194beced0c40dd30f7702a0d45437c6fe321,32,22.021117127710717,25.3663790260345,24.590973410851234,-3.345261898323784,-0.7754056151832671,false,62.53236670029843,formal_m1_center_not_selected,VALID
F3ADP000013,9,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000013,F3AC013,WSm1,P00,0,F3APAY000009,2bec4f02977a36bc6400602010352c52b5926c47a47de4aa901ed8545bc78f1e,31,29.977788350392885,30.9279180870015,31.782378648024128,-0.9501297366086163,0.854460561022627,false,63.396586869565475,formal_m1_center_not_selected,VALID
F3ADP000014,10,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000014,F3AC014,WSm1,P01,0,F3APAY000010,4e2ae2b4a319fbc3d52af1e7b36c94aef711430067dd372cae9605143a768493,31,29.782274698707116,31.877250894287563,32.11009921771913,-2.094976195580447,0.23284832343156836,false,62.78103250025759,formal_m1_center_not_selected,VALID
F3ADP000017,11,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000017,F3AC017,WSm1,P04,0,F3APAY000011,8982f8697861aa999435713bbb64b32ddc0bf8a4a82570b8925c258989ba81c9,31,33.62662154491208,34.82348585164147,35.73289560819609,-1.1968643067293883,0.9094097565546164,false,63.388851283868185,formal_m1_center_not_selected,VALID
F3ADP000018,12,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000018,F3AC018,WSm1,P05,0,F3APAY000012,368043c25c6f2797ab3ed6758545317e76952687dba74b0ab76395bdb0fb4ac5,31,33.307984474527515,35.62345160639489,35.91953923259341,-2.315467131867372,0.2960876261985206,false,62.769407399284205,formal_m1_center_not_selected,VALID
F3ADP000019,13,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000019,F3AC019,WSp1,P00,0,F3APAY000013,4ada96c9c603c5fd7860c25540acb1e828ac8cd5850060e52659f70b8675298a,29,34.956970346045196,36.52155374407665,38.12261060448514,-1.564583398031452,1.601056860408491,false,63.09321082253775,formal_m1_center_not_selected,VALID
F3ADP000020,14,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000020,F3AC020,WSp1,P01,0,F3APAY000014,3a4a7fafc92843d974ceaaf5e8d2edd306eb84293d0aad385c9b8da456c19475,29,35.02388865338796,37.53117785756752,38.43113916060822,-2.507289204179564,0.8999613030406977,false,62.063089452790194,formal_m1_center_not_selected,VALID
F3ADP000023,15,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000023,F3AC023,WSp1,P04,0,F3APAY000015,e838539aa91b621536c13c4dfc6ea86e5593c8a7426a5e7e9835261420dd7529,29,33.88130534604263,37.95684688114539,39.79209689456037,-4.075541535102758,1.835250013414985,false,62.825152799889544,formal_m1_center_not_selected,VALID
F3ADP000024,16,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000024,F3AC024,WSp1,P05,0,F3APAY000016,8037d69113f69b4405459c640bfceaddb98bf4530f8563f10e8e5e161d8ba415,29,34.23938431633206,38.596429770772545,40.0257081724872,-4.357045454440488,1.4292784017146545,false,56.23012200609801,formal_m1_center_not_selected,VALID
