phase3a_event_id,pair_id,observational_reference_role,baseline_gate_state,planned_cells,eligible_cells,inadmissible_cells,transition_eligible_cells,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_cells,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissible_irregular_sampling,inadmissible_too_few_cadences,inadmissible_peak_removed_by_quality,inadmissible_peak_outside_window,inadmissible_window_out_of_range
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,44,34,0,0,0,0,0,0,0,,22,0,0,12,0
F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000003,F3AP0002,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000004,F3AP0002,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,72,6,72,0,0,72,0,72,72,1.0,0,6,0,0,0
F3AE000005,F3AP0003,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,28,50,0,0,0,0,0,0,0,,12,38,0,0,0
F3AE000006,F3AP0003,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,28,50,28,0,0,28,0,28,28,1.0,0,24,26,0,0
F3AE000007,F3AP0004,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,36,42,0,0,0,0,0,0,0,,2,40,0,0,0
F3AE000008,F3AP0004,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,48,30,48,0,0,48,0,48,48,1.0,14,16,0,0,0
F3AE000009,F3AP0005,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000010,F3AP0005,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000011,F3AP0006,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,74,4,0,0,0,0,0,0,0,,4,0,0,0,0
F3AE000012,F3AP0006,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,78,0,78,0,0,78,0,78,78,1.0,0,0,0,0,0
