scope_type,scope_value,inadmissibility_reason,planned_variant_rows,inadmissible_count,inadmissible_fraction_of_planned
GLOBAL,ALL,ALL,9516,3094,0.3251366120218579
GLOBAL,ALL,IRREGULAR_SAMPLING,9516,1824,0.19167717528373265
GLOBAL,ALL,TOO_FEW_CADENCES,9516,844,0.08869272803699033
GLOBAL,ALL,PEAK_REMOVED_BY_QUALITY,9516,282,0.029634300126103404
GLOBAL,ALL,PEAK_OUTSIDE_WINDOW,9516,138,0.014501891551071878
GLOBAL,ALL,WINDOW_OUT_OF_RANGE,9516,6,0.0006305170239596469
REFERENCE_ROLE,PUBLISHED_NOT_SELECTED_REFERENCE,ALL,4758,1570,0.32997057587221523
REFERENCE_ROLE,PUBLISHED_NOT_SELECTED_REFERENCE,IRREGULAR_SAMPLING,4758,856,0.17990752416981926
REFERENCE_ROLE,PUBLISHED_NOT_SELECTED_REFERENCE,TOO_FEW_CADENCES,4758,500,0.10508617065994115
REFERENCE_ROLE,PUBLISHED_NOT_SELECTED_REFERENCE,PEAK_REMOVED_BY_QUALITY,4758,130,0.0273224043715847
REFERENCE_ROLE,PUBLISHED_NOT_SELECTED_REFERENCE,PEAK_OUTSIDE_WINDOW,4758,78,0.01639344262295082
REFERENCE_ROLE,PUBLISHED_NOT_SELECTED_REFERENCE,WINDOW_OUT_OF_RANGE,4758,6,0.0012610340479192938
REFERENCE_ROLE,PUBLISHED_QPP_REFERENCE,ALL,4758,1524,0.3203026481715006
REFERENCE_ROLE,PUBLISHED_QPP_REFERENCE,IRREGULAR_SAMPLING,4758,968,0.20344682639764608
REFERENCE_ROLE,PUBLISHED_QPP_REFERENCE,TOO_FEW_CADENCES,4758,344,0.07229928541403952
REFERENCE_ROLE,PUBLISHED_QPP_REFERENCE,PEAK_REMOVED_BY_QUALITY,4758,152,0.031946195880622114
REFERENCE_ROLE,PUBLISHED_QPP_REFERENCE,PEAK_OUTSIDE_WINDOW,4758,60,0.012610340479192938
REFERENCE_ROLE,PUBLISHED_QPP_REFERENCE,WINDOW_OUT_OF_RANGE,4758,0,0.0
WINDOW,W00,ALL,732,210,0.28688524590163933
WINDOW,W00,IRREGULAR_SAMPLING,732,140,0.1912568306010929
WINDOW,W00,TOO_FEW_CADENCES,732,48,0.06557377049180328
WINDOW,W00,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,W00,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,W00,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WC1,ALL,732,264,0.36065573770491804
WINDOW,WC1,IRREGULAR_SAMPLING,732,132,0.18032786885245902
WINDOW,WC1,TOO_FEW_CADENCES,732,110,0.15027322404371585
WINDOW,WC1,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WC1,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WC1,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WC2,ALL,732,336,0.45901639344262296
WINDOW,WC2,IRREGULAR_SAMPLING,732,114,0.1557377049180328
WINDOW,WC2,TOO_FEW_CADENCES,732,130,0.17759562841530055
WINDOW,WC2,PEAK_REMOVED_BY_QUALITY,732,20,0.0273224043715847
WINDOW,WC2,PEAK_OUTSIDE_WINDOW,732,66,0.09016393442622951
WINDOW,WC2,WINDOW_OUT_OF_RANGE,732,6,0.00819672131147541
WINDOW,WEm1,ALL,732,244,0.3333333333333333
WINDOW,WEm1,IRREGULAR_SAMPLING,732,134,0.1830601092896175
WINDOW,WEm1,TOO_FEW_CADENCES,732,88,0.12021857923497267
WINDOW,WEm1,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WEm1,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WEm1,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WEm2,ALL,732,264,0.36065573770491804
WINDOW,WEm2,IRREGULAR_SAMPLING,732,132,0.18032786885245902
WINDOW,WEm2,TOO_FEW_CADENCES,732,110,0.15027322404371585
WINDOW,WEm2,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WEm2,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WEm2,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WEp1,ALL,732,204,0.2786885245901639
WINDOW,WEp1,IRREGULAR_SAMPLING,732,150,0.20491803278688525
WINDOW,WEp1,TOO_FEW_CADENCES,732,32,0.04371584699453552
WINDOW,WEp1,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WEp1,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WEp1,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WEp2,ALL,732,204,0.2786885245901639
WINDOW,WEp2,IRREGULAR_SAMPLING,732,150,0.20491803278688525
WINDOW,WEp2,TOO_FEW_CADENCES,732,32,0.04371584699453552
WINDOW,WEp2,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WEp2,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WEp2,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WSm1,ALL,732,204,0.2786885245901639
WINDOW,WSm1,IRREGULAR_SAMPLING,732,150,0.20491803278688525
WINDOW,WSm1,TOO_FEW_CADENCES,732,32,0.04371584699453552
WINDOW,WSm1,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WSm1,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WSm1,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WSm2,ALL,732,208,0.28415300546448086
WINDOW,WSm2,IRREGULAR_SAMPLING,732,154,0.2103825136612022
WINDOW,WSm2,TOO_FEW_CADENCES,732,32,0.04371584699453552
WINDOW,WSm2,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WSm2,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WSm2,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WSp1,ALL,732,246,0.3360655737704918
WINDOW,WSp1,IRREGULAR_SAMPLING,732,136,0.18579234972677597
WINDOW,WSp1,TOO_FEW_CADENCES,732,88,0.12021857923497267
WINDOW,WSp1,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WSp1,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WSp1,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WSp2,ALL,732,308,0.4207650273224044
WINDOW,WSp2,IRREGULAR_SAMPLING,732,122,0.16666666666666666
WINDOW,WSp2,TOO_FEW_CADENCES,732,94,0.1284153005464481
WINDOW,WSp2,PEAK_REMOVED_BY_QUALITY,732,20,0.0273224043715847
WINDOW,WSp2,PEAK_OUTSIDE_WINDOW,732,72,0.09836065573770492
WINDOW,WSp2,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WX1,ALL,732,204,0.2786885245901639
WINDOW,WX1,IRREGULAR_SAMPLING,732,150,0.20491803278688525
WINDOW,WX1,TOO_FEW_CADENCES,732,32,0.04371584699453552
WINDOW,WX1,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WX1,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WX1,WINDOW_OUT_OF_RANGE,732,0,0.0
WINDOW,WX2,ALL,732,198,0.27049180327868855
WINDOW,WX2,IRREGULAR_SAMPLING,732,160,0.2185792349726776
WINDOW,WX2,TOO_FEW_CADENCES,732,16,0.02185792349726776
WINDOW,WX2,PEAK_REMOVED_BY_QUALITY,732,22,0.030054644808743168
WINDOW,WX2,PEAK_OUTSIDE_WINDOW,732,0,0.0
WINDOW,WX2,WINDOW_OUT_OF_RANGE,732,0,0.0
PROCESSING_PROFILE,P00,ALL,1586,158,0.09962168978562422
PROCESSING_PROFILE,P00,IRREGULAR_SAMPLING,1586,0,0.0
PROCESSING_PROFILE,P00,TOO_FEW_CADENCES,1586,134,0.08448928121059268
PROCESSING_PROFILE,P00,PEAK_REMOVED_BY_QUALITY,1586,0,0.0
PROCESSING_PROFILE,P00,PEAK_OUTSIDE_WINDOW,1586,23,0.014501891551071878
PROCESSING_PROFILE,P00,WINDOW_OUT_OF_RANGE,1586,1,0.0006305170239596469
PROCESSING_PROFILE,P01,ALL,1586,158,0.09962168978562422
PROCESSING_PROFILE,P01,IRREGULAR_SAMPLING,1586,0,0.0
PROCESSING_PROFILE,P01,TOO_FEW_CADENCES,1586,134,0.08448928121059268
PROCESSING_PROFILE,P01,PEAK_REMOVED_BY_QUALITY,1586,0,0.0
PROCESSING_PROFILE,P01,PEAK_OUTSIDE_WINDOW,1586,23,0.014501891551071878
PROCESSING_PROFILE,P01,WINDOW_OUT_OF_RANGE,1586,1,0.0006305170239596469
PROCESSING_PROFILE,P02,ALL,1586,1231,0.7761664564943254
PROCESSING_PROFILE,P02,IRREGULAR_SAMPLING,1586,912,0.575031525851198
PROCESSING_PROFILE,P02,TOO_FEW_CADENCES,1586,154,0.09709962168978563
PROCESSING_PROFILE,P02,PEAK_REMOVED_BY_QUALITY,1586,141,0.08890290037831021
PROCESSING_PROFILE,P02,PEAK_OUTSIDE_WINDOW,1586,23,0.014501891551071878
PROCESSING_PROFILE,P02,WINDOW_OUT_OF_RANGE,1586,1,0.0006305170239596469
PROCESSING_PROFILE,P03,ALL,1586,1231,0.7761664564943254
PROCESSING_PROFILE,P03,IRREGULAR_SAMPLING,1586,912,0.575031525851198
PROCESSING_PROFILE,P03,TOO_FEW_CADENCES,1586,154,0.09709962168978563
PROCESSING_PROFILE,P03,PEAK_REMOVED_BY_QUALITY,1586,141,0.08890290037831021
PROCESSING_PROFILE,P03,PEAK_OUTSIDE_WINDOW,1586,23,0.014501891551071878
PROCESSING_PROFILE,P03,WINDOW_OUT_OF_RANGE,1586,1,0.0006305170239596469
PROCESSING_PROFILE,P04,ALL,1586,158,0.09962168978562422
PROCESSING_PROFILE,P04,IRREGULAR_SAMPLING,1586,0,0.0
PROCESSING_PROFILE,P04,TOO_FEW_CADENCES,1586,134,0.08448928121059268
PROCESSING_PROFILE,P04,PEAK_REMOVED_BY_QUALITY,1586,0,0.0
PROCESSING_PROFILE,P04,PEAK_OUTSIDE_WINDOW,1586,23,0.014501891551071878
PROCESSING_PROFILE,P04,WINDOW_OUT_OF_RANGE,1586,1,0.0006305170239596469
PROCESSING_PROFILE,P05,ALL,1586,158,0.09962168978562422
PROCESSING_PROFILE,P05,IRREGULAR_SAMPLING,1586,0,0.0
PROCESSING_PROFILE,P05,TOO_FEW_CADENCES,1586,134,0.08448928121059268
PROCESSING_PROFILE,P05,PEAK_REMOVED_BY_QUALITY,1586,0,0.0
PROCESSING_PROFILE,P05,PEAK_OUTSIDE_WINDOW,1586,23,0.014501891551071878
PROCESSING_PROFILE,P05,WINDOW_OUT_OF_RANGE,1586,1,0.0006305170239596469
